"","date","AEZS"
"1","2007-01-03",2370
"2","2007-01-04",2340
"3","2007-01-05",2322
"4","2007-01-08",2340
"5","2007-01-09",2418
"6","2007-01-10",2496
"7","2007-01-11",2466
"8","2007-01-12",2490
"9","2007-01-16",2598
"10","2007-01-17",2616
"11","2007-01-18",2604
"12","2007-01-19",2544
"13","2007-01-22",2442
"14","2007-01-23",2394
"15","2007-01-24",2448
"16","2007-01-25",2412
"17","2007-01-26",2412
"18","2007-01-29",2436
"19","2007-01-30",2436
"20","2007-01-31",2436
"21","2007-02-01",2442
"22","2007-02-02",2448
"23","2007-02-05",2424
"24","2007-02-06",2400
"25","2007-02-07",2430
"26","2007-02-08",2418
"27","2007-02-09",2382
"28","2007-02-12",2352
"29","2007-02-13",2370
"30","2007-02-14",2322
"31","2007-02-15",2298
"32","2007-02-16",2208
"33","2007-02-20",2322
"34","2007-02-21",2250
"35","2007-02-22",2160
"36","2007-02-23",2202
"37","2007-02-26",2166
"38","2007-02-27",1986
"39","2007-02-28",2004
"40","2007-03-01",1980
"41","2007-03-02",1926
"42","2007-03-05",1758
"43","2007-03-06",1824
"44","2007-03-07",1890
"45","2007-03-08",1968
"46","2007-03-09",1932
"47","2007-03-12",1944
"48","2007-03-13",1872
"49","2007-03-14",1848
"50","2007-03-15",1866
"51","2007-03-16",1884
"52","2007-03-19",1896
"53","2007-03-20",2064
"54","2007-03-21",1968
"55","2007-03-22",2124
"56","2007-03-23",2154
"57","2007-03-26",2238
"58","2007-03-27",2268
"59","2007-03-28",2352
"60","2007-03-29",2322
"61","2007-03-30",2274
"62","2007-04-02",2370
"63","2007-04-03",2430
"64","2007-04-04",2370
"65","2007-04-05",2406
"66","2007-04-09",2448
"67","2007-04-10",2430
"68","2007-04-11",2382
"69","2007-04-12",2388
"70","2007-04-13",2436
"71","2007-04-16",2418
"72","2007-04-17",2406
"73","2007-04-18",2430
"74","2007-04-19",2412
"75","2007-04-20",2406
"76","2007-04-23",2364
"77","2007-04-24",2322
"78","2007-04-25",2304
"79","2007-04-26",2334
"80","2007-04-27",2316
"81","2007-04-30",2178
"82","2007-05-01",2172
"83","2007-05-02",2280
"84","2007-05-03",2370
"85","2007-05-04",2376
"86","2007-05-07",2394
"87","2007-05-08",2292
"88","2007-05-09",2124
"89","2007-05-10",2160
"90","2007-05-11",2124
"91","2007-05-14",2130
"92","2007-05-15",2142
"93","2007-05-16",2142
"94","2007-05-17",2160
"95","2007-05-18",2208
"96","2007-05-21",2322
"97","2007-05-22",2220
"98","2007-05-23",2214
"99","2007-05-24",2214
"100","2007-05-25",2226
"101","2007-05-29",2250
"102","2007-05-30",2244
"103","2007-05-31",2220
"104","2007-06-01",2208
"105","2007-06-04",2214
"106","2007-06-05",2148
"107","2007-06-06",2130
"108","2007-06-07",2064
"109","2007-06-08",2028
"110","2007-06-11",2046
"111","2007-06-12",1962
"112","2007-06-13",2022
"113","2007-06-14",2022
"114","2007-06-15",2064
"115","2007-06-18",2052
"116","2007-06-19",2040
"117","2007-06-20",1986
"118","2007-06-21",2004
"119","2007-06-22",2040
"120","2007-06-25",2046
"121","2007-06-26",1986
"122","2007-06-27",2010
"123","2007-06-28",2022
"124","2007-06-29",2076
"125","2007-07-02",2094
"126","2007-07-03",2100
"127","2007-07-05",2082
"128","2007-07-06",2088
"129","2007-07-09",2022
"130","2007-07-10",2022
"131","2007-07-11",1992
"132","2007-07-12",1974
"133","2007-07-13",1944
"134","2007-07-16",1944
"135","2007-07-17",1998
