"","date","VTSI"
"1","2012-09-25",1.4
"2","2012-09-26",1.302
"3","2012-09-27",1.46
"4","2012-09-28",1.46
"5","2012-10-01",1.32
"6","2012-10-02",1.32
"7","2012-10-03",1.3
"8","2012-10-04",1.3
"9","2012-10-05",1.3
"10","2012-10-08",1.262
"11","2012-10-09",1.262
"12","2012-10-10",1.262
"13","2012-10-11",1.28
"14","2012-10-12",1.22
"15","2012-10-15",1.25
"16","2012-10-16",1.26
"17","2012-10-17",1.2
"18","2012-10-18",1.2
"19","2012-10-19",1.18
"20","2012-10-22",1.18
"21","2012-10-23",1.22
"22","2012-10-24",1.22
"23","2012-10-25",1.14
"24","2012-10-26",1.12
"25","2012-10-31",1.12
"26","2012-11-01",1.1
"27","2012-11-02",1.12
"28","2012-11-05",1.12
"29","2012-11-06",1.06
"30","2012-11-07",1.02
"31","2012-11-08",1.04
"32","2012-11-09",1.04
"33","2012-11-12",1.04
"34","2012-11-13",1.17
"35","2012-11-14",0.94
"36","2012-11-15",0.93
"37","2012-11-16",0.936
"38","2012-11-19",0.97
"39","2012-11-20",0.97
"40","2012-11-21",1
"41","2012-11-23",1
"42","2012-11-26",0.892
"43","2012-11-27",1
"44","2012-11-28",0.96
"45","2012-11-29",0.9
"46","2012-11-30",1.06
"47","2012-12-03",1
"48","2012-12-04",1.06
"49","2012-12-05",0.9
"50","2012-12-06",1.06
"51","2012-12-07",1
"52","2012-12-10",1
"53","2012-12-11",0.9
"54","2012-12-12",0.9
"55","2012-12-13",0.84
"56","2012-12-14",0.84
"57","2012-12-17",0.92
"58","2012-12-18",0.92
"59","2012-12-19",0.9
"60","2012-12-20",0.84
"61","2012-12-21",0.86
"62","2012-12-24",0.86
"63","2012-12-26",0.86
"64","2012-12-27",0.8
"65","2012-12-28",0.8
"66","2012-12-31",0.98
"67","2013-01-02",0.98
"68","2013-01-03",0.94
"69","2013-01-04",0.92
"70","2013-01-07",0.92
"71","2013-01-08",0.742
"72","2013-01-09",0.934
"73","2013-01-10",0.84
"74","2013-01-11",0.998
"75","2013-01-14",1
"76","2013-01-15",0.9
"77","2013-01-16",1
"78","2013-01-17",0.95
"79","2013-01-18",1
"80","2013-01-22",1
"81","2013-01-23",1.08
"82","2013-01-24",1
"83","2013-01-25",1.1
"84","2013-01-28",1
"85","2013-01-29",1
"86","2013-01-30",1.02
"87","2013-01-31",1.1
"88","2013-02-01",1.058
