"","date","PLL"
"1","2018-01-02",15.71
"2","2018-01-03",17.59
"3","2018-01-04",18.110001
"4","2018-01-05",17.209999
"5","2018-01-08",17.059999
"6","2018-01-09",17.389999
"7","2018-01-10",17.030001
"8","2018-01-11",17.110001
"9","2018-01-12",16.65
"10","2018-01-16",16.360001
"11","2018-01-17",16.01
"12","2018-01-18",15.71
"13","2018-01-19",15.47
"14","2018-01-22",15.11
"15","2018-01-23",15.3
"16","2018-01-24",15.41
"17","2018-01-25",16
"18","2018-01-26",16.08
"19","2018-01-29",15.565
"20","2018-01-30",15.565
"21","2018-01-31",14.6
"22","2018-02-01",14.48
"23","2018-02-02",14.91
"24","2018-02-05",14
"25","2018-02-06",12.86
"26","2018-02-07",12.86
"27","2018-02-08",13.8
"28","2018-02-09",13.33
"29","2018-02-12",13.33
"30","2018-02-13",13.61
"31","2018-02-14",13.61
"32","2018-02-15",13.61
"33","2018-02-16",13.9
"34","2018-02-20",13.9
"35","2018-02-21",13.9
"36","2018-02-22",13.9
"37","2018-02-23",13.66
"38","2018-02-26",13.66
"39","2018-02-27",13.64
"40","2018-02-28",13.22
"41","2018-03-01",12.88
"42","2018-03-02",12.88
"43","2018-03-05",13.13
"44","2018-03-06",12.76
"45","2018-03-07",13.33
"46","2018-03-08",12.97
"47","2018-03-09",12.97
"48","2018-03-12",12.97
"49","2018-03-13",12.97
"50","2018-03-14",12.97
"51","2018-03-15",12.97
"52","2018-03-16",12.97
"53","2018-03-19",11.91
"54","2018-03-20",11.79
"55","2018-03-21",11.79
"56","2018-03-22",11.79
"57","2018-03-23",11.79
"58","2018-03-26",11.85
"59","2018-03-27",12.15
"60","2018-03-28",12.08
"61","2018-03-29",11.4
"62","2018-04-02",11.4
"63","2018-04-03",11.4
"64","2018-04-04",11.4
"65","2018-04-05",11.4
"66","2018-04-06",11.4
"67","2018-04-09",11.42
"68","2018-04-10",11.62
"69","2018-04-11",11.5
"70","2018-04-12",12.15
"71","2018-04-13",11.68
"72","2018-04-16",11.68
"73","2018-04-17",11.25
"74","2018-04-18",11.66
"75","2018-04-19",11.66
"76","2018-04-20",11.28
"77","2018-04-23",11.07
"78","2018-04-24",11.6
"79","2018-04-25",11.6
"80","2018-04-26",11.6
"81","2018-04-27",11.6
"82","2018-04-30",11.36
"83","2018-05-01",11.36
"84","2018-05-02",12.03
"85","2018-05-03",12.03
"86","2018-05-04",12.03
"87","2018-05-07",12.75
"88","2018-05-08",13
"89","2018-05-09",13.5
"90","2018-05-10",13.9
"91","2018-05-11",15.25
"92","2018-05-14",15.142
"93","2018-05-15",14.705
"94","2018-05-16",14.385
"95","2018-05-17",14.7
"96","2018-05-18",13.95
"97","2018-05-21",14.5
"98","2018-05-22",14.65
"99","2018-05-23",14
"100","2018-05-24",13.646
"101","2018-05-25",13.52
"102","2018-05-29",13.62
"103","2018-05-30",13.783
"104","2018-05-31",13.5
"105","2018-06-01",13.75
"106","2018-06-04",13.8
"107","2018-06-05",13.82
"108","2018-06-06",14
"109","2018-06-07",14.99
"110","2018-06-08",14.1
"111","2018-06-11",15.1
"112","2018-06-12",13.8
"113","2018-06-13",14
"114","2018-06-14",15
"115","2018-06-15",16
"116","2018-06-18",15.95
"117","2018-06-19",15.37
"118","2018-06-20",15.37
"119","2018-06-21",14.326
"120","2018-06-22",14.7
"121","2018-06-25",14.762
"122","2018-06-26",14.762
"123","2018-06-27",14.344
"124","2018-06-28",14.463
"125","2018-06-29",14
