"","date","SAFM"
"1","2007-01-03",30.639999
"2","2007-01-04",30.879999
"3","2007-01-05",30.790001
"4","2007-01-08",31.24
"5","2007-01-09",30.440001
"6","2007-01-10",31.379999
"7","2007-01-11",31.98
"8","2007-01-12",32.360001
"9","2007-01-16",30.950001
"10","2007-01-17",30
"11","2007-01-18",29.85
"12","2007-01-19",30.059999
"13","2007-01-22",30
"14","2007-01-23",29.959999
"15","2007-01-24",30.040001
"16","2007-01-25",29.84
"17","2007-01-26",30.41
"18","2007-01-29",31.200001
"19","2007-01-30",31.68
"20","2007-01-31",31.620001
"21","2007-02-01",32.310001
"22","2007-02-02",32.279999
"23","2007-02-05",30.620001
"24","2007-02-06",31.959999
"25","2007-02-07",32.029999
"26","2007-02-08",32.5
"27","2007-02-09",32.52
"28","2007-02-12",32.610001
"29","2007-02-13",32.869999
"30","2007-02-14",33.029999
"31","2007-02-15",33.330002
"32","2007-02-16",33.669998
"33","2007-02-20",34.150002
"34","2007-02-21",34.009998
"35","2007-02-22",33.700001
"36","2007-02-23",33.41
"37","2007-02-26",33.98
"38","2007-02-27",30.98
"39","2007-02-28",32.349998
"40","2007-03-01",32.540001
"41","2007-03-02",31.860001
"42","2007-03-05",31.34
"43","2007-03-06",32.310001
"44","2007-03-07",32.48
"45","2007-03-08",32.830002
"46","2007-03-09",33.380001
"47","2007-03-12",34.279999
"48","2007-03-13",34.43
"49","2007-03-14",34.209999
"50","2007-03-15",34.34
"51","2007-03-16",34.080002
"52","2007-03-19",34
"53","2007-03-20",34.200001
"54","2007-03-21",35.279999
"55","2007-03-22",35.32
"56","2007-03-23",35.32
"57","2007-03-26",34.880001
"58","2007-03-27",34.59
"59","2007-03-28",34.450001
"60","2007-03-29",34.619999
"61","2007-03-30",37.060001
"62","2007-04-02",35.91
"63","2007-04-03",36.59
"64","2007-04-04",36.48
"65","2007-04-05",36.09
"66","2007-04-09",35.830002
"67","2007-04-10",36.240002
"68","2007-04-11",35.77
"69","2007-04-12",36.34
"70","2007-04-13",36.450001
"71","2007-04-16",36.68
"72","2007-04-17",36.619999
"73","2007-04-18",36.080002
"74","2007-04-19",36.150002
"75","2007-04-20",37
"76","2007-04-23",37.799999
"77","2007-04-24",37.959999
"78","2007-04-25",38.450001
"79","2007-04-26",39.439999
"80","2007-04-27",39.169998
"81","2007-04-30",39.529999
"82","2007-05-01",39
"83","2007-05-02",39.970001
"84","2007-05-03",39.84
"85","2007-05-04",40.029999
"86","2007-05-07",40.5
"87","2007-05-08",40.200001
"88","2007-05-09",40.119999
"89","2007-05-10",39.799999
"90","2007-05-11",40.040001
"91","2007-05-14",39.48
"92","2007-05-15",39.759998
"93","2007-05-16",39.790001
"94","2007-05-17",39.540001
"95","2007-05-18",39.650002
"96","2007-05-21",39.880001
"97","2007-05-22",40.279999
"98","2007-05-23",39.990002
"99","2007-05-24",39.310001
"100","2007-05-25",42.810001
"101","2007-05-29",43.73
"102","2007-05-30",43.259998
"103","2007-05-31",42.990002
"104","2007-06-01",43.119999
"105","2007-06-04",43.119999
"106","2007-06-05",42.52
"107","2007-06-06",41.860001
"108","2007-06-07",41.310001
"109","2007-06-08",41.580002
"110","2007-06-11",42.029999
"111","2007-06-12",42.900002
"112","2007-06-13",43.830002
"113","2007-06-14",43.560001
"114","2007-06-15",43.349998
"115","2007-06-18",43.400002
"116","2007-06-19",43.73
"117","2007-06-20",43.470001
"118","2007-06-21",44.32
"119","2007-06-22",43.849998
"120","2007-06-25",44.369999
"121","2007-06-26",44.389999
"122","2007-06-27",44.990002
"123","2007-06-28",45.080002
"124","2007-06-29",45.02
"125","2007-07-02",45.75
"126","2007-07-03",45.240002
"127","2007-07-05",45.189999
"128","2007-07-06",45.299999
