"","date","NTP"
"1","2007-01-03",15.21
"2","2007-01-04",15.28
"3","2007-01-05",15.18
"4","2007-01-08",14.93
"5","2007-01-09",14.69
"6","2007-01-10",14.43
"7","2007-01-11",14.75
"8","2007-01-12",15.01
"9","2007-01-16",14.97
"10","2007-01-17",14.95
"11","2007-01-18",14.78
"12","2007-01-19",14.69
"13","2007-01-22",14.45
"14","2007-01-23",14.67
"15","2007-01-24",14.6
"16","2007-01-25",14.65
"17","2007-01-26",14.55
"18","2007-01-29",14.58
"19","2007-01-30",14
"20","2007-01-31",13.52
"21","2007-02-01",13.64
"22","2007-02-02",13.79
"23","2007-02-05",13.99
"24","2007-02-06",14.1
"25","2007-02-07",14.25
"26","2007-02-08",14.4
"27","2007-02-09",14.26
"28","2007-02-12",13.25
"29","2007-02-13",13.19
"30","2007-02-14",13.29
"31","2007-02-15",13.49
"32","2007-02-16",13.42
"33","2007-02-20",13.64
"34","2007-02-21",13.45
"35","2007-02-22",13.76
"36","2007-02-23",13.87
"37","2007-02-26",13.78
"38","2007-02-27",13.26
"39","2007-02-28",13.26
"40","2007-03-01",13.21
"41","2007-03-02",12.81
"42","2007-03-05",12.73
"43","2007-03-06",13.05
"44","2007-03-07",13.06
"45","2007-03-08",13.14
"46","2007-03-09",13.16
"47","2007-03-12",13.23
"48","2007-03-13",13.03
"49","2007-03-14",13
"50","2007-03-15",13.17
"51","2007-03-16",13.28
"52","2007-03-19",13.3
"53","2007-03-20",13.36
"54","2007-03-21",13.41
"55","2007-03-22",13.15
"56","2007-03-23",13.01
"57","2007-03-26",12.95
"58","2007-03-27",12.95
"59","2007-03-28",12.7
"60","2007-03-29",13
"61","2007-03-30",12.95
"62","2007-04-02",12.87
"63","2007-04-03",12.96
"64","2007-04-04",12.97
"65","2007-04-05",12.99
"66","2007-04-09",12.93
"67","2007-04-10",12.95
"68","2007-04-11",12.84
"69","2007-04-12",12.71
"70","2007-04-13",12.84
"71","2007-04-16",12.95
"72","2007-04-17",13.03
"73","2007-04-18",12.98
"74","2007-04-19",12.98
"75","2007-04-20",12.94
"76","2007-04-23",12.9
"77","2007-04-24",13.05
"78","2007-04-25",12.98
"79","2007-04-26",13.36
"80","2007-04-27",14.38
"81","2007-04-30",12.96
"82","2007-05-01",12.85
"83","2007-05-02",12.7
"84","2007-05-03",12.62
"85","2007-05-04",12.23
"86","2007-05-07",12.4
"87","2007-05-08",12.3
"88","2007-05-09",12.4
"89","2007-05-10",12.17
"90","2007-05-11",12.11
"91","2007-05-14",12.13
"92","2007-05-15",12.02
