"","date","BHAT"
"1","2019-07-26",4.58
"2","2019-07-29",4.31
"3","2019-07-30",3.97
"4","2019-07-31",3.82
"5","2019-08-01",3.7
"6","2019-08-02",3.7
"7","2019-08-05",4.75
"8","2019-08-06",3.87
"9","2019-08-07",3.82
"10","2019-08-08",3.75
"11","2019-08-09",3.97
"12","2019-08-12",3.92
"13","2019-08-13",3.806
"14","2019-08-14",3.83
"15","2019-08-15",3.5
"16","2019-08-16",3.09
"17","2019-08-19",2.8
"18","2019-08-20",2.82
"19","2019-08-21",2.91
"20","2019-08-22",2.82
"21","2019-08-23",2.66
"22","2019-08-26",2.795
"23","2019-08-27",2.73
"24","2019-08-28",2.88
"25","2019-08-29",2.98
"26","2019-08-30",3.01
"27","2019-09-03",2.74
"28","2019-09-04",2.88
"29","2019-09-05",2.68
"30","2019-09-06",2.95
"31","2019-09-09",3.19
"32","2019-09-10",3.28
"33","2019-09-11",3.22
"34","2019-09-12",3.53
"35","2019-09-13",3.73
"36","2019-09-16",3.49
"37","2019-09-17",3.35
"38","2019-09-18",3.19
"39","2019-09-19",3.06
"40","2019-09-20",3.1
"41","2019-09-23",3.29
"42","2019-09-24",3.28
"43","2019-09-25",3.65
"44","2019-09-26",3.57
"45","2019-09-27",3.4
"46","2019-09-30",3.32
"47","2019-10-01",3.15
"48","2019-10-02",3.16
"49","2019-10-03",3.11
"50","2019-10-04",3.12
"51","2019-10-07",3.21
"52","2019-10-08",3.28
"53","2019-10-09",3.32
"54","2019-10-10",3.39
"55","2019-10-11",3.32
"56","2019-10-14",3.32
"57","2019-10-15",3.14
"58","2019-10-16",3.21
"59","2019-10-17",3
"60","2019-10-18",3.32
"61","2019-10-21",3.23
"62","2019-10-22",3.36
"63","2019-10-23",3.06
"64","2019-10-24",3.04
"65","2019-10-25",2.95
"66","2019-10-28",2.96
"67","2019-10-29",2.85
"68","2019-10-30",2.78
"69","2019-10-31",2.98
"70","2019-11-01",3.02
"71","2019-11-04",2.99
"72","2019-11-05",3.12
"73","2019-11-06",3.06
"74","2019-11-07",3.06
"75","2019-11-08",3.05
"76","2019-11-11",3.04
"77","2019-11-12",3
"78","2019-11-13",3.02
"79","2019-11-14",3.13
"80","2019-11-15",3.23
"81","2019-11-18",3.21
"82","2019-11-19",3.15
"83","2019-11-20",2.57
"84","2019-11-21",2.91
"85","2019-11-22",2.78
"86","2019-11-25",2.88
"87","2019-11-26",2.71
"88","2019-11-27",2.82
"89","2019-11-29",2.77
"90","2019-12-02",2.78
"91","2019-12-03",2.7
"92","2019-12-04",2.77
"93","2019-12-05",2.72
"94","2019-12-06",2.534
"95","2019-12-09",2.48
"96","2019-12-10",2.27
"97","2019-12-11",2.06
"98","2019-12-12",2.08
"99","2019-12-13",2.01
"100","2019-12-16",2.1
"101","2019-12-17",2.29
"102","2019-12-18",2.44
"103","2019-12-19",2.64
"104","2019-12-20",2.43
"105","2019-12-23",2.46
"106","2019-12-24",2.48
"107","2019-12-26",2.49
"108","2019-12-27",2.12
"109","2019-12-30",2.24
"110","2019-12-31",2.01
"111","2020-01-02",2.09
"112","2020-01-03",2.075
"113","2020-01-06",2.07
"114","2020-01-07",2.1
"115","2020-01-08",2.04
"116","2020-01-09",2.1
"117","2020-01-10",2.04
"118","2020-01-13",2.05
"119","2020-01-14",1.86
"120","2020-01-15",1.93
"121","2020-01-16",1.97
"122","2020-01-17",1.95
"123","2020-01-21",1.81
"124","2020-01-22",1.72
"125","2020-01-23",1.73
"126","2020-01-24",1.64
"127","2020-01-27",1.54
"128","2020-01-28",1.68
"129","2020-01-29",1.59
"130","2020-01-30",1.55
"131","2020-01-31",1.25
"132","2020-02-03",1.296
"133","2020-02-04",1.25
"134","2020-02-05",1.25
"135","2020-02-06",1.41
"136","2020-02-07",1.23
"137","2020-02-10",1.28
"138","2020-02-11",1.12
"139","2020-02-12",1.15
"140","2020-02-13",1.23
"141","2020-02-14",1.16
"142","2020-02-18",1.13
"143","2020-02-19",1.11
"144","2020-02-20",1.25
"145","2020-02-21",1.12
"146","2020-02-24",1.01
"147","2020-02-25",0.98
"148","2020-02-26",1.01
"149","2020-02-27",0.99
"150","2020-02-28",0.96
"151","2020-03-02",0.9
"152","2020-03-03",0.99
"153","2020-03-04",0.99
"154","2020-03-05",0.975
"155","2020-03-06",0.867
"156","2020-03-09",0.792
"157","2020-03-10",0.771
"158","2020-03-11",0.791
"159","2020-03-12",0.715
"160","2020-03-13",0.7
"161","2020-03-16",0.675
"162","2020-03-17",0.717
"163","2020-03-18",0.7
"164","2020-03-19",0.91
"165","2020-03-20",0.811
"166","2020-03-23",0.814
"167","2020-03-24",0.79
"168","2020-03-25",0.78
"169","2020-03-26",0.795
"170","2020-03-27",0.821
"171","2020-03-30",0.711
"172","2020-03-31",0.81
"173","2020-04-01",0.8
"174","2020-04-02",0.8
"175","2020-04-03",0.79
"176","2020-04-06",0.794
"177","2020-04-07",0.786
"178","2020-04-08",0.776
"179","2020-04-09",0.8
"180","2020-04-13",0.8
"181","2020-04-14",0.811
"182","2020-04-15",0.83
"183","2020-04-16",0.82
"184","2020-04-17",0.81
"185","2020-04-20",0.779
"186","2020-04-21",0.859
"187","2020-04-22",0.856
"188","2020-04-23",0.903
"189","2020-04-24",0.91
"190","2020-04-27",1.01
"191","2020-04-28",1.06
"192","2020-04-29",1.12
"193","2020-04-30",1.18
"194","2020-05-01",1.44
"195","2020-05-04",1.27
"196","2020-05-05",1.18
"197","2020-05-06",1.18
"198","2020-05-07",1.23
"199","2020-05-08",1.17
"200","2020-05-11",1.17
"201","2020-05-12",1.136
"202","2020-05-13",1.036
"203","2020-05-14",1.04
"204","2020-05-15",1.03
"205","2020-05-18",1.03
"206","2020-05-19",1.06
"207","2020-05-20",1.03
"208","2020-05-21",1.05
"209","2020-05-22",0.965
"210","2020-05-26",0.941
"211","2020-05-27",0.952
"212","2020-05-28",1.23
"213","2020-05-29",1.15
"214","2020-06-01",1.08
"215","2020-06-02",1.32
"216","2020-06-03",1.32
"217","2020-06-04",1.24
"218","2020-06-05",1.17
"219","2020-06-08",1.29
"220","2020-06-09",1.28
"221","2020-06-10",1.19
"222","2020-06-11",1.28
"223","2020-06-12",1.26
"224","2020-06-15",1.25
"225","2020-06-16",1.42
"226","2020-06-17",1.32
"227","2020-06-18",1.3
"228","2020-06-19",1.26
"229","2020-06-22",1.25
"230","2020-06-23",1.26
"231","2020-06-24",1.25
"232","2020-06-25",1.23
"233","2020-06-26",1.17
"234","2020-06-29",1.23
"235","2020-06-30",1.31
"236","2020-07-01",1.25
"237","2020-07-02",1.36
"238","2020-07-06",1.334
"239","2020-07-07",1.27
"240","2020-07-08",1.32
"241","2020-07-09",1.3
"242","2020-07-10",1.38
"243","2020-07-13",1.34
"244","2020-07-14",1.33
"245","2020-07-15",1.47
"246","2020-07-16",1.58
"247","2020-07-17",1.5
"248","2020-07-20",1.46
"249","2020-07-21",1.43
"250","2020-07-22",1.38
"251","2020-07-23",1.37
"252","2020-07-24",1.32
"253","2020-07-27",1.38
"254","2020-07-28",1.35
"255","2020-07-29",1.31
"256","2020-07-30",1.26
"257","2020-07-31",1.23
"258","2020-08-03",1.24
"259","2020-08-04",1.25
"260","2020-08-05",1.26
"261","2020-08-06",1.29
"262","2020-08-07",1.265
"263","2020-08-10",1.29
"264","2020-08-11",1.28
"265","2020-08-12",1.24
"266","2020-08-13",1.22
"267","2020-08-14",1.15
"268","2020-08-17",0.932
"269","2020-08-18",0.975
"270","2020-08-19",0.955
"271","2020-08-20",0.96
"272","2020-08-21",1.01
"273","2020-08-24",1.06
"274","2020-08-25",1.12
"275","2020-08-26",1.12
"276","2020-08-27",1.14
"277","2020-08-28",1.12
"278","2020-08-31",1.07
"279","2020-09-01",1.09
"280","2020-09-02",1.09
"281","2020-09-03",1.04
"282","2020-09-04",1.06
"283","2020-09-08",1.14
"284","2020-09-09",1.08
"285","2020-09-10",1.04
"286","2020-09-11",1.08
"287","2020-09-14",1.04
"288","2020-09-15",1.08
"289","2020-09-16",1.14
"290","2020-09-17",1.11
"291","2020-09-18",1.08
"292","2020-09-21",1.06
"293","2020-09-22",1.02
"294","2020-09-23",1
"295","2020-09-24",0.942
"296","2020-09-25",0.97
"297","2020-09-28",0.95
"298","2020-09-29",0.883
"299","2020-09-30",0.881
"300","2020-10-01",0.892
"301","2020-10-02",0.854
"302","2020-10-05",0.83
"303","2020-10-06",0.814
"304","2020-10-07",0.889
"305","2020-10-08",0.86
"306","2020-10-09",0.879
"307","2020-10-12",0.99
"308","2020-10-13",0.891
"309","2020-10-14",0.896
"310","2020-10-15",0.88
"311","2020-10-16",0.89
"312","2020-10-19",0.942
"313","2020-10-20",0.923
"314","2020-10-21",0.936
"315","2020-10-22",0.95
"316","2020-10-23",0.92
"317","2020-10-26",0.873
"318","2020-10-27",0.865
"319","2020-10-28",0.84
"320","2020-10-29",0.82
"321","2020-10-30",0.78
"322","2020-11-02",0.796
"323","2020-11-03",0.795
"324","2020-11-04",0.791
"325","2020-11-05",0.807
"326","2020-11-06",0.8
"327","2020-11-09",0.845
"328","2020-11-10",0.825
"329","2020-11-11",0.847
"330","2020-11-12",0.863
"331","2020-11-13",0.881
"332","2020-11-16",0.876
"333","2020-11-17",0.867
"334","2020-11-18",0.886
"335","2020-11-19",0.949
"336","2020-11-20",0.86
"337","2020-11-23",0.91
"338","2020-11-24",0.89
"339","2020-11-25",0.95
"340","2020-11-27",0.941
