"","date","AMRH"
"1","2015-05-04",1.25
"2","2015-05-05",1.25
"3","2015-05-06",1.25
"4","2015-05-07",1.25
"5","2015-05-08",1.275
"6","2015-05-11",1.275
"7","2015-05-12",1.275
"8","2015-05-13",1.275
"9","2015-05-14",1.475
"10","2015-05-15",1.25
"11","2015-05-18",1.25
"12","2015-05-19",1.25
"13","2015-05-20",1.25
"14","2015-05-21",1.25
"15","2015-05-22",1.25
"16","2015-05-26",37.5
"17","2015-05-27",37.5
"18","2015-05-28",31.25
"19","2015-05-29",43.75
"20","2015-06-01",50
"21","2015-06-02",56.25
"22","2015-06-03",57.75
"23","2015-06-04",52.5
"24","2015-06-05",60
"25","2015-06-08",52.5
"26","2015-06-09",58.75
"27","2015-06-10",49.75
"28","2015-06-11",57.5
"29","2015-06-12",57.5
"30","2015-06-15",62.25
"31","2015-06-16",75
"32","2015-06-17",75
"33","2015-06-18",63.75
"34","2015-06-19",77.5
"35","2015-06-22",70
"36","2015-06-23",91.75
"37","2015-06-24",99.75
"38","2015-06-25",97.5
"39","2015-06-26",84.25
"40","2015-06-29",82.5
"41","2015-06-30",82.5
"42","2015-07-01",82.5
"43","2015-07-02",86.25
"44","2015-07-06",84.75
"45","2015-07-07",68.25
"46","2015-07-08",63.25
"47","2015-07-09",89.75
"48","2015-07-10",87.75
"49","2015-07-13",50
"50","2015-07-14",75.25
"51","2015-07-15",75.25
"52","2015-07-16",37.5
"53","2015-07-17",63.25
"54","2015-07-20",63.25
"55","2015-07-21",63.25
"56","2015-07-22",63.25
"57","2015-07-23",63.25
"58","2015-07-24",63.25
"59","2015-07-27",75.25
"60","2015-07-28",75.25
"61","2015-07-29",81.5
"62","2015-07-30",85
"63","2015-07-31",91.5
"64","2015-08-03",87.75
"65","2015-08-04",87.75
"66","2015-08-05",87.75
"67","2015-08-06",92.25
"68","2015-08-07",92.25
"69","2015-08-10",92.25
"70","2015-08-11",92.25
"71","2015-08-12",100
"72","2015-08-13",112
"73","2015-08-14",100.25
"74","2015-08-17",118.75
"75","2015-08-18",118.75
"76","2015-08-19",100.25
"77","2015-08-20",130.75
"78","2015-08-21",125
"79","2015-08-24",112.75
"80","2015-08-25",112.75
"81","2015-08-26",94
"82","2015-08-27",106.25
"83","2015-08-28",106.25
"84","2015-08-31",106.25
"85","2015-09-01",106.25
"86","2015-09-02",112.75
"87","2015-09-03",113
"88","2015-09-04",112.75
"89","2015-09-08",112.75
"90","2015-09-09",112.75
"91","2015-09-10",112.75
"92","2015-09-11",118.5
