"","date","RLI"
"1","2007-01-03",28.305
"2","2007-01-04",28.1
"3","2007-01-05",27.455
"4","2007-01-08",27.27
"5","2007-01-09",26.915001
"6","2007-01-10",26.549999
"7","2007-01-11",26.775
"8","2007-01-12",26.74
"9","2007-01-16",26.540001
"10","2007-01-17",26.195
"11","2007-01-18",25.91
"12","2007-01-19",25.725
"13","2007-01-22",25.5
"14","2007-01-23",27.4
"15","2007-01-24",27.424999
"16","2007-01-25",27.584999
"17","2007-01-26",27.84
"18","2007-01-29",27.75
"19","2007-01-30",27.795
"20","2007-01-31",27.67
"21","2007-02-01",27.84
"22","2007-02-02",28.105
"23","2007-02-05",28.365
"24","2007-02-06",28.545
"25","2007-02-07",28.674999
"26","2007-02-08",29.135
"27","2007-02-09",28.825001
"28","2007-02-12",28.82
"29","2007-02-13",29.075001
"30","2007-02-14",29.190001
"31","2007-02-15",29.01
"32","2007-02-16",29.129999
"33","2007-02-20",29.18
"34","2007-02-21",29.165001
"35","2007-02-22",29.139999
"36","2007-02-23",28.6
"37","2007-02-26",28.775
"38","2007-02-27",28.155001
"39","2007-02-28",28.030001
"40","2007-03-01",27.799999
"41","2007-03-02",27.635
"42","2007-03-05",26.945
"43","2007-03-06",27.325001
"44","2007-03-07",27.370001
"45","2007-03-08",27.325001
"46","2007-03-09",27.615
"47","2007-03-12",27.955
"48","2007-03-13",27.379999
"49","2007-03-14",27.695
"50","2007-03-15",27.82
"51","2007-03-16",27.504999
"52","2007-03-19",27.75
"53","2007-03-20",27.809999
"54","2007-03-21",28
"55","2007-03-22",27.92
"56","2007-03-23",27.965
"57","2007-03-26",28.120001
"58","2007-03-27",27.76
"59","2007-03-28",27.610001
"60","2007-03-29",27.799999
"61","2007-03-30",27.465
"62","2007-04-02",27.5
"63","2007-04-03",27.715
"64","2007-04-04",27.625
"65","2007-04-05",27.395
"66","2007-04-09",27.6
"67","2007-04-10",27.809999
"68","2007-04-11",27.559999
"69","2007-04-12",27.67
"70","2007-04-13",27.745001
"71","2007-04-16",28.09
"72","2007-04-17",28
"73","2007-04-18",28.655001
"74","2007-04-19",28.209999
"75","2007-04-20",28.450001
"76","2007-04-23",28.445
"77","2007-04-24",28.5
"78","2007-04-25",28.969999
"79","2007-04-26",28.754999
"80","2007-04-27",28.195
"81","2007-04-30",27.844999
"82","2007-05-01",27.725
"83","2007-05-02",27.995001
"84","2007-05-03",28.045
"85","2007-05-04",28.385
"86","2007-05-07",28.690001
"87","2007-05-08",28.76
"88","2007-05-09",28.615
"89","2007-05-10",28.48
"90","2007-05-11",28.940001
"91","2007-05-14",28.665001
"92","2007-05-15",28.33
"93","2007-05-16",28.805
"94","2007-05-17",27.959999
"95","2007-05-18",28.02
