"","date","TGA"
"1","2007-01-03",4.82
"2","2007-01-04",4.64
"3","2007-01-05",4.6
"4","2007-01-08",4.86
"5","2007-01-09",4.83
"6","2007-01-10",4.71
"7","2007-01-11",4.72
"8","2007-01-12",4.74
"9","2007-01-16",4.74
"10","2007-01-17",4.91
"11","2007-01-18",4.8
"12","2007-01-19",4.95
"13","2007-01-22",4.86
"14","2007-01-23",4.98
"15","2007-01-24",5.08
"16","2007-01-25",4.86
"17","2007-01-26",4.94
"18","2007-01-29",4.87
"19","2007-01-30",4.84
"20","2007-01-31",4.96
"21","2007-02-01",5.06
"22","2007-02-02",4.8
"23","2007-02-05",4.7
"24","2007-02-06",4.78
"25","2007-02-07",4.7
"26","2007-02-08",4.77
"27","2007-02-09",4.65
"28","2007-02-12",4.45
"29","2007-02-13",4.63
"30","2007-02-14",4.55
"31","2007-02-15",4.42
"32","2007-02-16",4.41
"33","2007-02-20",4.41
"34","2007-02-21",4.47
"35","2007-02-22",4.62
"36","2007-02-23",4.54
"37","2007-02-26",4.58
"38","2007-02-27",4.44
"39","2007-02-28",4.4
"40","2007-03-01",4.36
"41","2007-03-02",4.18
"42","2007-03-05",4.08
"43","2007-03-06",4.3
"44","2007-03-07",4.44
"45","2007-03-08",4.34
"46","2007-03-09",4.35
"47","2007-03-12",4.48
"48","2007-03-13",4.26
"49","2007-03-14",4.17
"50","2007-03-15",4.12
"51","2007-03-16",3.97
"52","2007-03-19",3.93
"53","2007-03-20",3.86
"54","2007-03-21",3.86
"55","2007-03-22",4.01
"56","2007-03-23",4.09
"57","2007-03-26",4.01
"58","2007-03-27",3.98
"59","2007-03-28",3.89
"60","2007-03-29",3.86
"61","2007-03-30",3.93
"62","2007-04-02",4
"63","2007-04-03",3.99
"64","2007-04-04",3.97
"65","2007-04-05",3.99
"66","2007-04-09",3.9
"67","2007-04-10",3.82
"68","2007-04-11",3.91
"69","2007-04-12",3.89
"70","2007-04-13",3.92
"71","2007-04-16",3.92
"72","2007-04-17",3.93
"73","2007-04-18",3.94
"74","2007-04-19",3.93
"75","2007-04-20",4.07
"76","2007-04-23",4.11
"77","2007-04-24",4.28
"78","2007-04-25",4.28
"79","2007-04-26",4.21
"80","2007-04-27",4.43
"81","2007-04-30",4.37
"82","2007-05-01",4.09
"83","2007-05-02",4.17
"84","2007-05-03",4.09
"85","2007-05-04",4.03
"86","2007-05-07",4
"87","2007-05-08",3.97
"88","2007-05-09",4.02
"89","2007-05-10",3.96
"90","2007-05-11",4.16
"91","2007-05-14",3.98
"92","2007-05-15",3.87
"93","2007-05-16",3.81
"94","2007-05-17",3.89
"95","2007-05-18",3.88
"96","2007-05-21",3.82
"97","2007-05-22",3.9
"98","2007-05-23",3.97
"99","2007-05-24",3.96
"100","2007-05-25",3.94
"101","2007-05-29",3.86
"102","2007-05-30",3.93
"103","2007-05-31",3.87
