"","date","FRG"
"1","2018-07-27",10.4
"2","2018-07-30",10.6
"3","2018-07-31",10.3
"4","2018-08-01",9.2
"5","2018-08-02",9.1
"6","2018-08-03",9.26
"7","2018-08-06",9.29
"8","2018-08-07",10.1
"9","2018-08-08",10.4
"10","2018-08-09",10.17
"11","2018-08-10",10.16
"12","2018-08-13",10.3
"13","2018-08-14",10.55
"14","2018-08-15",10.75
"15","2018-08-16",11.15
"16","2018-08-17",11
"17","2018-08-20",11.05
"18","2018-08-21",11.1
"19","2018-08-22",11.38
"20","2018-08-23",11.44
"21","2018-08-24",11.32
"22","2018-08-27",11.4
"23","2018-08-28",10.95
"24","2018-08-29",11.2
"25","2018-08-30",11.32
"26","2018-08-31",11.5
"27","2018-09-04",11.45
"28","2018-09-05",11.45
"29","2018-09-06",11.5
"30","2018-09-07",11.52
"31","2018-09-10",11.51
"32","2018-09-11",11.55
"33","2018-09-12",11.55
"34","2018-09-13",11.55
"35","2018-09-14",11.55
"36","2018-09-17",11.6
"37","2018-09-18",11.6
"38","2018-09-19",11.56
"39","2018-09-20",11.61
"40","2018-09-21",12
"41","2018-09-24",11.6
"42","2018-09-25",11.6
"43","2018-09-26",11.5
"44","2018-09-27",11.61
"45","2018-09-28",11.65
"46","2018-10-01",11.6
"47","2018-10-02",11.5
"48","2018-10-03",11.7
"49","2018-10-04",11.6
"50","2018-10-05",11.6
"51","2018-10-08",11.61
"52","2018-10-09",11.55
"53","2018-10-10",11.5
"54","2018-10-11",11.5
"55","2018-10-12",11.55
"56","2018-10-15",11.71
"57","2018-10-16",11.65
"58","2018-10-17",11.7
"59","2018-10-18",11.8
"60","2018-10-19",11.85
"61","2018-10-22",11.6
"62","2018-10-23",11.6
"63","2018-10-24",11.65
"64","2018-10-25",11.65
"65","2018-10-26",11.6
"66","2018-10-29",10.5
"67","2018-10-30",10.58
"68","2018-10-31",10.8
"69","2018-11-01",10.7
"70","2018-11-02",10.55
"71","2018-11-05",10.4
"72","2018-11-06",10.41
"73","2018-11-07",10.26
"74","2018-11-08",10.25
"75","2018-11-09",10.1
"76","2018-11-12",9.5
"77","2018-11-13",9.29
"78","2018-11-14",9.9
"79","2018-11-15",10
"80","2018-11-16",10.78
"81","2018-11-19",10.01
"82","2018-11-20",10
"83","2018-11-21",9.75
"84","2018-11-23",9.75
"85","2018-11-26",9.75
"86","2018-11-27",9.8
"87","2018-11-28",9.51
"88","2018-11-29",12.3
"89","2018-11-30",12.19
"90","2018-12-03",12
"91","2018-12-04",11.6
"92","2018-12-06",11.5
"93","2018-12-07",11.55
"94","2018-12-10",11.77
"95","2018-12-11",11.83
"96","2018-12-12",12.1
"97","2018-12-13",12.01
"98","2018-12-14",11.8
"99","2018-12-17",11.91
"100","2018-12-18",11.9
"101","2018-12-19",11.75
"102","2018-12-20",11.41
"103","2018-12-21",11.6
"104","2018-12-24",11.65
"105","2018-12-26",11.65
"106","2018-12-27",11.85
"107","2018-12-28",11.75
"108","2018-12-31",11.73
"109","2019-01-02",11.7
"110","2019-01-03",11.75
"111","2019-01-04",12
"112","2019-01-07",12.05
"113","2019-01-08",12.22
"114","2019-01-09",12.1
"115","2019-01-10",12.15
"116","2019-01-11",12.25
"117","2019-01-14",12.05
"118","2019-01-15",12.25
"119","2019-01-16",12.25
"120","2019-01-17",12
"121","2019-01-18",12.1
"122","2019-01-22",12.05
"123","2019-01-23",12.2
"124","2019-01-24",12.2
"125","2019-01-25",12.2
"126","2019-01-28",11.9
"127","2019-01-29",12
"128","2019-01-30",11.98
"129","2019-01-31",11.91
"130","2019-02-01",12
"131","2019-02-04",12
"132","2019-02-05",11.95
"133","2019-02-06",11.95
"134","2019-02-07",11.87
"135","2019-02-08",11.9
"136","2019-02-11",11.86
"137","2019-02-12",11.85
"138","2019-02-13",11.85
"139","2019-02-14",11.93
"140","2019-02-15",11.85
"141","2019-02-19",11.85
"142","2019-02-20",11.9
"143","2019-02-21",11.85
"144","2019-02-22",11.8
"145","2019-02-25",11.7
"146","2019-02-26",11.6
"147","2019-02-27",11.6
"148","2019-02-28",11.55
"149","2019-03-01",11.51
"150","2019-03-04",11.5
"151","2019-03-05",11.25
"152","2019-03-06",11.25
"153","2019-03-07",10.99
"154","2019-03-08",10.99
"155","2019-03-11",10.75
"156","2019-03-12",9.95
"157","2019-03-13",10.25
"158","2019-03-14",10
"159","2019-03-15",10.06
"160","2019-03-18",10.09
"161","2019-03-19",10.15
"162","2019-03-20",10.2
"163","2019-03-21",10.04
"164","2019-03-22",10.01
"165","2019-03-25",10
"166","2019-03-26",9.94
"167","2019-03-27",9.94
"168","2019-03-28",9.94
"169","2019-03-29",9.89
"170","2019-04-01",9.89
"171","2019-04-02",9.99
"172","2019-04-03",9.94
"173","2019-04-04",9.95
"174","2019-04-05",9.87
"175","2019-04-08",9.9
"176","2019-04-09",9.77
"177","2019-04-10",9.75
"178","2019-04-11",9.89
"179","2019-04-12",9.79
"180","2019-04-15",9.53
"181","2019-04-16",9.52
"182","2019-04-17",9.5
"183","2019-04-18",9.05
"184","2019-04-22",9.2
"185","2019-04-23",9
"186","2019-04-24",9.2
"187","2019-04-25",9.05
"188","2019-04-26",8.92
"189","2019-04-29",9.05
"190","2019-04-30",9
"191","2019-05-01",8.95
"192","2019-05-02",9
"193","2019-05-03",9.15
"194","2019-05-06",10.09
"195","2019-05-07",10.05
"196","2019-05-08",10.01
"197","2019-05-09",10.01
"198","2019-05-10",10.05
"199","2019-05-13",9.9
"200","2019-05-14",9.86
"201","2019-05-15",9.8
"202","2019-05-16",9.9
"203","2019-05-17",9.84
"204","2019-05-20",9.95
"205","2019-05-21",9.95
"206","2019-05-22",9.95
"207","2019-05-23",9.81
"208","2019-05-24",10
"209","2019-05-28",10
"210","2019-05-29",10.02
"211","2019-05-30",10
"212","2019-05-31",10
"213","2019-06-03",10
"214","2019-06-04",10
"215","2019-06-05",9.9
"216","2019-06-06",10
"217","2019-06-07",10
"218","2019-06-10",10
"219","2019-06-11",10.1
"220","2019-06-12",10.1
"221","2019-06-13",9.95
"222","2019-06-14",9.95
"223","2019-06-17",9.85
"224","2019-06-18",9.65
"225","2019-06-19",9.9
"226","2019-06-20",9.5
"227","2019-06-21",9.32
"228","2019-06-24",9
"229","2019-06-25",9.5
"230","2019-06-26",9.5
"231","2019-06-27",9.55
"232","2019-06-28",9.6
"233","2019-07-01",9.87
"234","2019-07-02",9.95
"235","2019-07-03",10
"236","2019-07-05",9.95
"237","2019-07-08",9.95
"238","2019-07-09",9.7
"239","2019-07-10",9.7
"240","2019-07-11",11.8
"241","2019-07-12",11.8
"242","2019-07-15",11.82
"243","2019-07-16",11.84
"244","2019-07-17",11.85
"245","2019-07-18",11.85
"246","2019-07-19",11.85
"247","2019-07-22",11.9
"248","2019-07-23",11.87
"249","2019-07-24",11.9
