"","date","DUOT"
"1","2017-05-30",5.25
"2","2017-05-31",5.5
"3","2017-06-01",5
"4","2017-06-02",5.85
"5","2017-06-05",5.5
"6","2017-06-06",5.6
"7","2017-06-07",6
"8","2017-06-08",6.15
"9","2017-06-09",6.15
"10","2017-06-12",5.8
"11","2017-06-13",6.25
"12","2017-06-14",6.25
"13","2017-06-15",5.8
"14","2017-06-16",5.93
"15","2017-06-19",5.85
"16","2017-06-20",5.9
"17","2017-06-21",5.5
"18","2017-06-22",5.5
"19","2017-06-23",5.5
"20","2017-06-26",5.33
"21","2017-06-27",5.35
"22","2017-06-28",5.4
"23","2017-06-29",5.25
"24","2017-06-30",5.35
"25","2017-07-03",5.35
"26","2017-07-05",5.125
"27","2017-07-06",5.4
"28","2017-07-07",5.4
"29","2017-07-10",5.4
"30","2017-07-11",5.4
"31","2017-07-12",5.3
"32","2017-07-13",4.11
"33","2017-07-14",4.41
"34","2017-07-17",4.74
"35","2017-07-18",4.74
"36","2017-07-19",4.74
"37","2017-07-20",4.74
"38","2017-07-21",4.74
"39","2017-07-24",4.74
"40","2017-07-25",4.74
"41","2017-07-26",4.74
"42","2017-07-27",4.74
"43","2017-07-28",4.74
"44","2017-07-31",4.74
"45","2017-08-01",4
"46","2017-08-02",4
"47","2017-08-03",3.08
"48","2017-08-04",3.08
"49","2017-08-07",3.08
"50","2017-08-08",3.08
"51","2017-08-09",3
"52","2017-08-10",3
"53","2017-08-11",3
"54","2017-08-14",3
"55","2017-08-15",3
"56","2017-08-16",2.9
"57","2017-08-17",2.9
"58","2017-08-18",2.9
"59","2017-08-21",2.9
"60","2017-08-22",2.91
"61","2017-08-23",2.55
"62","2017-08-24",2.549
"63","2017-08-25",2.549
"64","2017-08-28",2.549
"65","2017-08-29",2.549
"66","2017-08-30",2.549
"67","2017-08-31",2.549
"68","2017-09-01",2.549
"69","2017-09-05",2.549
"70","2017-09-06",2.549
"71","2017-09-07",2.549
"72","2017-09-08",2.549
"73","2017-09-11",2.549
"74","2017-09-12",2.549
"75","2017-09-13",2.549
"76","2017-09-14",2.549
"77","2017-09-15",2.75
"78","2017-09-18",2.75
"79","2017-09-19",2.65
"80","2017-09-20",2.65
"81","2017-09-21",2.65
"82","2017-09-22",2.65
"83","2017-09-25",2.65
"84","2017-09-26",2.65
"85","2017-09-27",2.65
"86","2017-09-28",2.65
"87","2017-09-29",2.65
"88","2017-10-02",2.65
"89","2017-10-03",2.65
"90","2017-10-04",2.65
"91","2017-10-05",2.65
"92","2017-10-06",2.65
"93","2017-10-09",2.65
"94","2017-10-10",2.5
"95","2017-10-11",2.5
"96","2017-10-12",2.5
"97","2017-10-13",2.5
"98","2017-10-16",2.25
"99","2017-10-17",2.25
"100","2017-10-18",2.25
"101","2017-10-19",2.25
"102","2017-10-20",2.25
"103","2017-10-23",2.99
"104","2017-10-24",2.99
"105","2017-10-25",1.5
"106","2017-10-26",1.5
"107","2017-10-27",1.5
"108","2017-10-30",1.5
"109","2017-10-31",1.5
"110","2017-11-01",1.5
"111","2017-11-02",1.5
"112","2017-11-03",1.5
