"","date","SELF"
"1","2007-01-03",4.16
"2","2007-01-04",4.13
"3","2007-01-05",4.17
"4","2007-01-08",4.21
"5","2007-01-09",4.15
"6","2007-01-10",4.11
"7","2007-01-11",4.17
"8","2007-01-12",4.12
"9","2007-01-16",4.15
"10","2007-01-17",4.15
"11","2007-01-18",4.14
"12","2007-01-19",4.13
"13","2007-01-22",4.13
"14","2007-01-23",4.13
"15","2007-01-24",4.13
"16","2007-01-25",4.16
"17","2007-01-26",4.13
"18","2007-01-29",4.2
"19","2007-01-30",4.15
"20","2007-01-31",4.12
"21","2007-02-01",4.19
"22","2007-02-02",4.12
"23","2007-02-05",4.13
"24","2007-02-06",4.18
"25","2007-02-07",4.14
"26","2007-02-08",4.14
"27","2007-02-09",4.16
"28","2007-02-12",4.12
"29","2007-02-13",4.17
"30","2007-02-14",4.11
"31","2007-02-15",4.12
"32","2007-02-16",4.15
"33","2007-02-20",4.12
"34","2007-02-21",4.15
"35","2007-02-22",4.14
"36","2007-02-23",4.19
"37","2007-02-26",4.17
"38","2007-02-27",4.2
"39","2007-02-28",4.21
"40","2007-03-01",4.21
"41","2007-03-02",4.16
"42","2007-03-05",4.04
"43","2007-03-06",4.06
"44","2007-03-07",4.1
"45","2007-03-08",4.09
"46","2007-03-09",4.04
"47","2007-03-12",4.04
"48","2007-03-13",4.06
"49","2007-03-14",4.04
"50","2007-03-15",4.05
"51","2007-03-16",4.05
"52","2007-03-19",4.05
"53","2007-03-20",4
"54","2007-03-21",4.01
"55","2007-03-22",4.07
"56","2007-03-23",4.02
"57","2007-03-26",4.03
"58","2007-03-27",4.09
"59","2007-03-28",4.03
"60","2007-03-29",4.09
"61","2007-03-30",4.05
"62","2007-04-02",4.06
"63","2007-04-03",4.08
"64","2007-04-04",4.08
"65","2007-04-05",4.03
"66","2007-04-09",4.02
"67","2007-04-10",4.05
"68","2007-04-11",4.05
"69","2007-04-12",4.07
"70","2007-04-13",4.08
"71","2007-04-16",4.1
"72","2007-04-17",4.1
"73","2007-04-18",4.08
"74","2007-04-19",4.08
"75","2007-04-20",4.05
"76","2007-04-23",4.09
"77","2007-04-24",4.07
"78","2007-04-25",4.09
"79","2007-04-26",4.05
"80","2007-04-27",4.05
"81","2007-04-30",4.09
"82","2007-05-01",4.09
"83","2007-05-02",4.07
"84","2007-05-03",4.08
"85","2007-05-04",4.07
"86","2007-05-07",4.12
"87","2007-05-08",4.1
"88","2007-05-09",4.09
"89","2007-05-10",4.1
"90","2007-05-11",4.12
"91","2007-05-14",4.14
"92","2007-05-15",4.1
"93","2007-05-16",4.13
"94","2007-05-17",4.13
"95","2007-05-18",4.09
"96","2007-05-21",4.1
"97","2007-05-22",4.15
"98","2007-05-23",4.07
"99","2007-05-24",4.08
"100","2007-05-25",4.08
"101","2007-05-29",4.06
"102","2007-05-30",4.06
"103","2007-05-31",4.08
"104","2007-06-01",4.05
"105","2007-06-04",4.11
"106","2007-06-05",4.12
