"","date","EDRY"
"1","2018-06-01",8.3
"2","2018-06-04",8.6
"3","2018-06-05",7.61
"4","2018-06-06",7.55
"5","2018-06-07",7.63
"6","2018-06-08",7.43
"7","2018-06-11",7.59
"8","2018-06-12",8.25
"9","2018-06-13",8
"10","2018-06-14",8.601
"11","2018-06-15",8.16
"12","2018-06-18",8.01
"13","2018-06-19",8.298
"14","2018-06-20",8.35
"15","2018-06-21",8.17
"16","2018-06-22",9.305
"17","2018-06-25",8.22
"18","2018-06-26",7.95
"19","2018-06-27",8.22
"20","2018-06-28",8.2
"21","2018-06-29",8.35
"22","2018-07-02",8.31
"23","2018-07-03",8.47
"24","2018-07-05",8.25
"25","2018-07-06",8.25
"26","2018-07-09",8.25
"27","2018-07-10",8.35
"28","2018-07-11",7.615
"29","2018-07-12",7.975
"30","2018-07-13",7.94
"31","2018-07-16",7.96
"32","2018-07-17",7.89
"33","2018-07-18",7.65
"34","2018-07-19",7.45
"35","2018-07-20",7.8
"36","2018-07-23",7.83
"37","2018-07-24",7.82
"38","2018-07-25",7.99
"39","2018-07-26",7.82
"40","2018-07-27",7.8
"41","2018-07-30",7.45
"42","2018-07-31",7.54
"43","2018-08-01",7.51
"44","2018-08-02",7.51
"45","2018-08-03",7.24
"46","2018-08-06",7.15
"47","2018-08-07",6.748
"48","2018-08-08",6.6
"49","2018-08-09",7
"50","2018-08-10",6.71
"51","2018-08-13",6.67
"52","2018-08-14",6.65
"53","2018-08-15",6.35
"54","2018-08-16",6.75
"55","2018-08-17",7
"56","2018-08-20",7.3
"57","2018-08-21",7.21
"58","2018-08-22",7.26
"59","2018-08-23",7.25
"60","2018-08-24",7.15
"61","2018-08-27",7.151
"62","2018-08-28",7.27
"63","2018-08-29",7.2
"64","2018-08-30",7
"65","2018-08-31",7.23
"66","2018-09-04",7.11
"67","2018-09-05",6.94
"68","2018-09-06",7.15
"69","2018-09-07",7.15
"70","2018-09-10",6.966
"71","2018-09-11",7.14
"72","2018-09-12",7.15
"73","2018-09-13",7
"74","2018-09-14",7.08
"75","2018-09-17",7.09
"76","2018-09-18",7.19
"77","2018-09-19",7.5
"78","2018-09-20",7.681
"79","2018-09-21",7.45
"80","2018-09-24",7.6
"81","2018-09-25",8.62
"82","2018-09-26",9.31
"83","2018-09-27",9.13
"84","2018-09-28",9.41
"85","2018-10-01",9.6
"86","2018-10-02",9.719
"87","2018-10-03",9.79
"88","2018-10-04",10.4
"89","2018-10-05",9.99
"90","2018-10-08",9.4
"91","2018-10-09",9.45
"92","2018-10-10",9
"93","2018-10-11",9.1
"94","2018-10-12",9
"95","2018-10-15",10.23
"96","2018-10-16",9.78
"97","2018-10-17",9.46
"98","2018-10-18",9.91
"99","2018-10-19",10.14
"100","2018-10-22",11.75
"101","2018-10-23",11.75
"102","2018-10-24",11.85
"103","2018-10-25",12
"104","2018-10-26",12.4
"105","2018-10-29",12.77
"106","2018-10-30",11.7
"107","2018-10-31",12.081
"108","2018-11-01",12.01
"109","2018-11-02",11.05
"110","2018-11-05",10.95
"111","2018-11-06",10
"112","2018-11-07",10.5
"113","2018-11-08",9.61
"114","2018-11-09",10.15
"115","2018-11-12",9.45
"116","2018-11-13",11.25
"117","2018-11-14",11.17
"118","2018-11-15",11.15
"119","2018-11-16",11
"120","2018-11-19",9.45
"121","2018-11-20",10.525
"122","2018-11-21",10.14
"123","2018-11-23",9.88
"124","2018-11-26",9.57
"125","2018-11-27",9.56
"126","2018-11-28",9
"127","2018-11-29",9.4
"128","2018-11-30",9.275
"129","2018-12-03",8.9
"130","2018-12-04",8.67
"131","2018-12-06",8.75
"132","2018-12-07",8.97
"133","2018-12-10",8.98
"134","2018-12-11",9.21
"135","2018-12-12",9
"136","2018-12-13",8.92
"137","2018-12-14",8.62
"138","2018-12-17",9.05
"139","2018-12-18",8.9
"140","2018-12-19",9.15
"141","2018-12-20",8.66
"142","2018-12-21",8.4
"143","2018-12-24",8.78
"144","2018-12-26",8.8
"145","2018-12-27",8.7
"146","2018-12-28",8.75
"147","2018-12-31",8.59
"148","2019-01-02",8.53
"149","2019-01-03",9.39
"150","2019-01-04",9.02
"151","2019-01-07",8.9
"152","2019-01-08",8.9
"153","2019-01-09",8.64
"154","2019-01-10",8.657
"155","2019-01-11",8.75
"156","2019-01-14",8.752
"157","2019-01-15",8.6
"158","2019-01-16",8.631
"159","2019-01-17",8.287
"160","2019-01-18",8.76
"161","2019-01-22",8.55
"162","2019-01-23",8.25
"163","2019-01-24",8.28
"164","2019-01-25",8.07
"165","2019-01-28",8
"166","2019-01-29",7.92
"167","2019-01-30",7.85
"168","2019-01-31",7.6
"169","2019-02-01",7.6
"170","2019-02-04",7.51
"171","2019-02-05",7.672
"172","2019-02-06",7.611
"173","2019-02-07",7.53
"174","2019-02-08",7.45
"175","2019-02-11",7.45
"176","2019-02-12",7.65
"177","2019-02-13",7.33
"178","2019-02-14",7.645
"179","2019-02-15",7.775
"180","2019-02-19",8.3
"181","2019-02-20",7.734
"182","2019-02-21",7.89
"183","2019-02-22",7.889
"184","2019-02-25",7.46
"185","2019-02-26",7.31
"186","2019-02-27",7.478
"187","2019-02-28",7.45
"188","2019-03-01",7.2
"189","2019-03-04",7.104
"190","2019-03-05",7.05
"191","2019-03-06",7.15
"192","2019-03-07",7.5
"193","2019-03-08",7.2
"194","2019-03-11",7.94
"195","2019-03-12",7.51
"196","2019-03-13",7.3
"197","2019-03-14",7.15
"198","2019-03-15",7.75
"199","2019-03-18",7.85
"200","2019-03-19",7.91
"201","2019-03-20",7.7
"202","2019-03-21",7.913
"203","2019-03-22",7.97
"204","2019-03-25",8.01
"205","2019-03-26",9
"206","2019-03-27",9.25
"207","2019-03-28",8.72
"208","2019-03-29",8.67
"209","2019-04-01",8.3
"210","2019-04-02",8.4
"211","2019-04-03",8.4
"212","2019-04-04",8.693
"213","2019-04-05",8.35
"214","2019-04-08",8.061
"215","2019-04-09",8.17
"216","2019-04-10",8.03
"217","2019-04-11",8.084
"218","2019-04-12",7.9
"219","2019-04-15",7.99
"220","2019-04-16",8.02
"221","2019-04-17",7.94
"222","2019-04-18",7.93
"223","2019-04-22",7.88
"224","2019-04-23",8
"225","2019-04-24",8
"226","2019-04-25",7.57
"227","2019-04-26",7.84
"228","2019-04-29",7.9
"229","2019-04-30",7.905
"230","2019-05-01",7.825
"231","2019-05-02",7.705
"232","2019-05-03",7.7
"233","2019-05-06",7.7
"234","2019-05-07",7.698
"235","2019-05-08",7.698
"236","2019-05-09",7.74
"237","2019-05-10",7.74
"238","2019-05-13",7.716
"239","2019-05-14",7.716
"240","2019-05-15",7.538
"241","2019-05-16",7.538
"242","2019-05-17",7.538
"243","2019-05-20",7.538
"244","2019-05-21",7.525
"245","2019-05-22",7.654
"246","2019-05-23",7.5
"247","2019-05-24",7.52
"248","2019-05-28",7.7
"249","2019-05-29",7.5
"250","2019-05-30",7.538
"251","2019-05-31",7.523
"252","2019-06-03",7.46
"253","2019-06-04",6.96
"254","2019-06-05",7
"255","2019-06-06",6.52
"256","2019-06-07",7.125
"257","2019-06-10",7.136
"258","2019-06-11",7.18
"259","2019-06-12",6.765
"260","2019-06-13",7.1
"261","2019-06-14",7.15
"262","2019-06-17",7.024
"263","2019-06-18",7.2
"264","2019-06-19",7.22
"265","2019-06-20",7.22
"266","2019-06-21",7.22
"267","2019-06-24",7.122
"268","2019-06-25",7.151
"269","2019-06-26",7.26
"270","2019-06-27",7.3
"271","2019-06-28",7.05
"272","2019-07-01",7.07
"273","2019-07-02",7.12
"274","2019-07-03",7.686
"275","2019-07-05",8.08
"276","2019-07-08",7.54
"277","2019-07-09",8.052
"278","2019-07-10",8.052
"279","2019-07-11",7.576
"280","2019-07-12",8.143
"281","2019-07-15",8.07
"282","2019-07-16",8.144
"283","2019-07-17",7.92
"284","2019-07-18",7.724
"285","2019-07-19",7.724
"286","2019-07-22",8.24
"287","2019-07-23",8.37
"288","2019-07-24",8.305
"289","2019-07-25",8.2
"290","2019-07-26",8.216
"291","2019-07-29",8.5
"292","2019-07-30",8.4
"293","2019-07-31",7.852
"294","2019-08-01",7.71
"295","2019-08-02",8.085
"296","2019-08-05",7.755
"297","2019-08-06",7.89
"298","2019-08-07",7.8
"299","2019-08-08",7.486
"300","2019-08-09",7.1
"301","2019-08-12",7.61
"302","2019-08-13",6.9
"303","2019-08-14",7.02
"304","2019-08-15",7.16
"305","2019-08-16",7.16
"306","2019-08-19",7.46
"307","2019-08-20",7.46
"308","2019-08-21",7.46
"309","2019-08-22",7.45
"310","2019-08-23",7.5
"311","2019-08-26",7.46
"312","2019-08-27",7.55
"313","2019-08-28",7.55
"314","2019-08-29",7.573
"315","2019-08-30",7.739
"316","2019-09-03",7.839
"317","2019-09-04",8.28
"318","2019-09-05",7.9
"319","2019-09-06",7.867
"320","2019-09-09",7.82
"321","2019-09-10",7.69
"322","2019-09-11",7.62
"323","2019-09-12",7.9
"324","2019-09-13",7.4
"325","2019-09-16",7.7
"326","2019-09-17",7.7
"327","2019-09-18",7.7
"328","2019-09-19",7.7
"329","2019-09-20",7.7
"330","2019-09-23",7.6
"331","2019-09-24",7.6
"332","2019-09-25",7.6
"333","2019-09-26",7.6
"334","2019-09-27",8
"335","2019-09-30",8
"336","2019-10-01",7.99
"337","2019-10-02",7.99
"338","2019-10-03",7.99
"339","2019-10-04",8
"340","2019-10-07",8
"341","2019-10-08",8.2
"342","2019-10-09",8.355
"343","2019-10-10",8.5
"344","2019-10-11",8.2
"345","2019-10-14",7.74
"346","2019-10-15",7.74
"347","2019-10-16",8.263
"348","2019-10-17",8.263
"349","2019-10-18",8.13
"350","2019-10-21",8.079
"351","2019-10-22",7.736
"352","2019-10-23",8.15
