"","date","CETV"
"1","2007-01-03",73.160004
"2","2007-01-04",72.220001
"3","2007-01-05",70.949997
"4","2007-01-08",72.089996
"5","2007-01-09",72.389999
"6","2007-01-10",73.5
"7","2007-01-11",75
"8","2007-01-12",76.589996
"9","2007-01-16",81.5
"10","2007-01-17",81.339996
"11","2007-01-18",81.949997
"12","2007-01-19",83.059998
"13","2007-01-22",84.080002
"14","2007-01-23",85
"15","2007-01-24",86.199997
"16","2007-01-25",85.290001
"17","2007-01-26",83.889999
"18","2007-01-29",84.07
"19","2007-01-30",84.639999
"20","2007-01-31",86.790001
"21","2007-02-01",88.919998
"22","2007-02-02",88.129997
"23","2007-02-05",86.610001
"24","2007-02-06",86.779999
"25","2007-02-07",88.25
"26","2007-02-08",85.309998
"27","2007-02-09",85.279999
"28","2007-02-12",84.309998
"29","2007-02-13",85.029999
"30","2007-02-14",83.760002
"31","2007-02-15",84.279999
"32","2007-02-16",86.650002
"33","2007-02-20",86
"34","2007-02-21",85.040001
"35","2007-02-22",85
"36","2007-02-23",86.099998
"37","2007-02-26",85.970001
"38","2007-02-27",81.25
"39","2007-02-28",81.169998
"40","2007-03-01",78.800003
"41","2007-03-02",78.900002
"42","2007-03-05",78.519997
"43","2007-03-06",78.75
"44","2007-03-07",80.959999
"45","2007-03-08",82.720001
"46","2007-03-09",81.540001
"47","2007-03-12",81.050003
"48","2007-03-13",81.800003
"49","2007-03-14",81
"50","2007-03-15",81.199997
"51","2007-03-16",82.489998
"52","2007-03-19",83.790001
"53","2007-03-20",84.849998
"54","2007-03-21",86.529999
"55","2007-03-22",85.919998
"56","2007-03-23",86.790001
"57","2007-03-26",85.779999
"58","2007-03-27",86
"59","2007-03-28",86
"60","2007-03-29",88.830002
"61","2007-03-30",88.449997
"62","2007-04-02",87.910004
"63","2007-04-03",88.919998
"64","2007-04-04",88.779999
"65","2007-04-05",88.75
"66","2007-04-09",88.279999
"67","2007-04-10",91.139999
"68","2007-04-11",90.720001
"69","2007-04-12",90.139999
"70","2007-04-13",90.209999
"71","2007-04-16",90.459999
"72","2007-04-17",90.980003
"73","2007-04-18",90.599998
"74","2007-04-19",89.760002
"75","2007-04-20",91.169998
"76","2007-04-23",90.209999
"77","2007-04-24",89.440002
"78","2007-04-25",90.730003
"79","2007-04-26",90.389999
"80","2007-04-27",90.75
"81","2007-04-30",90.139999
"82","2007-05-01",89.669998
"83","2007-05-02",91.110001
"84","2007-05-03",95.860001
"85","2007-05-04",95.550003
"86","2007-05-07",93.150002
"87","2007-05-08",92.800003
"88","2007-05-09",92.900002
"89","2007-05-10",92.379997
"90","2007-05-11",91.540001
