"","date","SRTS"
"1","2016-07-26",5.85
"2","2016-07-27",5.705
"3","2016-07-28",6
"4","2016-07-29",6.114
"5","2016-08-01",6.35
"6","2016-08-02",6.159
"7","2016-08-03",6.159
"8","2016-08-04",6.159
"9","2016-08-05",6.355
"10","2016-08-08",6.4
"11","2016-08-09",6.49
"12","2016-08-10",6.463
"13","2016-08-11",6.55
"14","2016-08-12",6.5
"15","2016-08-15",6.55
"16","2016-08-16",6.408
"17","2016-08-17",6.4
"18","2016-08-18",6.49
"19","2016-08-19",6.5
"20","2016-08-22",6.28
"21","2016-08-23",6.37
"22","2016-08-24",6.25
"23","2016-08-25",6.29
"24","2016-08-26",6.132
"25","2016-08-29",6.16
"26","2016-08-30",6.3
"27","2016-08-31",6.3
"28","2016-09-01",6.3
"29","2016-09-02",6.3
"30","2016-09-06",6.15
"31","2016-09-07",6.285
"32","2016-09-08",6.285
"33","2016-09-09",6.285
"34","2016-09-12",6.15
"35","2016-09-13",6.13
"36","2016-09-14",6.13
"37","2016-09-15",6.13
"38","2016-09-16",6.3
"39","2016-09-19",6.249
"40","2016-09-20",6.249
"41","2016-09-21",6.2
"42","2016-09-22",6.201
"43","2016-09-23",6.29
"44","2016-09-26",6.29
"45","2016-09-27",6.225
"46","2016-09-28",6.16
"47","2016-09-29",6.15
"48","2016-09-30",6.15
"49","2016-10-03",6.22
"50","2016-10-04",6.29
"51","2016-10-05",6.3
"52","2016-10-06",6.138
"53","2016-10-07",6.138
"54","2016-10-10",6.18
"55","2016-10-11",6.3
"56","2016-10-12",6.35
"57","2016-10-13",5.805
"58","2016-10-14",6.07
"59","2016-10-17",6.07
"60","2016-10-18",6.07
"61","2016-10-19",5.855
"62","2016-10-20",6.098
"63","2016-10-21",6.35
"64","2016-10-24",6.35
"65","2016-10-25",6.35
"66","2016-10-26",5.854
"67","2016-10-27",6.3
"68","2016-10-28",6.3
"69","2016-10-31",6.496
"70","2016-11-01",6.03
"71","2016-11-02",6.03
"72","2016-11-03",6.03
"73","2016-11-04",6.3
"74","2016-11-07",6.157
"75","2016-11-08",6.3
"76","2016-11-09",6.139
"77","2016-11-10",6.139
"78","2016-11-11",6.041
"79","2016-11-14",6.041
"80","2016-11-15",5.85
"81","2016-11-16",5.67
"82","2016-11-17",5.86
"83","2016-11-18",5.29
"84","2016-11-21",5.293
"85","2016-11-22",5.232
"86","2016-11-23",4.95
"87","2016-11-25",5.22
"88","2016-11-28",6.1
"89","2016-11-29",5.753
"90","2016-11-30",6
"91","2016-12-01",5.5
"92","2016-12-02",6
"93","2016-12-05",5.505
"94","2016-12-06",5.944
"95","2016-12-07",5.589
"96","2016-12-08",5.75
"97","2016-12-09",6
"98","2016-12-12",6
"99","2016-12-13",6
"100","2016-12-14",5.69
"101","2016-12-15",5.69
"102","2016-12-16",5.55
"103","2016-12-19",5.5
"104","2016-12-20",5.494
"105","2016-12-21",5.494
"106","2016-12-22",5.266
"107","2016-12-23",5.5
"108","2016-12-27",5.5
"109","2016-12-28",5.25
"110","2016-12-29",5.1
"111","2016-12-30",5.25
"112","2017-01-03",5.24
"113","2017-01-04",5.07
"114","2017-01-05",5.07
"115","2017-01-06",5.07
"116","2017-01-09",5.07
"117","2017-01-10",5.05
"118","2017-01-11",5.07
"119","2017-01-12",5.05
"120","2017-01-13",5.05
"121","2017-01-17",5.05
"122","2017-01-18",4.8
"123","2017-01-19",4.8
"124","2017-01-20",4.992
"125","2017-01-23",5
"126","2017-01-24",5
"127","2017-01-25",5
"128","2017-01-26",5
"129","2017-01-27",5
"130","2017-01-30",4.55
"131","2017-01-31",4.99
"132","2017-02-01",4.8
"133","2017-02-02",4.812
"134","2017-02-03",4.725
"135","2017-02-06",4.75
"136","2017-02-07",5
"137","2017-02-08",5
"138","2017-02-09",4.85
"139","2017-02-10",5
"140","2017-02-13",4.9
