"","date","GRNQ"
"1","2018-06-13",22.75
"2","2018-06-14",22
"3","2018-06-15",11.23
"4","2018-06-18",11.23
"5","2018-06-19",11.23
"6","2018-06-20",12.055
"7","2018-06-21",12.055
"8","2018-06-22",12.055
"9","2018-06-25",12.2
"10","2018-06-26",9.7
"11","2018-06-27",9.7
"12","2018-06-28",10
"13","2018-06-29",10
"14","2018-07-02",10
"15","2018-07-03",10
"16","2018-07-05",10
"17","2018-07-06",8.2
"18","2018-07-09",8.895
"19","2018-07-10",10.287
"20","2018-07-11",10.287
"21","2018-07-12",10.7
"22","2018-07-13",10.7
"23","2018-07-16",10.5
"24","2018-07-17",10.5
"25","2018-07-18",10.5
"26","2018-07-19",10.5
"27","2018-07-20",10.5
"28","2018-07-23",10.5
"29","2018-07-24",10.5
"30","2018-07-25",10.5
"31","2018-07-26",10.5
"32","2018-07-27",7
"33","2018-07-30",6.35
"34","2018-07-31",6.35
"35","2018-08-01",6.35
"36","2018-08-02",6
"37","2018-08-03",6
"38","2018-08-06",5.39
"39","2018-08-07",5.448
"40","2018-08-08",5.5
"41","2018-08-09",5.55
"42","2018-08-10",5.55
"43","2018-08-13",5.541
"44","2018-08-14",5.541
"45","2018-08-15",5.541
"46","2018-08-16",5.541
"47","2018-08-17",4.95
"48","2018-08-20",5.45
"49","2018-08-21",5.25
"50","2018-08-22",6.12
"51","2018-08-23",4.65
"52","2018-08-24",5.467
"53","2018-08-27",5.499
"54","2018-08-28",5.8
"55","2018-08-29",7.546
"56","2018-08-30",6
"57","2018-08-31",6.292
"58","2018-09-04",7.65
"59","2018-09-05",6.5
"60","2018-09-06",6
"61","2018-09-07",5.468
"62","2018-09-10",5.1
"63","2018-09-11",5.095
"64","2018-09-12",3.877
"65","2018-09-13",3.34
"66","2018-09-14",3.279
"67","2018-09-17",3.114
"68","2018-09-18",3.18
"69","2018-09-19",2.744
"70","2018-09-20",2.65
"71","2018-09-21",2.8
"72","2018-09-24",2.65
"73","2018-09-25",2.67
"74","2018-09-26",2.76
"75","2018-09-27",3.43
"76","2018-09-28",3.658
"77","2018-10-01",9.9
"78","2018-10-02",5.5
"79","2018-10-03",6.84
"80","2018-10-04",6.9
"81","2018-10-05",6.35
"82","2018-10-08",6.26
"83","2018-10-09",6.18
"84","2018-10-10",6.41
"85","2018-10-11",6.05
"86","2018-10-12",6.06
"87","2018-10-15",6.179
"88","2018-10-16",6.15
"89","2018-10-17",7.117
"90","2018-10-18",6.65
"91","2018-10-19",6.8
"92","2018-10-22",6.38
"93","2018-10-23",6.417
"94","2018-10-24",6.3
"95","2018-10-25",6.338
"96","2018-10-26",6.2
"97","2018-10-29",6.03
"98","2018-10-30",5.51
"99","2018-10-31",5.62
"100","2018-11-01",5.54
"101","2018-11-02",5
"102","2018-11-05",5.09
"103","2018-11-06",4.88
"104","2018-11-07",4.52
"105","2018-11-08",4.422
"106","2018-11-09",3.82
"107","2018-11-12",4.7
"108","2018-11-13",4
"109","2018-11-14",4.05
"110","2018-11-15",4.35
"111","2018-11-16",4.35
"112","2018-11-19",4.635
"113","2018-11-20",4.299
"114","2018-11-21",4.3
"115","2018-11-23",4.2
"116","2018-11-26",3.5
"117","2018-11-27",3
"118","2018-11-28",2.38
"119","2018-11-29",2.44
"120","2018-11-30",2.765
"121","2018-12-03",3.316
"122","2018-12-04",3.32
"123","2018-12-06",3.4
"124","2018-12-07",3.25
"125","2018-12-10",3.3
"126","2018-12-11",3.4
"127","2018-12-12",3.1
