"","date","HHC"
"1","2010-11-05",38
"2","2010-11-08",38.5
"3","2010-11-09",36.5
"4","2010-11-10",36.900002
"5","2010-11-11",37.349998
"6","2010-11-12",36.959999
"7","2010-11-15",40.75
"8","2010-11-16",40.299999
"9","2010-11-17",39.939999
"10","2010-11-18",40.049999
"11","2010-11-19",42.23
"12","2010-11-22",41.630001
"13","2010-11-23",41.700001
"14","2010-11-24",42.049999
"15","2010-11-26",41.939999
"16","2010-11-29",41.419998
"17","2010-11-30",40.77
"18","2010-12-01",41.950001
"19","2010-12-02",43.150002
"20","2010-12-03",44.34
"21","2010-12-06",45.299999
"22","2010-12-07",47.080002
"23","2010-12-08",48.459999
"24","2010-12-09",49.939999
"25","2010-12-10",51.849998
"26","2010-12-13",54.389999
"27","2010-12-14",54.599998
"28","2010-12-15",53.529999
"29","2010-12-16",54.509998
"30","2010-12-17",54.950001
"31","2010-12-20",56
"32","2010-12-21",55.139999
"33","2010-12-22",53.959999
"34","2010-12-23",52.110001
"35","2010-12-27",51.93
"36","2010-12-28",53.459999
"37","2010-12-29",54.560001
"38","2010-12-30",54.470001
"39","2010-12-31",54.419998
"40","2011-01-03",54.599998
"41","2011-01-04",54.299999
"42","2011-01-05",54.580002
"43","2011-01-06",54.830002
"44","2011-01-07",54.959999
"45","2011-01-10",53.830002
"46","2011-01-11",53.16
"47","2011-01-12",53.25
"48","2011-01-13",53.5
"49","2011-01-14",53.419998
"50","2011-01-18",53.330002
"51","2011-01-19",52.540001
"52","2011-01-20",52.48
"53","2011-01-21",51.98
"54","2011-01-24",52.950001
"55","2011-01-25",52.689999
"56","2011-01-26",52.299999
"57","2011-01-27",51.57
"58","2011-01-28",50.529999
"59","2011-01-31",50.279999
"60","2011-02-01",50.73
"61","2011-02-02",50.43
"62","2011-02-03",51.720001
"63","2011-02-04",52.32
"64","2011-02-07",52.689999
"65","2011-02-08",52.599998
"66","2011-02-09",53.16
"67","2011-02-10",53.07
"68","2011-02-11",53.400002
"69","2011-02-14",53.369999
"70","2011-02-15",52.82
"71","2011-02-16",53.560001
"72","2011-02-17",54.459999
"73","2011-02-18",55.830002
"74","2011-02-22",55.48
"75","2011-02-23",54.73
"76","2011-02-24",54.5
"77","2011-02-25",56.32
"78","2011-02-28",57.77
"79","2011-03-01",59.18
"80","2011-03-02",61.82
"81","2011-03-03",62.919998
"82","2011-03-04",63
"83","2011-03-07",62.82
