"","date","THMO"
"1","2007-01-03",3432
"2","2007-01-04",3488
"3","2007-01-05",3496
"4","2007-01-08",3504
"5","2007-01-09",3400
"6","2007-01-10",3304
"7","2007-01-11",3424
"8","2007-01-12",3448
"9","2007-01-16",3408
"10","2007-01-17",3288
"11","2007-01-18",3216
"12","2007-01-19",3256
"13","2007-01-22",3224
"14","2007-01-23",3360
"15","2007-01-24",3424
"16","2007-01-25",3376
"17","2007-01-26",3272
"18","2007-01-29",3328
"19","2007-01-30",3296
"20","2007-01-31",3200
"21","2007-02-01",3168
"22","2007-02-02",3088
"23","2007-02-05",3200
"24","2007-02-06",3192
"25","2007-02-07",3176
"26","2007-02-08",3224
"27","2007-02-09",3136
"28","2007-02-12",3040
"29","2007-02-13",3000
"30","2007-02-14",2928
"31","2007-02-15",2912
"32","2007-02-16",2928
"33","2007-02-20",2896
"34","2007-02-21",2840
"35","2007-02-22",2904
"36","2007-02-23",2800
"37","2007-02-26",2696
"38","2007-02-27",2528
"39","2007-02-28",2456
"40","2007-03-01",2416
"41","2007-03-02",2352
"42","2007-03-05",2360
"43","2007-03-06",2408
"44","2007-03-07",2376
"45","2007-03-08",2376
"46","2007-03-09",2304
"47","2007-03-12",2256
"48","2007-03-13",2152
"49","2007-03-14",2504
"50","2007-03-15",2480
"51","2007-03-16",2536
"52","2007-03-19",2608
"53","2007-03-20",2536
"54","2007-03-21",2584
"55","2007-03-22",2568
"56","2007-03-23",2552
"57","2007-03-26",2536
"58","2007-03-27",2480
"59","2007-03-28",2472
"60","2007-03-29",2608
"61","2007-03-30",2912
"62","2007-04-02",2752
"63","2007-04-03",2816
"64","2007-04-04",2832
"65","2007-04-05",2632
"66","2007-04-09",2576
"67","2007-04-10",2584
"68","2007-04-11",2504
"69","2007-04-12",2536
"70","2007-04-13",2672
"71","2007-04-16",2760
"72","2007-04-17",2696
"73","2007-04-18",2728
"74","2007-04-19",2592
"75","2007-04-20",2624
"76","2007-04-23",2576
"77","2007-04-24",2552
"78","2007-04-25",2680
"79","2007-04-26",2720
"80","2007-04-27",2760
"81","2007-04-30",2720
"82","2007-05-01",2584
"83","2007-05-02",2600
"84","2007-05-03",2624
"85","2007-05-04",2640
"86","2007-05-07",2768
"87","2007-05-08",2816
"88","2007-05-09",2880
"89","2007-05-10",2648
"90","2007-05-11",2568
"91","2007-05-14",2432
"92","2007-05-15",2376
"93","2007-05-16",2304
"94","2007-05-17",2336
"95","2007-05-18",2424
"96","2007-05-21",2392
"97","2007-05-22",2296
"98","2007-05-23",2264
"99","2007-05-24",2176
"100","2007-05-25",2160
"101","2007-05-29",2208
"102","2007-05-30",2184
"103","2007-05-31",2168
"104","2007-06-01",2160
"105","2007-06-04",2088
"106","2007-06-05",2032
"107","2007-06-06",2024
"108","2007-06-07",1992
"109","2007-06-08",2040
"110","2007-06-11",2056
"111","2007-06-12",1984
"112","2007-06-13",2024
"113","2007-06-14",1976
"114","2007-06-15",2040
"115","2007-06-18",2024
"116","2007-06-19",2008
"117","2007-06-20",1968
"118","2007-06-21",2008
"119","2007-06-22",1960
"120","2007-06-25",1936
"121","2007-06-26",2000
"122","2007-06-27",2024
"123","2007-06-28",2304
"124","2007-06-29",2208
"125","2007-07-02",2064
"126","2007-07-03",2104
"127","2007-07-05",2056
"128","2007-07-06",2112
"129","2007-07-09",2080
"130","2007-07-10",2008
"131","2007-07-11",2136
"132","2007-07-12",2040
"133","2007-07-13",2072
"134","2007-07-16",2040
"135","2007-07-17",2032
"136","2007-07-18",2016
"137","2007-07-19",2000
"138","2007-07-20",2024
"139","2007-07-23",2000
"140","2007-07-24",1992
"141","2007-07-25",2016
"142","2007-07-26",2000
"143","2007-07-27",2056
"144","2007-07-30",2080
"145","2007-07-31",1896
"146","2007-08-01",1904
"147","2007-08-02",1800
"148","2007-08-03",1800
"149","2007-08-06",1752
"150","2007-08-07",1800
"151","2007-08-08",1896
"152","2007-08-09",1920
"153","2007-08-10",1848
"154","2007-08-13",1792
"155","2007-08-14",1760
"156","2007-08-15",1848
"157","2007-08-16",1728
"158","2007-08-17",1800
"159","2007-08-20",1808
"160","2007-08-21",1920
"161","2007-08-22",1992
"162","2007-08-23",2040
"163","2007-08-24",1984
"164","2007-08-27",1984
"165","2007-08-28",2000
"166","2007-08-29",2024
"167","2007-08-30",2080
"168","2007-08-31",2080
"169","2007-09-04",2016
"170","2007-09-05",1960
"171","2007-09-06",1960
"172","2007-09-07",1880
"173","2007-09-10",1872
"174","2007-09-11",1920
"175","2007-09-12",1872
"176","2007-09-13",1760
"177","2007-09-14",1768
"178","2007-09-17",1680
"179","2007-09-18",1704
"180","2007-09-19",1752
"181","2007-09-20",1816
"182","2007-09-21",1840
"183","2007-09-24",1768
"184","2007-09-25",1736
"185","2007-09-26",1792
