"","date","ARES"
"1","2014-05-02",18.6
"2","2014-05-05",18.6
"3","2014-05-06",18.48
"4","2014-05-07",17.73
"5","2014-05-08",17.75
"6","2014-05-09",17.59
"7","2014-05-12",17.209999
"8","2014-05-13",17.200001
"9","2014-05-14",17.15
"10","2014-05-15",17.540001
"11","2014-05-16",17.620001
"12","2014-05-19",17.84
"13","2014-05-20",17.940001
"14","2014-05-21",17.9
"15","2014-05-22",18
"16","2014-05-23",18.17
"17","2014-05-27",18.299999
"18","2014-05-28",18.690001
"19","2014-05-29",18.799999
"20","2014-05-30",19
"21","2014-06-02",18.84
"22","2014-06-03",18.709999
"23","2014-06-04",18.799999
"24","2014-06-05",18.42
"25","2014-06-06",18.4
"26","2014-06-09",18.700001
"27","2014-06-10",18.57
"28","2014-06-11",18.76
"29","2014-06-12",18.629999
"30","2014-06-13",18.360001
"31","2014-06-16",18.6
"32","2014-06-17",18.450001
"33","2014-06-18",18.6
"34","2014-06-19",18.645
"35","2014-06-20",18.65
"36","2014-06-23",18.790001
"37","2014-06-24",18.712
"38","2014-06-25",18.67
"39","2014-06-26",18.620001
"40","2014-06-27",18.860001
"41","2014-06-30",19.18
"42","2014-07-01",18.85
"43","2014-07-02",18.790001
"44","2014-07-03",18.950001
"45","2014-07-07",18.969999
"46","2014-07-08",19.25
"47","2014-07-09",19.200001
"48","2014-07-10",19.190001
"49","2014-07-11",19.01
"50","2014-07-14",19.15
"51","2014-07-15",19.15
"52","2014-07-16",19.08
"53","2014-07-17",19.02
"54","2014-07-18",19.190001
"55","2014-07-21",19.5
"56","2014-07-22",19.620001
"57","2014-07-23",19.68
"58","2014-07-24",19.85
"59","2014-07-25",19.85
"60","2014-07-28",19.43
"61","2014-07-29",19.85
"62","2014-07-30",19.559999
"63","2014-07-31",19.43
"64","2014-08-01",19.200001
"65","2014-08-04",18.709999
"66","2014-08-05",18.690001
"67","2014-08-06",17.82
"68","2014-08-07",17.790001
"69","2014-08-08",17.58
"70","2014-08-11",17.950001
"71","2014-08-12",17.99
"72","2014-08-13",18.190001
"73","2014-08-14",17.950001
"74","2014-08-15",18.059999
"75","2014-08-18",17.790001
"76","2014-08-19",17.799999
"77","2014-08-20",17.940001
"78","2014-08-21",17.76
"79","2014-08-22",17.77
"80","2014-08-25",18.049999
"81","2014-08-26",17.99
"82","2014-08-27",17.969999
"83","2014-08-28",17.85
"84","2014-08-29",17.879999
"85","2014-09-02",18.110001
"86","2014-09-03",18.077999
"87","2014-09-04",17.6
"88","2014-09-05",18.09
"89","2014-09-08",18.02
"90","2014-09-09",17.75
"91","2014-09-10",17.940001
"92","2014-09-11",17.9
"93","2014-09-12",17.76
"94","2014-09-15",17.780001
"95","2014-09-16",17.645
"96","2014-09-17",17.700001
"97","2014-09-18",17.700001
"98","2014-09-19",17.940001
"99","2014-09-22",17.700001
"100","2014-09-23",17.66
"101","2014-09-24",17.799999
"102","2014-09-25",17.76
"103","2014-09-26",17.68
"104","2014-09-29",17.709999
"105","2014-09-30",17.5
"106","2014-10-01",17.32
"107","2014-10-02",17.23
"108","2014-10-03",17.57
"109","2014-10-06",17.66
"110","2014-10-07",17.49
"111","2014-10-08",17.41
"112","2014-10-09",17.09
"113","2014-10-10",16.6
"114","2014-10-13",16.41
"115","2014-10-14",16.33
"116","2014-10-15",16.58
"117","2014-10-16",16.67
"118","2014-10-17",16.780001
"119","2014-10-20",16.719999
"120","2014-10-21",16.780001
"121","2014-10-22",16.559999
"122","2014-10-23",16.280001
"123","2014-10-24",16.26
"124","2014-10-27",16.43
"125","2014-10-28",16.35
"126","2014-10-29",16.120001
"127","2014-10-30",16.1
"128","2014-10-31",15.88
"129","2014-11-03",16.1
"130","2014-11-04",15.79
"131","2014-11-05",15.62
"132","2014-11-06",15.46
"133","2014-11-07",15.59
