"","date","LTBR"
"1","2007-01-03",540
"2","2007-01-04",612
"3","2007-01-05",720
"4","2007-01-08",702
"5","2007-01-09",612
"6","2007-01-10",666
"7","2007-01-11",684
"8","2007-01-12",666
"9","2007-01-16",684
"10","2007-01-17",720
"11","2007-01-18",720
"12","2007-01-19",702
"13","2007-01-22",684
"14","2007-01-23",666
"15","2007-01-24",666
"16","2007-01-25",666
"17","2007-01-26",648
"18","2007-01-29",630
"19","2007-01-30",630
"20","2007-01-31",612
"21","2007-02-01",630
"22","2007-02-02",594
"23","2007-02-05",594
"24","2007-02-06",594
"25","2007-02-07",594
"26","2007-02-08",612
"27","2007-02-09",594
"28","2007-02-12",594
"29","2007-02-13",594
"30","2007-02-14",594
"31","2007-02-15",594
"32","2007-02-16",594
"33","2007-02-20",576
"34","2007-02-21",486
"35","2007-02-22",486
"36","2007-02-23",486
"37","2007-02-26",504
"38","2007-02-27",396
"39","2007-02-28",378
"40","2007-03-01",432
"41","2007-03-02",396
"42","2007-03-05",378
"43","2007-03-06",432
"44","2007-03-07",468
"45","2007-03-08",468
"46","2007-03-09",450
"47","2007-03-12",450
"48","2007-03-13",414
"49","2007-03-14",432
"50","2007-03-15",450
"51","2007-03-16",468
"52","2007-03-19",504
"53","2007-03-20",504
"54","2007-03-21",504
"55","2007-03-22",504
"56","2007-03-23",486
"57","2007-03-26",486
"58","2007-03-27",486
"59","2007-03-28",486
"60","2007-03-29",522
"61","2007-03-30",558
"62","2007-04-02",540
"63","2007-04-03",522
"64","2007-04-04",522
"65","2007-04-05",486
"66","2007-04-09",468
"67","2007-04-10",486
"68","2007-04-11",468
"69","2007-04-12",468
"70","2007-04-13",468
"71","2007-04-16",468
"72","2007-04-17",432
"73","2007-04-18",504
"74","2007-04-19",522
"75","2007-04-20",504
"76","2007-04-23",522
"77","2007-04-24",504
"78","2007-04-25",486
"79","2007-04-26",450
"80","2007-04-27",450
"81","2007-04-30",468
"82","2007-05-01",468
"83","2007-05-02",450
"84","2007-05-03",468
"85","2007-05-04",468
"86","2007-05-07",468
"87","2007-05-08",450
"88","2007-05-09",468
"89","2007-05-10",468
"90","2007-05-11",468
"91","2007-05-14",468
"92","2007-05-15",486
"93","2007-05-16",522
"94","2007-05-17",504
"95","2007-05-18",540
"96","2007-05-21",558
"97","2007-05-22",558
"98","2007-05-23",540
"99","2007-05-24",522
"100","2007-05-25",540
"101","2007-05-29",522
"102","2007-05-30",522
"103","2007-05-31",522
"104","2007-06-01",522
"105","2007-06-04",522
"106","2007-06-05",522
"107","2007-06-06",522
"108","2007-06-07",486
"109","2007-06-08",450
"110","2007-06-11",468
"111","2007-06-12",468
"112","2007-06-13",468
"113","2007-06-14",486
"114","2007-06-15",504
"115","2007-06-18",522
"116","2007-06-19",522
"117","2007-06-20",522
"118","2007-06-21",504
"119","2007-06-22",504
"120","2007-06-25",504
"121","2007-06-26",504
"122","2007-06-27",522
"123","2007-06-28",504
"124","2007-06-29",504
"125","2007-07-02",486
"126","2007-07-03",486
"127","2007-07-05",486
"128","2007-07-06",486
"129","2007-07-09",468
"130","2007-07-10",486
"131","2007-07-11",486
"132","2007-07-12",486
"133","2007-07-13",486
"134","2007-07-16",504
"135","2007-07-17",504
"136","2007-07-18",522
"137","2007-07-19",522
"138","2007-07-20",486
"139","2007-07-23",468
"140","2007-07-24",468
"141","2007-07-25",522
"142","2007-07-26",522
"143","2007-07-27",486
"144","2007-07-30",486
"145","2007-07-31",468
"146","2007-08-01",468
"147","2007-08-02",522
"148","2007-08-03",486
"149","2007-08-06",468
"150","2007-08-07",450
"151","2007-08-08",450
"152","2007-08-09",504
"153","2007-08-10",486
"154","2007-08-13",486
"155","2007-08-14",450
"156","2007-08-15",432
"157","2007-08-16",360
"158","2007-08-17",378
"159","2007-08-20",378
"160","2007-08-21",360
"161","2007-08-22",396
"162","2007-08-23",378
"163","2007-08-24",378
"164","2007-08-27",360
"165","2007-08-28",324
"166","2007-08-29",342
"167","2007-08-30",360
"168","2007-08-31",378
"169","2007-09-04",378
"170","2007-09-05",378
"171","2007-09-06",396
"172","2007-09-07",360
"173","2007-09-10",378
"174","2007-09-11",414
"175","2007-09-12",432
"176","2007-09-13",414
"177","2007-09-14",414
"178","2007-09-17",414
"179","2007-09-18",396
"180","2007-09-19",414
"181","2007-09-20",414
"182","2007-09-21",396
"183","2007-09-24",378
"184","2007-09-25",414
"185","2007-09-26",378
"186","2007-09-27",378
"187","2007-09-28",378
"188","2007-10-01",360
"189","2007-10-02",378
"190","2007-10-03",360
"191","2007-10-04",360
"192","2007-10-05",360
"193","2007-10-08",306
"194","2007-10-09",342
"195","2007-10-10",342
"196","2007-10-11",360
"197","2007-10-12",360
"198","2007-10-15",360
"199","2007-10-16",360
"200","2007-10-17",342
"201","2007-10-18",324
"202","2007-10-19",288
"203","2007-10-22",324
"204","2007-10-23",342
"205","2007-10-24",342
"206","2007-10-25",342
"207","2007-10-26",360
"208","2007-10-29",432
"209","2007-10-30",414
"210","2007-10-31",378
"211","2007-11-01",396
"212","2007-11-02",378
"213","2007-11-05",378
"214","2007-11-06",396
"215","2007-11-07",378
"216","2007-11-08",432
"217","2007-11-09",450
"218","2007-11-12",558
"219","2007-11-13",558
"220","2007-11-14",540
"221","2007-11-15",450
"222","2007-11-16",468
"223","2007-11-19",468
"224","2007-11-20",468
"225","2007-11-21",522
"226","2007-11-23",486
"227","2007-11-26",504
"228","2007-11-27",504
"229","2007-11-28",504
"230","2007-11-29",504
"231","2007-11-30",558
"232","2007-12-03",684
"233","2007-12-04",630
"234","2007-12-05",666
"235","2007-12-06",756
"236","2007-12-07",738
"237","2007-12-10",738
"238","2007-12-11",666
"239","2007-12-12",684
"240","2007-12-13",684
"241","2007-12-14",684
"242","2007-12-17",666
"243","2007-12-18",666
"244","2007-12-19",630
"245","2007-12-20",612
"246","2007-12-21",558
"247","2007-12-24",612
"248","2007-12-26",612
"249","2007-12-27",612
"250","2007-12-28",702
"251","2007-12-31",684
"252","2008-01-02",648
"253","2008-01-03",648
"254","2008-01-04",630
"255","2008-01-07",612
"256","2008-01-08",648
"257","2008-01-09",684
"258","2008-01-10",648
"259","2008-01-11",630
"260","2008-01-14",612
"261","2008-01-15",630
"262","2008-01-16",630
"263","2008-01-17",612
"264","2008-01-18",630
"265","2008-01-22",558
"266","2008-01-23",522
"267","2008-01-24",558
"268","2008-01-25",558
"269","2008-01-28",522
"270","2008-01-29",540
"271","2008-01-30",558
"272","2008-01-31",576
"273","2008-02-01",630
"274","2008-02-04",630
"275","2008-02-05",630
"276","2008-02-06",612
"277","2008-02-07",630
"278","2008-02-08",612
"279","2008-02-11",594
"280","2008-02-12",594
"281","2008-02-13",594
"282","2008-02-14",612
"283","2008-02-15",612
"284","2008-02-19",612
"285","2008-02-20",612
"286","2008-02-21",594
"287","2008-02-22",576
"288","2008-02-25",576
"289","2008-02-26",576
"290","2008-02-27",576
"291","2008-02-28",576
"292","2008-02-29",594
"293","2008-03-03",594
"294","2008-03-04",612
"295","2008-03-05",612
"296","2008-03-06",648
"297","2008-03-07",648
"298","2008-03-10",594
"299","2008-03-11",594
"300","2008-03-12",558
"301","2008-03-13",576
"302","2008-03-14",558
"303","2008-03-17",522
"304","2008-03-18",486
"305","2008-03-19",486
"306","2008-03-20",486
"307","2008-03-24",450
"308","2008-03-25",450
"309","2008-03-26",414
"310","2008-03-27",396
"311","2008-03-28",486
"312","2008-03-31",504
"313","2008-04-01",486
"314","2008-04-02",450
"315","2008-04-03",432
"316","2008-04-04",450
"317","2008-04-07",432
"318","2008-04-08",450
"319","2008-04-09",450
"320","2008-04-10",486
"321","2008-04-11",486
"322","2008-04-14",468
"323","2008-04-15",450
"324","2008-04-16",396
"325","2008-04-17",414
"326","2008-04-18",414
"327","2008-04-21",414
"328","2008-04-22",468
"329","2008-04-23",504
"330","2008-04-24",504
"331","2008-04-25",504
"332","2008-04-28",540
"333","2008-04-29",558
"334","2008-04-30",504
"335","2008-05-01",540
"336","2008-05-02",522
"337","2008-05-05",522
"338","2008-05-06",504
"339","2008-05-07",504
"340","2008-05-08",504
"341","2008-05-09",486
"342","2008-05-12",486
"343","2008-05-13",486
"344","2008-05-14",486
"345","2008-05-15",504
"346","2008-05-16",522
"347","2008-05-19",558
"348","2008-05-20",522
"349","2008-05-21",522
"350","2008-05-22",504
"351","2008-05-23",522
"352","2008-05-27",504
"353","2008-05-28",540
"354","2008-05-29",522
"355","2008-05-30",486
"356","2008-06-02",558
"357","2008-06-03",558
"358","2008-06-04",522
"359","2008-06-05",522
"360","2008-06-06",504
"361","2008-06-09",504
"362","2008-06-10",504
"363","2008-06-11",504
"364","2008-06-12",522
"365","2008-06-13",522
"366","2008-06-16",504
"367","2008-06-17",504
"368","2008-06-18",450
"369","2008-06-19",468
"370","2008-06-20",486
