"","date","TOMZ"
"1","2008-06-20",3.2
"2","2008-06-23",16
"3","2008-06-24",15.36
"4","2008-06-25",8.8
"5","2008-06-26",8.8
"6","2008-06-27",5.2
"7","2008-06-30",15.12
"8","2008-07-01",24
"9","2008-07-02",24
"10","2008-07-03",24
"11","2008-07-07",23.6
"12","2008-07-08",23.6
"13","2008-07-09",23.6
"14","2008-07-10",23.6
"15","2008-07-11",24.4
"16","2008-07-14",22
"17","2008-07-15",22
"18","2008-07-16",22
"19","2008-07-17",20.4
"20","2008-07-18",22
"21","2008-07-21",22
"22","2008-07-22",23.6
"23","2008-07-23",21.68
"24","2008-07-24",25.6
"25","2008-07-25",22
"26","2008-07-28",20.16
"27","2008-07-29",16
"28","2008-07-30",16
"29","2008-07-31",16
"30","2008-08-01",14.8
"31","2008-08-04",15.6
"32","2008-08-05",15.6
"33","2008-08-06",15.04
"34","2008-08-07",15.2
"35","2008-08-08",15.2
"36","2008-08-11",22.4
"37","2008-08-12",22.4
"38","2008-08-13",22.4
"39","2008-08-14",16
"40","2008-08-15",16
"41","2008-08-18",16
"42","2008-08-19",16
"43","2008-08-20",16
"44","2008-08-21",16
"45","2008-08-22",14.4
"46","2008-08-25",14.4
"47","2008-08-26",16
"48","2008-08-27",16
"49","2008-08-28",16
"50","2008-08-29",16
"51","2008-09-02",16
"52","2008-09-03",16
"53","2008-09-04",16
"54","2008-09-05",16
"55","2008-09-08",16
"56","2008-09-09",16
"57","2008-09-10",8.4
"58","2008-09-11",16
"59","2008-09-12",16.799999
"60","2008-09-15",16.799999
"61","2008-09-16",16.799999
"62","2008-09-17",22
"63","2008-09-18",22.4
"64","2008-09-19",19.200001
"65","2008-09-22",19.200001
"66","2008-09-23",19.200001
"67","2008-09-24",19.200001
"68","2008-09-25",16
"69","2008-09-26",16
"70","2008-09-29",16
"71","2008-09-30",16
"72","2008-10-01",19.200001
"73","2008-10-02",20.799999
"74","2008-10-03",20.799999
"75","2008-10-06",19.200001
"76","2008-10-07",20.4
"77","2008-10-08",20.4
"78","2008-10-09",18.799999
"79","2008-10-10",19.200001
"80","2008-10-13",25.6
"81","2008-10-14",31.200001
"82","2008-10-15",39.200001
"83","2008-10-16",37.919998
"84","2008-10-17",37.919998
"85","2008-10-20",38.400002
"86","2008-10-21",36
"87","2008-10-22",36
"88","2008-10-23",36
"89","2008-10-24",36
"90","2008-10-27",28.799999
"91","2008-10-28",30
"92","2008-10-29",30
"93","2008-10-30",32
"94","2008-10-31",32
"95","2008-11-03",32
"96","2008-11-04",32
"97","2008-11-05",40
"98","2008-11-06",56
"99","2008-11-07",60.080002
"100","2008-11-10",60.080002
"101","2008-11-11",72
"102","2008-11-12",72
"103","2008-11-13",72
"104","2008-11-14",72
"105","2008-11-17",72
"106","2008-11-18",72
"107","2008-11-19",72
"108","2008-11-20",72
"109","2008-11-21",72
"110","2008-11-24",72
"111","2008-11-25",72
"112","2008-11-26",72
"113","2008-11-28",72
"114","2008-12-01",72
"115","2008-12-02",72
"116","2008-12-03",72
"117","2008-12-04",72
"118","2008-12-05",72
"119","2008-12-08",72
"120","2008-12-09",72
"121","2008-12-10",72
"122","2008-12-11",64
"123","2008-12-12",64
"124","2008-12-15",64
"125","2008-12-16",64
"126","2008-12-17",64
"127","2008-12-18",64
"128","2008-12-19",64
"129","2008-12-22",64
"130","2008-12-23",64
"131","2008-12-24",64
"132","2008-12-26",64
"133","2008-12-29",64
"134","2008-12-30",60
"135","2008-12-31",56
"136","2009-01-02",56
"137","2009-01-05",56
"138","2009-01-06",64
"139","2009-01-07",72
"140","2009-01-08",72
"141","2009-01-09",72
"142","2009-01-12",72
"143","2009-01-13",72
"144","2009-01-14",72
"145","2009-01-15",72
"146","2009-01-16",72
