"","date","BLBD"
"1","2014-03-20",9.62
"2","2014-03-21",9.5
"3","2014-03-24",9.5
"4","2014-03-25",9.5
"5","2014-03-26",9.5
"6","2014-03-27",9.56
"7","2014-03-28",9.56
"8","2014-03-31",9.56
"9","2014-04-01",9.56
"10","2014-04-02",9.56
"11","2014-04-03",9.56
"12","2014-04-04",9.68
"13","2014-04-07",9.68
"14","2014-04-08",9.68
"15","2014-04-09",9.59
"16","2014-04-10",9.66
"17","2014-04-11",9.66
"18","2014-04-14",9.7
"19","2014-04-15",9.7
"20","2014-04-16",9.7
"21","2014-04-17",9.7
"22","2014-04-21",9.7
"23","2014-04-22",9.55
"24","2014-04-23",9.55
"25","2014-04-24",9.55
"26","2014-04-25",9.65
"27","2014-04-28",9.65
"28","2014-04-29",9.55
"29","2014-04-30",9.55
"30","2014-05-01",9.55
"31","2014-05-02",9.55
"32","2014-05-05",9.55
"33","2014-05-06",9.55
"34","2014-05-07",9.67
"35","2014-05-08",9.63
"36","2014-05-09",9.66
"37","2014-05-12",9.69
"38","2014-05-13",9.591
"39","2014-05-14",9.63
"40","2014-05-15",9.62
"41","2014-05-16",9.6
"42","2014-05-19",9.56
"43","2014-05-20",9.56
"44","2014-05-21",9.65
"45","2014-05-22",9.65
"46","2014-05-23",9.71
"47","2014-05-27",9.68
"48","2014-05-28",9.72
"49","2014-05-29",9.7
"50","2014-05-30",9.7
"51","2014-06-02",9.68
"52","2014-06-03",9.68
"53","2014-06-04",9.68
"54","2014-06-05",9.68
"55","2014-06-06",9.67
"56","2014-06-09",9.67
"57","2014-06-10",9.7
"58","2014-06-11",9.7
"59","2014-06-12",9.72
"60","2014-06-13",9.73
"61","2014-06-16",9.72
"62","2014-06-17",9.72
"63","2014-06-18",9.7
"64","2014-06-19",9.75
"65","2014-06-20",9.71
"66","2014-06-23",9.76
"67","2014-06-24",9.7
"68","2014-06-25",9.71
"69","2014-06-26",9.71
"70","2014-06-27",9.7
"71","2014-06-30",9.73
"72","2014-07-01",9.7
"73","2014-07-02",9.71
"74","2014-07-03",9.72
"75","2014-07-07",9.72
"76","2014-07-08",9.71
"77","2014-07-09",9.71
"78","2014-07-10",9.71
"79","2014-07-11",9.71
"80","2014-07-14",9.7
"81","2014-07-15",9.71
"82","2014-07-16",9.71
"83","2014-07-17",9.73
"84","2014-07-18",9.73
"85","2014-07-21",9.7
"86","2014-07-22",9.71
"87","2014-07-23",9.71
"88","2014-07-24",9.72
"89","2014-07-25",9.7
"90","2014-07-28",9.7
"91","2014-07-29",9.7
"92","2014-07-30",9.7
"93","2014-07-31",9.72
"94","2014-08-01",9.72
"95","2014-08-04",9.72
"96","2014-08-05",9.72
"97","2014-08-06",9.72
"98","2014-08-07",9.72
"99","2014-08-08",9.72
"100","2014-08-11",9.72
"101","2014-08-12",9.72
"102","2014-08-13",9.72
"103","2014-08-14",9.72
"104","2014-08-15",9.74
"105","2014-08-18",9.71
"106","2014-08-19",9.71
"107","2014-08-20",9.7
"108","2014-08-21",9.7
"109","2014-08-22",9.71
"110","2014-08-25",9.79
"111","2014-08-26",9.7
"112","2014-08-27",9.73
"113","2014-08-28",9.81
"114","2014-08-29",9.72
"115","2014-09-02",9.8
"116","2014-09-03",9.77
"117","2014-09-04",9.79
"118","2014-09-05",9.77
"119","2014-09-08",9.76
"120","2014-09-09",9.78
"121","2014-09-10",9.74
"122","2014-09-11",9.74
"123","2014-09-12",9.73
"124","2014-09-15",9.73
"125","2014-09-16",9.73
"126","2014-09-17",9.73
"127","2014-09-18",9.73
"128","2014-09-19",9.73
"129","2014-09-22",9.899
"130","2014-09-23",9.9
"131","2014-09-24",9.83
"132","2014-09-25",9.83
"133","2014-09-26",9.83
"134","2014-09-29",9.88
"135","2014-09-30",9.8
"136","2014-10-01",9.837
"137","2014-10-02",9.79
"138","2014-10-03",9.82
"139","2014-10-06",9.76
"140","2014-10-07",9.81
"141","2014-10-08",9.89
"142","2014-10-09",9.89
"143","2014-10-10",9.89
"144","2014-10-13",9.89
"145","2014-10-14",9.89
"146","2014-10-15",9.91
"147","2014-10-16",9.91
"148","2014-10-17",9.91
"149","2014-10-20",9.85
"150","2014-10-21",9.79
"151","2014-10-22",9.78
"152","2014-10-23",9.81
"153","2014-10-24",9.85
"154","2014-10-27",9.84
"155","2014-10-28",9.84
"156","2014-10-29",9.83
"157","2014-10-30",9.83
"158","2014-10-31",9.83
"159","2014-11-03",9.83
"160","2014-11-04",9.83
"161","2014-11-05",9.83
"162","2014-11-06",9.83
"163","2014-11-07",9.83
"164","2014-11-10",9.83
"165","2014-11-11",9.83
"166","2014-11-12",9.83
"167","2014-11-13",9.83
"168","2014-11-14",9.83
"169","2014-11-17",9.83
"170","2014-11-18",9.83
"171","2014-11-19",9.83
"172","2014-11-20",9.83
"173","2014-11-21",9.83
"174","2014-11-24",9.83
"175","2014-11-25",9.83
"176","2014-11-26",9.83
"177","2014-11-28",9.83
"178","2014-12-01",9.83
"179","2014-12-02",9.83
"180","2014-12-03",9.83
