"","date","AGR"
"1","2015-12-17",36.119999
"2","2015-12-18",33.259998
"3","2015-12-21",33.810001
"4","2015-12-22",35.080002
"5","2015-12-23",36.959999
"6","2015-12-24",37.450001
"7","2015-12-28",36.599998
"8","2015-12-29",37.669998
"9","2015-12-30",38.220001
"10","2015-12-31",38.400002
"11","2016-01-04",37.849998
"12","2016-01-05",38.130001
"13","2016-01-06",38.049999
"14","2016-01-07",37.799999
"15","2016-01-08",37.759998
"16","2016-01-11",37.389999
"17","2016-01-12",37.27
"18","2016-01-13",36.720001
"19","2016-01-14",37.200001
"20","2016-01-15",37.610001
"21","2016-01-19",38.720001
"22","2016-01-20",37.470001
"23","2016-01-21",37.09
"24","2016-01-22",37.990002
"25","2016-01-25",37.049999
"26","2016-01-26",37.41
"27","2016-01-27",37.799999
"28","2016-01-28",37.799999
"29","2016-01-29",38.450001
"30","2016-02-01",38.990002
"31","2016-02-02",39.599998
"32","2016-02-03",40.560001
"33","2016-02-04",41.119999
"34","2016-02-05",42.009998
"35","2016-02-08",41.470001
"36","2016-02-09",41.240002
"37","2016-02-10",41.580002
"38","2016-02-11",40.93
"39","2016-02-12",40.59
"40","2016-02-16",40.650002
"41","2016-02-17",41.310001
"42","2016-02-18",41.5
"43","2016-02-19",41.560001
"44","2016-02-22",38.75
"45","2016-02-23",38.060001
"46","2016-02-24",39.259998
"47","2016-02-25",39.029999
"48","2016-02-26",38.93
"49","2016-02-29",38.790001
"50","2016-03-01",38.580002
"51","2016-03-02",38.779999
"52","2016-03-03",38.580002
"53","2016-03-04",38.529999
"54","2016-03-07",39.200001
"55","2016-03-08",38.59
"56","2016-03-09",38.689999
"57","2016-03-10",38.150002
"58","2016-03-11",38.32
"59","2016-03-14",38.84
"60","2016-03-15",38.599998
"61","2016-03-16",39.150002
"62","2016-03-17",39.68
"63","2016-03-18",40.459999
"64","2016-03-21",40.169998
"65","2016-03-22",40.310001
"66","2016-03-23",40.279999
"67","2016-03-24",40.509998
"68","2016-03-28",40.150002
"69","2016-03-29",40.599998
"70","2016-03-30",40.279999
"71","2016-03-31",40.110001
"72","2016-04-01",39.630001
"73","2016-04-04",40.009998
"74","2016-04-05",39.459999
"75","2016-04-06",39.240002
"76","2016-04-07",39.080002
"77","2016-04-08",38.919998
"78","2016-04-11",38.889999
"79","2016-04-12",38.459999
"80","2016-04-13",38.540001
"81","2016-04-14",38.310001
"82","2016-04-15",38.450001
"83","2016-04-18",38.450001
"84","2016-04-19",38.619999
"85","2016-04-20",37.990002
"86","2016-04-21",37.360001
"87","2016-04-22",37.549999
"88","2016-04-25",38.200001
"89","2016-04-26",39.040001
"90","2016-04-27",40.459999
"91","2016-04-28",40.360001
"92","2016-04-29",40.099998
"93","2016-05-02",40.68
"94","2016-05-03",40.310001
"95","2016-05-04",40.849998
"96","2016-05-05",40.389999
