"","date","PHAT"
"1","2019-10-25",24.6
"2","2019-10-28",23.59
"3","2019-10-29",23.32
"4","2019-10-30",23.200001
"5","2019-10-31",23.620001
"6","2019-11-01",23.780001
"7","2019-11-04",25.959999
"8","2019-11-05",26.200001
"9","2019-11-06",25.66
"10","2019-11-07",26.35
"11","2019-11-08",26.9
"12","2019-11-11",26.67
"13","2019-11-12",26.5
"14","2019-11-13",26.08
"15","2019-11-14",26.200001
"16","2019-11-15",25.870001
"17","2019-11-18",24.27
"18","2019-11-19",24.49
"19","2019-11-20",25.08
"20","2019-11-21",23.620001
"21","2019-11-22",23.469999
"22","2019-11-25",24.549999
"23","2019-11-26",25
"24","2019-11-27",25
"25","2019-11-29",25.6
"26","2019-12-02",26.17
"27","2019-12-03",25.940001
"28","2019-12-04",26.700001
"29","2019-12-05",26.75
"30","2019-12-06",24.24
"31","2019-12-09",23.15
"32","2019-12-10",22.57
"33","2019-12-11",21
"34","2019-12-12",21.25
"35","2019-12-13",22.25
"36","2019-12-16",21.26
"37","2019-12-17",20.1
"38","2019-12-18",18.59
"39","2019-12-19",20.17
"40","2019-12-20",23.41
"41","2019-12-23",27.059999
"42","2019-12-24",25.59
"43","2019-12-26",37.669998
"44","2019-12-27",33
"45","2019-12-30",32.5
"46","2019-12-31",31.139999
"47","2020-01-02",29.9
"48","2020-01-03",31.34
"49","2020-01-06",34.34
"50","2020-01-07",32.779999
"51","2020-01-08",33.23
"52","2020-01-09",33.73
"53","2020-01-10",31.27
"54","2020-01-13",31.059999
"55","2020-01-14",32.18
"56","2020-01-15",34.279999
"57","2020-01-16",36.049999
"58","2020-01-17",35.310001
"59","2020-01-21",37.25
"60","2020-01-22",36.740002
"61","2020-01-23",37.48
"62","2020-01-24",35.549999
"63","2020-01-27",37.990002
"64","2020-01-28",37.970001
"65","2020-01-29",38.450001
"66","2020-01-30",34.889999
"67","2020-01-31",33.369999
"68","2020-02-03",34.16
"69","2020-02-04",33
"70","2020-02-05",33.220001
"71","2020-02-06",32.549999
"72","2020-02-07",31.74
"73","2020-02-10",31.549999
"74","2020-02-11",32.09
"75","2020-02-12",31.92
"76","2020-02-13",32.549999
"77","2020-02-14",33.5
"78","2020-02-18",37.630001
"79","2020-02-19",39.029999
"80","2020-02-20",42.830002
"81","2020-02-21",41.400002
"82","2020-02-24",36.759998
"83","2020-02-25",36.34
"84","2020-02-26",36.110001
"85","2020-02-27",31.99
"86","2020-02-28",36.119999
"87","2020-03-02",36.169998
"88","2020-03-03",33.619999
"89","2020-03-04",37.77
"90","2020-03-05",41.790001
"91","2020-03-06",41.98
"92","2020-03-09",39.43
"93","2020-03-10",38.990002
"94","2020-03-11",34.75
"95","2020-03-12",30.41
"96","2020-03-13",31.26
"97","2020-03-16",25.219999
"98","2020-03-17",29.84
