"","date","GRWG"
"1","2018-02-07",5.85
"2","2018-02-08",5.65
"3","2018-02-09",5.7
"4","2018-02-12",5.5
"5","2018-02-13",5.53
"6","2018-02-14",5.57
"7","2018-02-15",5.36
"8","2018-02-16",5.11
"9","2018-02-20",5.1
"10","2018-02-21",5.1
"11","2018-02-22",4.98
"12","2018-02-23",4.51
"13","2018-02-26",4.13
"14","2018-02-27",3.8
"15","2018-02-28",4.18
"16","2018-03-01",4.21
"17","2018-03-02",4.22
"18","2018-03-05",4.28
"19","2018-03-06",4.35
"20","2018-03-07",4.53
"21","2018-03-08",4.55
"22","2018-03-09",4.64
"23","2018-03-12",4.71
"24","2018-03-13",4.74
"25","2018-03-14",4.65
"26","2018-03-15",4.62
"27","2018-03-16",4.5
"28","2018-03-19",4.49
"29","2018-03-20",4.35
"30","2018-03-21",4.225
"31","2018-03-22",4.17
"32","2018-03-23",4.07
"33","2018-03-26",4
"34","2018-03-27",4.38
"35","2018-03-28",4.28
"36","2018-03-29",4.07
"37","2018-04-02",3.75
"38","2018-04-03",3.6
"39","2018-04-04",3.59
"40","2018-04-05",3.5
"41","2018-04-06",3.3
"42","2018-04-09",3.44
"43","2018-04-10",3.36
"44","2018-04-11",3.45
"45","2018-04-12",3.87
"46","2018-04-13",4.58
"47","2018-04-16",4.83
"48","2018-04-17",4.31
"49","2018-04-18",4.4
"50","2018-04-19",4.5
"51","2018-04-20",4.75
"52","2018-04-23",4.49
"53","2018-04-24",4.2
"54","2018-04-25",4.17
"55","2018-04-26",4.39
"56","2018-04-27",4.7
"57","2018-04-30",4.95
"58","2018-05-01",4.8
"59","2018-05-02",4.94
"60","2018-05-03",4.95
"61","2018-05-04",4.87
"62","2018-05-07",4.95
"63","2018-05-08",4.98
"64","2018-05-09",5.15
"65","2018-05-10",4.84
"66","2018-05-11",4.85
"67","2018-05-14",4.9
"68","2018-05-15",5.1
"69","2018-05-16",4.97
"70","2018-05-17",4.861
"71","2018-05-18",4.9
"72","2018-05-21",5
"73","2018-05-22",4.85
"74","2018-05-23",4.8
"75","2018-05-24",4.72
"76","2018-05-25",4.76
"77","2018-05-29",4.53
"78","2018-05-30",4.64
"79","2018-05-31",4.51
"80","2018-06-01",4.55
"81","2018-06-04",4.33
"82","2018-06-05",4.1
"83","2018-06-06",4.45
"84","2018-06-07",4.6
"85","2018-06-08",4.63
"86","2018-06-11",4.58
"87","2018-06-12",4.48
"88","2018-06-13",4.32
"89","2018-06-14",4.23
"90","2018-06-15",4.21
"91","2018-06-18",4.13
"92","2018-06-19",4.14
"93","2018-06-20",4.3
"94","2018-06-21",4.29
"95","2018-06-22",4.27
"96","2018-06-25",4.082
"97","2018-06-26",4.025
"98","2018-06-27",3.845
"99","2018-06-28",3.94
"100","2018-06-29",3.9
"101","2018-07-02",3.77
"102","2018-07-03",3.9
"103","2018-07-05",3.66
"104","2018-07-06",4.48
"105","2018-07-09",4.2
"106","2018-07-10",4.1
"107","2018-07-11",4
"108","2018-07-12",4.046
"109","2018-07-13",4.028
"110","2018-07-16",4
"111","2018-07-17",3.7
"112","2018-07-18",3.875
"113","2018-07-19",3.85
"114","2018-07-20",3.65
"115","2018-07-23",3.68
"116","2018-07-24",3.64
"117","2018-07-25",3.8
"118","2018-07-26",3.55
"119","2018-07-27",3.559
"120","2018-07-30",3.685
"121","2018-07-31",3.543
"122","2018-08-01",3.55
"123","2018-08-02",3.5
"124","2018-08-03",3.52
"125","2018-08-06",3.48
"126","2018-08-07",3.5
"127","2018-08-08",3.57
"128","2018-08-09",3.5
"129","2018-08-10",3.64
"130","2018-08-13",3.73
"131","2018-08-14",3.66
"132","2018-08-15",3.665
"133","2018-08-16",3.67
"134","2018-08-17",3.79
"135","2018-08-20",3.97
"136","2018-08-21",4.09
"137","2018-08-22",4.11
"138","2018-08-23",4.22
"139","2018-08-24",4.19
"140","2018-08-27",4.12
"141","2018-08-28",4.21
"142","2018-08-29",4.95
"143","2018-08-30",4.75
"144","2018-08-31",4.61
"145","2018-09-04",5.08
"146","2018-09-05",4.9
"147","2018-09-06",4.7
"148","2018-09-07",4.625
"149","2018-09-10",4.69
"150","2018-09-11",4.7
"151","2018-09-12",4.6
"152","2018-09-13",4.25
"153","2018-09-14",4.22
"154","2018-09-17",4.085
"155","2018-09-18",4.125
"156","2018-09-19",4.16
"157","2018-09-20",4.1
"158","2018-09-21",4.215
"159","2018-09-24",4.31
"160","2018-09-25",4.53
"161","2018-09-26",4.4
"162","2018-09-27",4.31
"163","2018-09-28",4.3
"164","2018-10-01",4.42
"165","2018-10-02",4.21
"166","2018-10-03",4.333
"167","2018-10-04",4.24
"168","2018-10-05",4.36
"169","2018-10-08",4.4
"170","2018-10-09",4.3
"171","2018-10-10",4.18
"172","2018-10-11",4.177
"173","2018-10-12",4.19
"174","2018-10-15",4.39
"175","2018-10-16",4.28
"176","2018-10-17",4.26
"177","2018-10-18",4.08
"178","2018-10-19",3.92
"179","2018-10-22",3.56
"180","2018-10-23",3.59
"181","2018-10-24",3.208
"182","2018-10-25",3.41
"183","2018-10-26",3.41
"184","2018-10-29",3.205
"185","2018-10-30",3.2
"186","2018-10-31",3.37
"187","2018-11-01",3.44
"188","2018-11-02",3.6
"189","2018-11-05",3.79
"190","2018-11-06",3.73
"191","2018-11-07",4.14
"192","2018-11-08",4.12
"193","2018-11-09",3.85
"194","2018-11-12",3.47
"195","2018-11-13",3.37
"196","2018-11-14",3.199
"197","2018-11-15",3.45
"198","2018-11-16",3.26
"199","2018-11-19",3.029
"200","2018-11-20",3.06
"201","2018-11-21",3.187
"202","2018-11-23",3.1
"203","2018-11-26",3.04
"204","2018-11-27",2.95
"205","2018-11-28",2.975
"206","2018-11-29",3.04
"207","2018-11-30",3
"208","2018-12-03",3
"209","2018-12-04",2.88
"210","2018-12-06",2.85
"211","2018-12-07",2.89
"212","2018-12-10",2.925
"213","2018-12-11",2.98
"214","2018-12-12",3.01
"215","2018-12-13",2.8
"216","2018-12-14",2.89
"217","2018-12-17",2.67
"218","2018-12-18",2.5
"219","2018-12-19",2.54
