"","date","KREF"
"1","2017-05-05",22.129999
"2","2017-05-08",22.110001
"3","2017-05-09",21.91
"4","2017-05-10",21.809999
"5","2017-05-11",22
"6","2017-05-12",22
"7","2017-05-15",21.950001
"8","2017-05-16",22.389999
"9","2017-05-17",22.389999
"10","2017-05-18",22.51
"11","2017-05-19",22.360001
"12","2017-05-22",22.540001
"13","2017-05-23",22.540001
"14","2017-05-24",22.58
"15","2017-05-25",22.700001
"16","2017-05-26",22.799999
"17","2017-05-30",22.4
"18","2017-05-31",22.110001
"19","2017-06-01",22.57
"20","2017-06-02",22.940001
"21","2017-06-05",22.59
"22","2017-06-06",22.01
"23","2017-06-07",21.879999
"24","2017-06-08",21.92
"25","2017-06-09",21.76
"26","2017-06-12",21.969999
"27","2017-06-13",21.700001
"28","2017-06-14",21.469999
"29","2017-06-15",21.610001
"30","2017-06-16",21.23
"31","2017-06-19",21.23
"32","2017-06-20",21.25
"33","2017-06-21",21.200001
"34","2017-06-22",21.07
"35","2017-06-23",21.360001
"36","2017-06-26",21.24
"37","2017-06-27",21.360001
"38","2017-06-28",21.77
"39","2017-06-29",21.379999
"40","2017-06-30",21.5
"41","2017-07-03",21.629999
"42","2017-07-05",21.16
"43","2017-07-06",21.25
"44","2017-07-07",21.389999
"45","2017-07-10",21.68
"46","2017-07-11",21.59
"47","2017-07-12",21.24
"48","2017-07-13",21.190001
"49","2017-07-14",21.190001
"50","2017-07-17",21.059999
"51","2017-07-18",20.959999
"52","2017-07-19",21.059999
"53","2017-07-20",20.99
"54","2017-07-21",20.950001
"55","2017-07-24",20.84
"56","2017-07-25",20.879999
"57","2017-07-26",20.860001
"58","2017-07-27",20.76
"59","2017-07-28",20.42
"60","2017-07-31",20.5
"61","2017-08-01",20.77
"62","2017-08-02",20.5
"63","2017-08-03",20.5
"64","2017-08-04",20.48
"65","2017-08-07",20.24
"66","2017-08-08",20.26
"67","2017-08-09",19.959999
"68","2017-08-10",19.790001
"69","2017-08-11",19.84
"70","2017-08-14",20.139999
"71","2017-08-15",20.129999
"72","2017-08-16",20.190001
"73","2017-08-17",20.139999
"74","2017-08-18",20.15
"75","2017-08-21",20.209999
"76","2017-08-22",20.17
"77","2017-08-23",20.24
"78","2017-08-24",20.280001
"79","2017-08-25",20.4
"80","2017-08-28",20.48
"81","2017-08-29",20.43
"82","2017-08-30",20.41
"83","2017-08-31",20.77
"84","2017-09-01",21.209999
"85","2017-09-05",20.860001
"86","2017-09-06",20.860001
"87","2017-09-07",20.85
"88","2017-09-08",20.879999
"89","2017-09-11",21.299999
"90","2017-09-12",21.290001
"91","2017-09-13",21.290001
"92","2017-09-14",21.309999
"93","2017-09-15",21.299999
"94","2017-09-18",21.24
"95","2017-09-19",21.33
"96","2017-09-20",21.309999
"97","2017-09-21",21.299999
"98","2017-09-22",21.33
"99","2017-09-25",21.27
"100","2017-09-26",21.17
"101","2017-09-27",21.290001
"102","2017-09-28",20.99
"103","2017-09-29",21.040001
"104","2017-10-02",21.440001
"105","2017-10-03",21.379999
"106","2017-10-04",21.23
"107","2017-10-05",21.35
"108","2017-10-06",21.280001
"109","2017-10-09",21.33
"110","2017-10-10",21.309999
"111","2017-10-11",21.379999
"112","2017-10-12",21.360001
"113","2017-10-13",21.41
"114","2017-10-16",21.35
"115","2017-10-17",21.379999
"116","2017-10-18",21.24
"117","2017-10-19",21.08
"118","2017-10-20",21.16
"119","2017-10-23",20.540001
"120","2017-10-24",20.540001
"121","2017-10-25",20.280001
"122","2017-10-26",20.34
"123","2017-10-27",20.34
"124","2017-10-30",20.26
"125","2017-10-31",20.219999
"126","2017-11-01",20.35
"127","2017-11-02",20.360001
"128","2017-11-03",20.360001
