"","date","CABA"
"1","2019-10-25",10
"2","2019-10-28",10.01
"3","2019-10-29",10.51
"4","2019-10-30",10.65
"5","2019-10-31",10.5
"6","2019-11-01",10.75
"7","2019-11-04",11
"8","2019-11-05",11
"9","2019-11-06",11
"10","2019-11-07",11
"11","2019-11-08",11.12
"12","2019-11-11",13.92
"13","2019-11-12",11.77
"14","2019-11-13",12.7
"15","2019-11-14",13.16
"16","2019-11-15",14
"17","2019-11-18",13.79
"18","2019-11-19",17.709999
"19","2019-11-20",16.469999
"20","2019-11-21",14.57
"21","2019-11-22",13.25
"22","2019-11-25",13.2
"23","2019-11-26",12.6
"24","2019-11-27",12.87
"25","2019-11-29",13.7
"26","2019-12-02",14.71
"27","2019-12-03",13.72
"28","2019-12-04",13.39
"29","2019-12-05",12.16
"30","2019-12-06",10.21
"31","2019-12-09",9.11
"32","2019-12-10",8.21
"33","2019-12-11",8.18
"34","2019-12-12",7.88
"35","2019-12-13",7.99
"36","2019-12-16",8.47
"37","2019-12-17",9.57
"38","2019-12-18",9.16
"39","2019-12-19",8.58
"40","2019-12-20",10.13
"41","2019-12-23",13.56
"42","2019-12-24",13.25
"43","2019-12-26",13.79
"44","2019-12-27",13.82
"45","2019-12-30",13.99
"46","2019-12-31",13.97
"47","2020-01-02",13.9
"48","2020-01-03",13.88
"49","2020-01-06",16.059999
"50","2020-01-07",15.53
"51","2020-01-08",15.4
"52","2020-01-09",14.54
"53","2020-01-10",13.89
"54","2020-01-13",14.35
"55","2020-01-14",15.32
"56","2020-01-15",16
"57","2020-01-16",16.27
"58","2020-01-17",16.370001
"59","2020-01-21",16.17
"60","2020-01-22",16.370001
"61","2020-01-23",17.15
"62","2020-01-24",17.469999
"63","2020-01-27",17.629999
"64","2020-01-28",16.459999
"65","2020-01-29",18.67
"66","2020-01-30",17.120001
"67","2020-01-31",16.43
"68","2020-02-03",15.59
"69","2020-02-04",15.28
"70","2020-02-05",15.94
"71","2020-02-06",16.450001
