"","date","CPRX"
"1","2007-01-03",4.5
"2","2007-01-04",4.25
"3","2007-01-05",4.2
"4","2007-01-08",4.03
"5","2007-01-09",4.15
"6","2007-01-10",3.93
"7","2007-01-11",3.92
"8","2007-01-12",3.98
"9","2007-01-16",3.98
"10","2007-01-17",3.99
"11","2007-01-18",3.97
"12","2007-01-19",3.98
"13","2007-01-22",3.89
"14","2007-01-23",3.96
"15","2007-01-24",3.8
"16","2007-01-25",4
"17","2007-01-26",3.95
"18","2007-01-29",4.24
"19","2007-01-30",5.23
"20","2007-01-31",6.38
"21","2007-02-01",6.83
"22","2007-02-02",5.7
"23","2007-02-05",5.85
"24","2007-02-06",5.55
"25","2007-02-07",5.41
"26","2007-02-08",5.25
"27","2007-02-09",4.79
"28","2007-02-12",4.99
"29","2007-02-13",4.78
"30","2007-02-14",4.7
"31","2007-02-15",4.61
"32","2007-02-16",4.6
"33","2007-02-20",4.63
"34","2007-02-21",4.63
"35","2007-02-22",4.65
"36","2007-02-23",4.57
"37","2007-02-26",4.81
"38","2007-02-27",4.52
"39","2007-02-28",4.84
"40","2007-03-01",4.66
"41","2007-03-02",4.72
"42","2007-03-05",4.6
"43","2007-03-06",4.75
"44","2007-03-07",4.85
"45","2007-03-08",4.85
"46","2007-03-09",4.76
"47","2007-03-12",4.89
"48","2007-03-13",4.8
"49","2007-03-14",4.66
"50","2007-03-15",4.75
"51","2007-03-16",4.72
"52","2007-03-19",4.59
"53","2007-03-20",4.26
"54","2007-03-21",4.44
"55","2007-03-22",4.59
"56","2007-03-23",4.39
"57","2007-03-26",4.08
"58","2007-03-27",4.1
"59","2007-03-28",3.95
"60","2007-03-29",3.99
"61","2007-03-30",4
"62","2007-04-02",3.63
"63","2007-04-03",3.68
"64","2007-04-04",3.6
"65","2007-04-05",3.51
"66","2007-04-09",3.65
"67","2007-04-10",3.85
"68","2007-04-11",3.72
"69","2007-04-12",3.48
"70","2007-04-13",3.48
"71","2007-04-16",3.59
"72","2007-04-17",3.74
"73","2007-04-18",3.85
"74","2007-04-19",4.12
"75","2007-04-20",4.4
"76","2007-04-23",4.65
"77","2007-04-24",4.31
"78","2007-04-25",3.93
"79","2007-04-26",3.96
"80","2007-04-27",3.96
"81","2007-04-30",3.9
"82","2007-05-01",3.97
"83","2007-05-02",3.89
"84","2007-05-03",3.99
"85","2007-05-04",3.85
"86","2007-05-07",4
"87","2007-05-08",3.9
"88","2007-05-09",3.95
"89","2007-05-10",4.01
"90","2007-05-11",4.23
"91","2007-05-14",4.35
"92","2007-05-15",4.16
"93","2007-05-16",4.33
"94","2007-05-17",4.35
"95","2007-05-18",4.15
"96","2007-05-21",4
"97","2007-05-22",4.08
"98","2007-05-23",4.1
"99","2007-05-24",3.96
"100","2007-05-25",4.07
"101","2007-05-29",4.02
"102","2007-05-30",3.98
"103","2007-05-31",4.32
"104","2007-06-01",4.3
"105","2007-06-04",4.32
"106","2007-06-05",4.4
"107","2007-06-06",4.15
"108","2007-06-07",4
"109","2007-06-08",3.99
"110","2007-06-11",4.45
"111","2007-06-12",4.55
"112","2007-06-13",4.07
"113","2007-06-14",4.05
"114","2007-06-15",4.06
"115","2007-06-18",4.06
"116","2007-06-19",3.97
"117","2007-06-20",3.95
"118","2007-06-21",3.99
"119","2007-06-22",3.95
"120","2007-06-25",3.8
"121","2007-06-26",3.84
"122","2007-06-27",3.91
"123","2007-06-28",4.03
"124","2007-06-29",4.08
"125","2007-07-02",3.91
"126","2007-07-03",4
"127","2007-07-05",3.95
"128","2007-07-06",3.83
"129","2007-07-09",3.92
"130","2007-07-10",3.9
"131","2007-07-11",4
"132","2007-07-12",3.92
"133","2007-07-13",3.84
"134","2007-07-16",3.8
"135","2007-07-17",3.7
"136","2007-07-18",3.62
"137","2007-07-19",3.86
"138","2007-07-20",3.7
"139","2007-07-23",3.98
"140","2007-07-24",3.81
"141","2007-07-25",3.5
"142","2007-07-26",3.09
"143","2007-07-27",3.26
"144","2007-07-30",3.43
"145","2007-07-31",3.36
"146","2007-08-01",3.31
"147","2007-08-02",3.32
"148","2007-08-03",3.25
"149","2007-08-06",3.14
"150","2007-08-07",3.1
"151","2007-08-08",3.01
"152","2007-08-09",2.85
"153","2007-08-10",3
"154","2007-08-13",3
"155","2007-08-14",2.7
"156","2007-08-15",2.88
"157","2007-08-16",3.14
"158","2007-08-17",2.89
"159","2007-08-20",2.7
"160","2007-08-21",2.7
"161","2007-08-22",2.95
"162","2007-08-23",3.22
"163","2007-08-24",3.3
"164","2007-08-27",3.14
"165","2007-08-28",3.06
"166","2007-08-29",3.06
"167","2007-08-30",3.04
"168","2007-08-31",3.46
"169","2007-09-04",3.21
"170","2007-09-05",3.19
"171","2007-09-06",3.16
"172","2007-09-07",3.19
"173","2007-09-10",2.92
"174","2007-09-11",3.07
"175","2007-09-12",2.93
"176","2007-09-13",2.87
"177","2007-09-14",2.93
"178","2007-09-17",3.06
"179","2007-09-18",3.25
"180","2007-09-19",3.13
"181","2007-09-20",3
"182","2007-09-21",2.92
"183","2007-09-24",2.86
"184","2007-09-25",3.02
"185","2007-09-26",3.07
"186","2007-09-27",2.9
"187","2007-09-28",3.2
"188","2007-10-01",3.22
"189","2007-10-02",3.08
"190","2007-10-03",3
"191","2007-10-04",2.98
"192","2007-10-05",3
"193","2007-10-08",3
