"","date","AACG"
"1","2008-01-29",8.75
"2","2008-01-30",8.5
"3","2008-01-31",9.55
"4","2008-02-01",9.51
"5","2008-02-04",9.5
"6","2008-02-05",9.11
"7","2008-02-06",9
"8","2008-02-07",9.4
"9","2008-02-08",9.01
"10","2008-02-11",9.04
"11","2008-02-12",9.1
"12","2008-02-13",9.01
"13","2008-02-14",9.06
"14","2008-02-15",9
"15","2008-02-19",9.2
"16","2008-02-20",9.61
"17","2008-02-21",9.9
"18","2008-02-22",9.62
"19","2008-02-25",9.48
"20","2008-02-26",9.56
"21","2008-02-27",9.51
"22","2008-02-28",9.65
"23","2008-02-29",10.3
"24","2008-03-03",10.36
"25","2008-03-04",10.2
"26","2008-03-05",10.2
"27","2008-03-06",10.2
"28","2008-03-07",10.84
"29","2008-03-10",11.34
"30","2008-03-11",12.8
"31","2008-03-12",12.32
"32","2008-03-13",11.92
"33","2008-03-14",11.8
"34","2008-03-17",10.52
"35","2008-03-18",10.2
"36","2008-03-19",9.5
"37","2008-03-20",9.54
"38","2008-03-24",10.2
"39","2008-03-25",10.5
"40","2008-03-26",9.01
"41","2008-03-27",9.05
"42","2008-03-28",8.71
"43","2008-03-31",8.86
"44","2008-04-01",9.5
"45","2008-04-02",9.48
"46","2008-04-03",9.6
"47","2008-04-04",11.02
"48","2008-04-07",9.57
"49","2008-04-08",10.2
"50","2008-04-09",10
"51","2008-04-10",9.78
"52","2008-04-11",9.78
"53","2008-04-14",10.05
"54","2008-04-15",10.08
"55","2008-04-16",10.3
"56","2008-04-17",10.4
"57","2008-04-18",10.6
"58","2008-04-21",10.75
"59","2008-04-22",10.99
"60","2008-04-23",10.62
"61","2008-04-24",10.52
"62","2008-04-25",10.5
"63","2008-04-28",10.6
"64","2008-04-29",10.5
"65","2008-04-30",10.67
"66","2008-05-01",10.52
"67","2008-05-02",10.6
"68","2008-05-05",10.55
"69","2008-05-06",10.6
"70","2008-05-07",10.8
"71","2008-05-08",11.12
"72","2008-05-09",10.9
"73","2008-05-12",10.95
"74","2008-05-13",11.12
"75","2008-05-14",11.97
"76","2008-05-15",11.97
"77","2008-05-16",12.56
"78","2008-05-19",14.6
"79","2008-05-20",14.75
"80","2008-05-21",16.07
"81","2008-05-22",15.98
"82","2008-05-23",17.08
"83","2008-05-27",15.35
"84","2008-05-28",15.36
"85","2008-05-29",15.4
"86","2008-05-30",15.1
"87","2008-06-02",15.31
"88","2008-06-03",15.42
"89","2008-06-04",15.77
"90","2008-06-05",15.93
"91","2008-06-06",15.2
"92","2008-06-09",14.69
"93","2008-06-10",14.39
"94","2008-06-11",14.19
"95","2008-06-12",14.31
"96","2008-06-13",14.46
"97","2008-06-16",14.6
"98","2008-06-17",15.06
"99","2008-06-18",15.03
"100","2008-06-19",14.97
"101","2008-06-20",14.9
"102","2008-06-23",14.85
"103","2008-06-24",14.8
"104","2008-06-25",14.84
"105","2008-06-26",14.3
"106","2008-06-27",14.15
"107","2008-06-30",13.01
"108","2008-07-01",12.42
"109","2008-07-02",12.31
"110","2008-07-03",11.9
"111","2008-07-07",10.72
"112","2008-07-08",10.61
"113","2008-07-09",12.58
"114","2008-07-10",12.33
"115","2008-07-11",12.63
"116","2008-07-14",12.66
"117","2008-07-15",12.25
"118","2008-07-16",12
"119","2008-07-17",12.03
"120","2008-07-18",11.97
"121","2008-07-21",12.07
"122","2008-07-22",15.28
"123","2008-07-23",14.75
"124","2008-07-24",14.31
"125","2008-07-25",14.6
"126","2008-07-28",15
"127","2008-07-29",15
"128","2008-07-30",14.98
"129","2008-07-31",14.97
"130","2008-08-01",14.99
"131","2008-08-04",14.99
"132","2008-08-05",15.06
"133","2008-08-06",15
"134","2008-08-07",14.45
"135","2008-08-08",14
"136","2008-08-11",13.25
"137","2008-08-12",13.25
"138","2008-08-13",13.5
"139","2008-08-14",13.42
"140","2008-08-15",13.35
"141","2008-08-18",13.5
"142","2008-08-19",13.05
"143","2008-08-20",13.08
"144","2008-08-21",13.04
"145","2008-08-22",12.56
"146","2008-08-25",11.63
"147","2008-08-26",11.55
"148","2008-08-27",12.13
"149","2008-08-28",11.62
"150","2008-08-29",11.81
"151","2008-09-02",12.5
"152","2008-09-03",11.77
