"","date","FSBW"
"1","2012-07-10",10.01
"2","2012-07-11",10
"3","2012-07-12",10.08
"4","2012-07-13",10.16
"5","2012-07-16",10.07
"6","2012-07-17",10.04
"7","2012-07-18",10.02
"8","2012-07-19",10.09
"9","2012-07-20",10
"10","2012-07-23",10.16
"11","2012-07-24",10.15
"12","2012-07-25",10.1
"13","2012-07-26",10.14
"14","2012-07-27",10.12
"15","2012-07-30",10.09
"16","2012-07-31",10.06
"17","2012-08-01",10.2
"18","2012-08-02",10.23
"19","2012-08-03",10.27
"20","2012-08-06",10.25
"21","2012-08-07",10.21
"22","2012-08-08",10.28
"23","2012-08-09",10.21
"24","2012-08-10",10.3
"25","2012-08-13",10.34
"26","2012-08-14",10.34
"27","2012-08-15",10.34
"28","2012-08-16",10.34
"29","2012-08-17",10.34
"30","2012-08-20",10.34
"31","2012-08-21",10.48
"32","2012-08-22",10.66
"33","2012-08-23",10.48
"34","2012-08-24",10.62
"35","2012-08-27",10.53
"36","2012-08-28",10.6
"37","2012-08-29",10.55
"38","2012-08-30",10.7
"39","2012-08-31",10.67
"40","2012-09-04",10.67
"41","2012-09-05",10.73
"42","2012-09-06",10.71
"43","2012-09-07",10.7
"44","2012-09-10",10.7
"45","2012-09-11",10.7
"46","2012-09-12",10.7
"47","2012-09-13",10.69
"48","2012-09-14",10.71
"49","2012-09-17",10.67
"50","2012-09-18",10.78
"51","2012-09-19",10.73
"52","2012-09-20",10.83
"53","2012-09-21",10.73
"54","2012-09-24",10.9
"55","2012-09-25",10.86
"56","2012-09-26",10.76
"57","2012-09-27",10.76
"58","2012-09-28",10.76
"59","2012-10-01",10.67
"60","2012-10-02",10.7
"61","2012-10-03",10.76
"62","2012-10-04",10.74
"63","2012-10-05",10.76
"64","2012-10-08",10.79
"65","2012-10-09",10.75
"66","2012-10-10",10.75
"67","2012-10-11",10.75
"68","2012-10-12",10.77
"69","2012-10-15",10.85
"70","2012-10-16",10.85
"71","2012-10-17",10.94
"72","2012-10-18",10.94
