"","date","SCPL"
"1","2019-05-03",15.25
"2","2019-05-06",14.82
"3","2019-05-07",15.01
"4","2019-05-08",15.33
"5","2019-05-09",15.51
"6","2019-05-10",15.1
"7","2019-05-13",14.5
"8","2019-05-14",14.97
"9","2019-05-15",15.35
"10","2019-05-16",15.97
"11","2019-05-17",15.56
"12","2019-05-20",15.07
"13","2019-05-21",15.28
"14","2019-05-22",15.45
"15","2019-05-23",15.47
"16","2019-05-24",15.77
"17","2019-05-28",15.59
"18","2019-05-29",15.45
"19","2019-05-30",15.8
"20","2019-05-31",16
"21","2019-06-03",15.4
"22","2019-06-04",14.99
"23","2019-06-05",15.35
"24","2019-06-06",15.42
"25","2019-06-07",15.17
"26","2019-06-10",14.54
"27","2019-06-11",14.71
"28","2019-06-12",13.82
"29","2019-06-13",13.5
"30","2019-06-14",13.45
"31","2019-06-17",13.6
"32","2019-06-18",14.02
"33","2019-06-19",13.88
"34","2019-06-20",14.1
"35","2019-06-21",14.42
"36","2019-06-24",13.79
"37","2019-06-25",13.49
"38","2019-06-26",13.69
"39","2019-06-27",13.71
"40","2019-06-28",13.71
"41","2019-07-01",13.43
"42","2019-07-02",13.4
"43","2019-07-03",13.35
"44","2019-07-05",13.02
"45","2019-07-08",12.3
"46","2019-07-09",12.46
"47","2019-07-10",12.46
"48","2019-07-11",12.25
"49","2019-07-12",12.89
"50","2019-07-15",12.9
"51","2019-07-16",12.74
"52","2019-07-17",10.7
"53","2019-07-18",10.34
"54","2019-07-19",10.56
"55","2019-07-22",10.46
"56","2019-07-23",10.61
"57","2019-07-24",10.68
"58","2019-07-25",10.49
"59","2019-07-26",10.71
"60","2019-07-29",10.45
"61","2019-07-30",10.23
"62","2019-07-31",10.43
"63","2019-08-01",10.85
"64","2019-08-02",10.59
"65","2019-08-05",10.41
"66","2019-08-06",10.31
"67","2019-08-07",10.3
"68","2019-08-08",10.49
"69","2019-08-09",10.51
"70","2019-08-12",10.03
"71","2019-08-13",10.11
"72","2019-08-14",10.03
"73","2019-08-15",10.07
"74","2019-08-16",10.5
"75","2019-08-19",10.56
"76","2019-08-20",10.42
"77","2019-08-21",10.6
"78","2019-08-22",10.47
"79","2019-08-23",9.88
"80","2019-08-26",10.01
"81","2019-08-27",10.16
"82","2019-08-28",10.07
"83","2019-08-29",9.91
"84","2019-08-30",9.51
"85","2019-09-03",9.13
"86","2019-09-04",9.37
"87","2019-09-05",9.82
"88","2019-09-06",10.35
"89","2019-09-09",11.36
"90","2019-09-10",11.81
"91","2019-09-11",11.31
"92","2019-09-12",11.56
"93","2019-09-13",11.82
"94","2019-09-16",11.72
"95","2019-09-17",11.59
"96","2019-09-18",11.35
"97","2019-09-19",10.89
"98","2019-09-20",10.9
"99","2019-09-23",10.91
"100","2019-09-24",10.6
"101","2019-09-25",10.64
"102","2019-09-26",10.57
"103","2019-09-27",10.8
"104","2019-09-30",10.7
"105","2019-10-01",9.77
"106","2019-10-02",10.04
"107","2019-10-03",10.28
"108","2019-10-04",10.12
"109","2019-10-07",10
"110","2019-10-08",9.86
"111","2019-10-09",9.74
"112","2019-10-10",9.63
"113","2019-10-11",9.63
"114","2019-10-14",9.61
"115","2019-10-15",9.58
"116","2019-10-16",9.24
"117","2019-10-17",8.85
"118","2019-10-18",8.55
"119","2019-10-21",8.61
"120","2019-10-22",8.81
"121","2019-10-23",8.71
"122","2019-10-24",8.86
"123","2019-10-25",8.89
"124","2019-10-28",8.94
"125","2019-10-29",8.8
"126","2019-10-30",9.16
"127","2019-10-31",9.67
"128","2019-11-01",9.68
"129","2019-11-04",9.81
"130","2019-11-05",10
"131","2019-11-06",9.84
"132","2019-11-07",9.93
"133","2019-11-08",10.27
"134","2019-11-11",9.71
"135","2019-11-12",9.5
"136","2019-11-13",9.76
"137","2019-11-14",9.75
"138","2019-11-15",10.1
"139","2019-11-18",9.89
"140","2019-11-19",10.11
"141","2019-11-20",10.07
"142","2019-11-21",10.13
"143","2019-11-22",10.01
"144","2019-11-25",10.25
"145","2019-11-26",10.57
"146","2019-11-27",10.62
"147","2019-11-29",11.78
"148","2019-12-02",12.22
"149","2019-12-03",12.53
"150","2019-12-04",12.67
"151","2019-12-05",12.63
"152","2019-12-06",12.53
"153","2019-12-09",13.02
"154","2019-12-10",12.69
"155","2019-12-11",12.47
"156","2019-12-12",12.67
"157","2019-12-13",12.64
"158","2019-12-16",12.79
"159","2019-12-17",12.08
"160","2019-12-18",12.27
"161","2019-12-19",12.25
"162","2019-12-20",12.38
"163","2019-12-23",12.41
"164","2019-12-24",12.64
"165","2019-12-26",12.7
"166","2019-12-27",12.51
"167","2019-12-30",12.42
