"","date","HJLI"
"1","2018-05-31",5.24
"2","2018-06-01",4.98
"3","2018-06-04",4.74
"4","2018-06-05",4.63
"5","2018-06-06",4.41
"6","2018-06-07",4.303
"7","2018-06-08",4.94
"8","2018-06-11",4.62
"9","2018-06-12",4.35
"10","2018-06-13",4.18
"11","2018-06-14",4.55
"12","2018-06-15",4.7
"13","2018-06-18",4.93
"14","2018-06-19",4.6
"15","2018-06-20",4.77
"16","2018-06-21",4.45
"17","2018-06-22",4.35
"18","2018-06-25",4.171
"19","2018-06-26",4.06
"20","2018-06-27",3.45
"21","2018-06-28",3.4
"22","2018-06-29",3.75
"23","2018-07-02",3.634
"24","2018-07-03",3.68
"25","2018-07-05",3.48
"26","2018-07-06",3.4
"27","2018-07-09",3.33
"28","2018-07-10",3.49
"29","2018-07-11",3.6
"30","2018-07-12",3.3
"31","2018-07-13",3.17
"32","2018-07-16",2.98
"33","2018-07-17",2.95
"34","2018-07-18",2.92
"35","2018-07-19",2.996
"36","2018-07-20",3
"37","2018-07-23",3.094
"38","2018-07-24",2.934
"39","2018-07-25",2.75
"40","2018-07-26",2.64
"41","2018-07-27",2.65
"42","2018-07-30",2.64
"43","2018-07-31",3
"44","2018-08-01",2.98
"45","2018-08-02",2.876
"46","2018-08-03",2.63
"47","2018-08-06",2.64
"48","2018-08-07",2.55
"49","2018-08-08",2.43
"50","2018-08-09",2.476
"51","2018-08-10",2.34
"52","2018-08-13",2.26
"53","2018-08-14",2.47
"54","2018-08-15",2.26
"55","2018-08-16",2.31
"56","2018-08-17",2.45
"57","2018-08-20",2.4
"58","2018-08-21",2.23
"59","2018-08-22",2.325
"60","2018-08-23",2.28
"61","2018-08-24",2.1
"62","2018-08-27",2.25
"63","2018-08-28",2.25
"64","2018-08-29",2.26
"65","2018-08-30",2.27
"66","2018-08-31",2.3
"67","2018-09-04",2.09
"68","2018-09-05",2.08
"69","2018-09-06",2.329
"70","2018-09-07",2.246
"71","2018-09-10",2.21
"72","2018-09-11",2.29
"73","2018-09-12",2.23
"74","2018-09-13",2.26
"75","2018-09-14",2.245
"76","2018-09-17",2.4
"77","2018-09-18",2.41
"78","2018-09-19",2.23
"79","2018-09-20",2.52
"80","2018-09-21",2.64
"81","2018-09-24",2.71
"82","2018-09-25",2.74
"83","2018-09-26",2.56
"84","2018-09-27",2.68
"85","2018-09-28",2.68
"86","2018-10-01",2.9
"87","2018-10-02",2.57
"88","2018-10-03",2.99
"89","2018-10-04",3.06
