"","date","KGC"
"1","2007-01-03",11.42
"2","2007-01-04",10.84
"3","2007-01-05",11.1
"4","2007-01-08",11.16
"5","2007-01-09",11.41
"6","2007-01-10",11.22
"7","2007-01-11",11.49
"8","2007-01-12",12.01
"9","2007-01-16",12.25
"10","2007-01-17",12.45
"11","2007-01-18",12.33
"12","2007-01-19",12.39
"13","2007-01-22",12.38
"14","2007-01-23",12.8
"15","2007-01-24",12.99
"16","2007-01-25",12.88
"17","2007-01-26",13.04
"18","2007-01-29",13
"19","2007-01-30",13.14
"20","2007-01-31",13.3
"21","2007-02-01",13.12
"22","2007-02-02",13.03
"23","2007-02-05",13.1
"24","2007-02-06",13.12
"25","2007-02-07",12.89
"26","2007-02-08",13.29
"27","2007-02-09",13.25
"28","2007-02-12",12.92
"29","2007-02-13",13.18
"30","2007-02-14",13.27
"31","2007-02-15",13.5
"32","2007-02-16",13.26
"33","2007-02-20",12.86
"34","2007-02-21",13.51
"35","2007-02-22",13.77
"36","2007-02-23",14.04
"37","2007-02-26",14.55
"38","2007-02-27",13.48
"39","2007-02-28",14.08
"40","2007-03-01",13.48
"41","2007-03-02",12.9
"42","2007-03-05",12.42
"43","2007-03-06",12.97
"44","2007-03-07",13.04
"45","2007-03-08",13.12
"46","2007-03-09",13.17
"47","2007-03-12",13.16
"48","2007-03-13",12.64
"49","2007-03-14",12.71
"50","2007-03-15",12.97
"51","2007-03-16",13
"52","2007-03-19",13.24
"53","2007-03-20",13.41
"54","2007-03-21",13.98
"55","2007-03-22",14.02
"56","2007-03-23",13.87
"57","2007-03-26",13.89
"58","2007-03-27",13.82
"59","2007-03-28",13.77
"60","2007-03-29",13.63
"61","2007-03-30",13.79
"62","2007-04-02",13.94
"63","2007-04-03",14.19
"64","2007-04-04",14.36
"65","2007-04-05",14.24
"66","2007-04-09",14.24
"67","2007-04-10",14.31
"68","2007-04-11",14.26
"69","2007-04-12",14.36
"70","2007-04-13",14.71
"71","2007-04-16",14.78
"72","2007-04-17",14.44
"73","2007-04-18",14.56
"74","2007-04-19",13.9
"75","2007-04-20",14.04
"76","2007-04-23",13.88
"77","2007-04-24",13.6
"78","2007-04-25",13.61
"79","2007-04-26",13.26
"80","2007-04-27",13.65
"81","2007-04-30",13.33
"82","2007-05-01",13.14
"83","2007-05-02",13.7
"84","2007-05-03",13.96
"85","2007-05-04",13.87
"86","2007-05-07",13.89
"87","2007-05-08",13.76
"88","2007-05-09",13.57
"89","2007-05-10",13.12
"90","2007-05-11",13.5
"91","2007-05-14",13.26
"92","2007-05-15",13.27
"93","2007-05-16",13
"94","2007-05-17",12.89
"95","2007-05-18",13.08
"96","2007-05-21",13.23
"97","2007-05-22",12.96
"98","2007-05-23",13.24
"99","2007-05-24",12.78
"100","2007-05-25",12.87
"101","2007-05-29",12.76
"102","2007-05-30",12.61
"103","2007-05-31",13.34
"104","2007-06-01",13.65
"105","2007-06-04",13.55
"106","2007-06-05",13.39
"107","2007-06-06",13.43
"108","2007-06-07",12.84
"109","2007-06-08",12.81
"110","2007-06-11",12.87
"111","2007-06-12",12.56
"112","2007-06-13",12.54
"113","2007-06-14",12.8
"114","2007-06-15",13.17
"115","2007-06-18",13.16
"116","2007-06-19",13.18
"117","2007-06-20",12.76
"118","2007-06-21",12.81
"119","2007-06-22",12.65
"120","2007-06-25",12.31
"121","2007-06-26",11.7
"122","2007-06-27",11.62
"123","2007-06-28",11.49
"124","2007-06-29",11.68
"125","2007-07-02",12.18
"126","2007-07-03",12.31
"127","2007-07-05",12.38
"128","2007-07-06",12.87
"129","2007-07-09",13.19
"130","2007-07-10",13.24
"131","2007-07-11",13.09
"132","2007-07-12",13.46
"133","2007-07-13",13.5
"134","2007-07-16",13.18
"135","2007-07-17",13.21
"136","2007-07-18",14.17
"137","2007-07-19",14.22
"138","2007-07-20",14.2
"139","2007-07-23",14.1
"140","2007-07-24",13.77
"141","2007-07-25",13.79
"142","2007-07-26",13.41
"143","2007-07-27",12.96
"144","2007-07-30",13.39
"145","2007-07-31",12.98
"146","2007-08-01",12.64
"147","2007-08-02",12.6
"148","2007-08-03",12.69
"149","2007-08-06",12.57
"150","2007-08-07",12.75
"151","2007-08-08",13.13
"152","2007-08-09",12.73
"153","2007-08-10",13.1
"154","2007-08-13",12.67
"155","2007-08-14",12.16
"156","2007-08-15",10.96
"157","2007-08-16",10.91
"158","2007-08-17",11.31
"159","2007-08-20",11.48
"160","2007-08-21",11.53
"161","2007-08-22",11.76
"162","2007-08-23",11.46
"163","2007-08-24",11.75
"164","2007-08-27",11.44
"165","2007-08-28",11.15
"166","2007-08-29",11.62
"167","2007-08-30",11.73
"168","2007-08-31",12.22
"169","2007-09-04",12.55
"170","2007-09-05",12.37
"171","2007-09-06",13.26
"172","2007-09-07",13.04
"173","2007-09-10",13.33
"174","2007-09-11",13.88
"175","2007-09-12",13.9
"176","2007-09-13",13.92
"177","2007-09-14",13.89
"178","2007-09-17",14.03
"179","2007-09-18",14.43
"180","2007-09-19",14.55
"181","2007-09-20",15.19
"182","2007-09-21",15.48
"183","2007-09-24",15.03
"184","2007-09-25",14.74
"185","2007-09-26",14.61
"186","2007-09-27",14.95
"187","2007-09-28",14.98
"188","2007-10-01",15.48
"189","2007-10-02",14.7
"190","2007-10-03",14.72
"191","2007-10-04",14.88
"192","2007-10-05",15.24
"193","2007-10-08",15.04
"194","2007-10-09",15.26
"195","2007-10-10",15.66
"196","2007-10-11",16.07
"197","2007-10-12",16.370001
"198","2007-10-15",17.16
"199","2007-10-16",16.559999
"200","2007-10-17",16.23
"201","2007-10-18",17.1
"202","2007-10-19",16.92
"203","2007-10-22",16.68
"204","2007-10-23",17.110001
"205","2007-10-24",17.35
"206","2007-10-25",17.5
"207","2007-10-26",18.4
"208","2007-10-29",19.190001
"209","2007-10-30",18.98
"210","2007-10-31",19.68
"211","2007-11-01",19.459999
"212","2007-11-02",20.389999
"213","2007-11-05",20.299999
"214","2007-11-06",20.84
"215","2007-11-07",20.01
"216","2007-11-08",19.030001
"217","2007-11-09",18.77
"218","2007-11-12",17.4
"219","2007-11-13",17.75
"220","2007-11-14",17.799999
"221","2007-11-15",17.030001
"222","2007-11-16",17.440001
"223","2007-11-19",16.9
"224","2007-11-20",18.02
"225","2007-11-21",17.73
"226","2007-11-23",18.620001
"227","2007-11-26",17.91
"228","2007-11-27",17.549999
"229","2007-11-28",18.18
"230","2007-11-29",17.92
"231","2007-11-30",17.35
"232","2007-12-03",17.9
"233","2007-12-04",17.84
"234","2007-12-05",17.76
"235","2007-12-06",18.200001
"236","2007-12-07",18.42
"237","2007-12-10",18.530001
"238","2007-12-11",17.860001
"239","2007-12-12",18.469999
"240","2007-12-13",17.84
"241","2007-12-14",17.219999
"242","2007-12-17",16.08
"243","2007-12-18",16.469999
"244","2007-12-19",16.34
"245","2007-12-20",16.389999
"246","2007-12-21",17.790001
"247","2007-12-24",17.83
"248","2007-12-26",18.18
"249","2007-12-27",17.889999
"250","2007-12-28",18.77
"251","2007-12-31",18.4
"252","2008-01-02",20.15
"253","2008-01-03",20.809999
"254","2008-01-04",20.5
"255","2008-01-07",20.379999
"256","2008-01-08",21.32
"257","2008-01-09",21.639999
"258","2008-01-10",22.65
"259","2008-01-11",23.030001
"260","2008-01-14",23.41
"261","2008-01-15",22.33
"262","2008-01-16",21.610001
"263","2008-01-17",20.82
"264","2008-01-18",20.4
"265","2008-01-22",21.6
"266","2008-01-23",20.34
"267","2008-01-24",22.52
"268","2008-01-25",22.18
"269","2008-01-28",22.540001
"270","2008-01-29",21.969999
"271","2008-01-30",22.469999
"272","2008-01-31",22.110001
"273","2008-02-01",21.959999
"274","2008-02-04",21.549999
"275","2008-02-05",20.93
"276","2008-02-06",21.129999
"277","2008-02-07",20.9
"278","2008-02-08",22.190001
"279","2008-02-11",22.85
"280","2008-02-12",21.76
"281","2008-02-13",22.42
"282","2008-02-14",22.07
"283","2008-02-15",22.15
"284","2008-02-19",23.030001
"285","2008-02-20",23.629999
"286","2008-02-21",23.540001
"287","2008-02-22",23.120001
"288","2008-02-25",23.870001
"289","2008-02-26",24.41
"290","2008-02-27",24.620001
"291","2008-02-28",25.290001
"292","2008-02-29",24.799999
"293","2008-03-03",26.200001
"294","2008-03-04",24.959999
"295","2008-03-05",26.43
"296","2008-03-06",26.309999
"297","2008-03-07",25.110001
"298","2008-03-10",24.139999
"299","2008-03-11",25.59
"300","2008-03-12",25.620001
"301","2008-03-13",26.389999
"302","2008-03-14",26.84
"303","2008-03-17",25.870001
"304","2008-03-18",24.35
"305","2008-03-19",21.98
"306","2008-03-20",21.610001
"307","2008-03-24",21.17
"308","2008-03-25",22.969999
"309","2008-03-26",23.219999
"310","2008-03-27",22.780001
"311","2008-03-28",22.780001
"312","2008-03-31",22.110001
"313","2008-04-01",21.469999
"314","2008-04-02",22.9
"315","2008-04-03",22.65
"316","2008-04-04",23.360001
"317","2008-04-07",23.389999
"318","2008-04-08",23.139999
"319","2008-04-09",23.540001
"320","2008-04-10",23.48
"321","2008-04-11",22.75
"322","2008-04-14",22.799999
"323","2008-04-15",23.719999
"324","2008-04-16",25.42
"325","2008-04-17",24.91
"326","2008-04-18",23.82
"327","2008-04-21",22.74
"328","2008-04-22",22.4
"329","2008-04-23",20.940001
"330","2008-04-24",19.379999
"331","2008-04-25",19.459999
"332","2008-04-28",19.309999
"333","2008-04-29",18.16
"334","2008-04-30",18.91
"335","2008-05-01",18.620001
"336","2008-05-02",19
"337","2008-05-05",19.719999
"338","2008-05-06",19.85
"339","2008-05-07",19.129999
"340","2008-05-08",20.09
"341","2008-05-09",20.059999
"342","2008-05-12",19.709999
"343","2008-05-13",19.68
"344","2008-05-14",19.34
"345","2008-05-15",20.040001
"346","2008-05-16",20.700001
"347","2008-05-19",20.76
"348","2008-05-20",21.389999
"349","2008-05-21",21.35
"350","2008-05-22",20.83
"351","2008-05-23",20.559999
"352","2008-05-27",20.139999
"353","2008-05-28",20.26
"354","2008-05-29",19.620001
"355","2008-05-30",19.969999
"356","2008-06-02",20.110001
"357","2008-06-03",19.41
"358","2008-06-04",18.92
"359","2008-06-05",19.5
"360","2008-06-06",19.950001
"361","2008-06-09",20.25
"362","2008-06-10",18.75
"363","2008-06-11",19.18
"364","2008-06-12",18.26
"365","2008-06-13",18.09
"366","2008-06-16",18.530001
"367","2008-06-17",18.93
"368","2008-06-18",19.17
"369","2008-06-19",19.27
"370","2008-06-20",19.610001
"371","2008-06-23",20.110001
"372","2008-06-24",20.059999
"373","2008-06-25",19.99
"374","2008-06-26",22.34
"375","2008-06-27",23.32
"376","2008-06-30",23.610001
"377","2008-07-01",24.030001
"378","2008-07-02",23.17
"379","2008-07-03",22.879999
"380","2008-07-07",22.26
"381","2008-07-08",22.02
"382","2008-07-09",21.879999
"383","2008-07-10",22.51
"384","2008-07-11",23.309999
"385","2008-07-14",24.5
"386","2008-07-15",23.809999
"387","2008-07-16",22.969999
"388","2008-07-17",22.629999
"389","2008-07-18",22.67
"390","2008-07-21",23.58
"391","2008-07-22",22.549999
"392","2008-07-23",20.73
"393","2008-07-24",18.4
"394","2008-07-25",18.65
"395","2008-07-28",18.84
"396","2008-07-29",18.23
"397","2008-07-30",18.620001
"398","2008-07-31",18.15
"399","2008-08-01",17.91
"400","2008-08-04",17.57
"401","2008-08-05",16.6
"402","2008-08-06",17.07
"403","2008-08-07",16.559999
"404","2008-08-08",15.74
"405","2008-08-11",15.05
"406","2008-08-12",15.29
"407","2008-08-13",16.5
"408","2008-08-14",15.56
"409","2008-08-15",14.94
"410","2008-08-18",15.41
"411","2008-08-19",15.75
"412","2008-08-20",15.74
"413","2008-08-21",17.219999
"414","2008-08-22",16.610001
"415","2008-08-25",16.389999
"416","2008-08-26",16.450001
"417","2008-08-27",16.700001
"418","2008-08-28",16.870001
"419","2008-08-29",16.450001
"420","2008-09-02",14.99
"421","2008-09-03",14.71
"422","2008-09-04",13.85
"423","2008-09-05",14.19
"424","2008-09-08",13.45
"425","2008-09-09",11.9
"426","2008-09-10",12.59
"427","2008-09-11",12.32
"428","2008-09-12",13.78
"429","2008-09-15",13
"430","2008-09-16",13.34
"431","2008-09-17",14.6
"432","2008-09-18",15.2
"433","2008-09-19",16.540001
"434","2008-09-22",17.620001
"435","2008-09-23",16.93
"436","2008-09-24",17.360001
"437","2008-09-25",16.620001
"438","2008-09-26",16.6
"439","2008-09-29",16.4
