"","date","MBII"
"1","2013-08-02",13.75
"2","2013-08-05",13.55
"3","2013-08-06",13.54
"4","2013-08-07",13.25
"5","2013-08-08",13.25
"6","2013-08-09",13.28
"7","2013-08-12",13.44
"8","2013-08-13",13.57
"9","2013-08-14",13.4
"10","2013-08-15",13.1
"11","2013-08-16",12.9
"12","2013-08-19",12.84
"13","2013-08-20",12.5
"14","2013-08-21",12.83
"15","2013-08-22",13.18
"16","2013-08-23",13.27
"17","2013-08-26",13.34
"18","2013-08-27",13.26
"19","2013-08-28",13.01
"20","2013-08-29",13.09
"21","2013-08-30",13.15
"22","2013-09-03",13.33
"23","2013-09-04",13.08
"24","2013-09-05",13.06
"25","2013-09-06",13.1
"26","2013-09-09",13.16
"27","2013-09-10",12.9
"28","2013-09-11",13.41
"29","2013-09-12",13.74
"30","2013-09-13",15.56
"31","2013-09-16",14.88
"32","2013-09-17",15.16
"33","2013-09-18",15.6
"34","2013-09-19",15.6
"35","2013-09-20",14.8
"36","2013-09-23",15.35
"37","2013-09-24",16.540001
"38","2013-09-25",16.77
"39","2013-09-26",17.15
"40","2013-09-27",18.01
"41","2013-09-30",16.85
"42","2013-10-01",18.17
"43","2013-10-02",17.66
"44","2013-10-03",16.700001
"45","2013-10-04",16.870001
"46","2013-10-07",16.77
"47","2013-10-08",15.65
"48","2013-10-09",16.030001
"49","2013-10-10",17.040001
"50","2013-10-11",17.559999
"51","2013-10-14",17.4
"52","2013-10-15",17.75
"53","2013-10-16",17.76
"54","2013-10-17",18.030001
"55","2013-10-18",19.09
"56","2013-10-21",18.959999
"57","2013-10-22",18.190001
"58","2013-10-23",17.77
"59","2013-10-24",17.66
"60","2013-10-25",18.15
"61","2013-10-28",18
"62","2013-10-29",18.280001
"63","2013-10-30",17.9
"64","2013-10-31",17.379999
"65","2013-11-01",16.700001
"66","2013-11-04",16.889999
"67","2013-11-05",16.77
"68","2013-11-06",16.77
"69","2013-11-07",15.96
"70","2013-11-08",16.530001
"71","2013-11-11",15.35
"72","2013-11-12",15.09
"73","2013-11-13",15.93
