"","date","FRLN"
"1","2020-08-07",18
"2","2020-08-10",16.309999
"3","2020-08-11",16.02
"4","2020-08-12",17.450001
"5","2020-08-13",16.99
"6","2020-08-14",17.139999
"7","2020-08-17",16.370001
"8","2020-08-18",16.27
"9","2020-08-19",17.110001
"10","2020-08-20",18.120001
"11","2020-08-21",17.76
"12","2020-08-24",16.690001
"13","2020-08-25",17.549999
"14","2020-08-26",16.809999
"15","2020-08-27",16.49
"16","2020-08-28",16.15
"17","2020-08-31",16.110001
"18","2020-09-01",15.91
"19","2020-09-02",16.18
"20","2020-09-03",16.26
"21","2020-09-04",16.16
"22","2020-09-08",16.540001
"23","2020-09-09",17.01
"24","2020-09-10",17.07
"25","2020-09-11",17.02
"26","2020-09-14",17.139999
"27","2020-09-15",17.040001
"28","2020-09-16",17.040001
"29","2020-09-17",17.190001
"30","2020-09-18",16.91
"31","2020-09-21",17.200001
"32","2020-09-22",16.969999
"33","2020-09-23",16.51
"34","2020-09-24",16.4
"35","2020-09-25",16.605
"36","2020-09-28",15.71
"37","2020-09-29",15.45
"38","2020-09-30",15.61
"39","2020-10-01",15.725
"40","2020-10-02",15.46
"41","2020-10-05",15.76
"42","2020-10-06",15.805
"43","2020-10-07",15.58
"44","2020-10-08",15.81
"45","2020-10-09",16.246
"46","2020-10-12",15.9
"47","2020-10-13",15.88
"48","2020-10-14",15.91
"49","2020-10-15",16.209999
"50","2020-10-16",16.09
"51","2020-10-19",16.120001
"52","2020-10-20",16.17
"53","2020-10-21",16.959999
"54","2020-10-22",16.83
"55","2020-10-23",16.504999
"56","2020-10-26",17.1
"57","2020-10-27",17.75
"58","2020-10-28",17.25
"59","2020-10-29",17.5
"60","2020-10-30",17.9
"61","2020-11-02",17.459999
"62","2020-11-03",17.93
"63","2020-11-04",18.120001
"64","2020-11-05",17.450001
"65","2020-11-06",17.26
"66","2020-11-09",17.299999
"67","2020-11-10",17.120001
"68","2020-11-11",17.26
"69","2020-11-12",16.959999
"70","2020-11-13",16.33
"71","2020-11-16",15.7
"72","2020-11-17",14.94
"73","2020-11-18",15.41
"74","2020-11-19",14.95
"75","2020-11-20",15.61
"76","2020-11-23",15.96
"77","2020-11-24",15.86
"78","2020-11-25",16
"79","2020-11-27",16.129999
