"","date","CHU"
"1","2007-01-03",15.09
"2","2007-01-04",15.04
"3","2007-01-05",14.62
"4","2007-01-08",14.53
"5","2007-01-09",13.76
"6","2007-01-10",13.16
"7","2007-01-11",12.8
"8","2007-01-12",13.04
"9","2007-01-16",13.61
"10","2007-01-17",13.53
"11","2007-01-18",13.5
"12","2007-01-19",13.05
"13","2007-01-22",13.29
"14","2007-01-23",13.63
"15","2007-01-24",14.01
"16","2007-01-25",13.56
"17","2007-01-26",13.88
"18","2007-01-29",13.87
"19","2007-01-30",14.22
"20","2007-01-31",13.56
"21","2007-02-01",13.82
"22","2007-02-02",13.51
"23","2007-02-05",13.15
"24","2007-02-06",13.05
"25","2007-02-07",13.12
"26","2007-02-08",13.51
"27","2007-02-09",13.44
"28","2007-02-12",13.34
"29","2007-02-13",13.14
"30","2007-02-14",13.23
"31","2007-02-15",13.4
"32","2007-02-16",13.41
"33","2007-02-20",13.45
"34","2007-02-21",13.69
"35","2007-02-22",13.52
"36","2007-02-23",13.23
"37","2007-02-26",13.18
"38","2007-02-27",12.22
"39","2007-02-28",12.63
"40","2007-03-01",12.42
"41","2007-03-02",12.34
"42","2007-03-05",11.75
"43","2007-03-06",12.05
"44","2007-03-07",11.91
"45","2007-03-08",12.24
"46","2007-03-09",11.82
"47","2007-03-12",12.25
"48","2007-03-13",11.89
"49","2007-03-14",11.89
"50","2007-03-15",12.08
"51","2007-03-16",11.95
"52","2007-03-19",12.25
"53","2007-03-20",12.69
"54","2007-03-21",12.9
"55","2007-03-22",13.05
"56","2007-03-23",13.14
"57","2007-03-26",13.06
"58","2007-03-27",13.34
"59","2007-03-28",13.62
"60","2007-03-29",14.34
"61","2007-03-30",14.15
"62","2007-04-02",14.42
"63","2007-04-03",14.67
"64","2007-04-04",14.62
"65","2007-04-05",14.65
"66","2007-04-09",14.83
"67","2007-04-10",15
"68","2007-04-11",14.7
"69","2007-04-12",14.79
"70","2007-04-13",14.76
"71","2007-04-16",15.15
"72","2007-04-17",15.24
"73","2007-04-18",15.24
"74","2007-04-19",14.67
"75","2007-04-20",14.86
"76","2007-04-23",14.75
"77","2007-04-24",14.97
"78","2007-04-25",15.08
"79","2007-04-26",15.19
"80","2007-04-27",14.87
"81","2007-04-30",14.49
"82","2007-05-01",14.57
"83","2007-05-02",14.9
"84","2007-05-03",15.03
"85","2007-05-04",15.12
"86","2007-05-07",15.13
"87","2007-05-08",14.9
"88","2007-05-09",15.07
"89","2007-05-10",14.41
"90","2007-05-11",14.96
"91","2007-05-14",14.97
"92","2007-05-15",15.05
"93","2007-05-16",15.5
"94","2007-05-17",15.2
"95","2007-05-18",15.15
"96","2007-05-21",14.85
"97","2007-05-22",14.86
"98","2007-05-23",15.14
"99","2007-05-24",14.89
"100","2007-05-25",14.84
"101","2007-05-29",14.77
"102","2007-05-30",14.68
"103","2007-05-31",14.68
"104","2007-06-01",14.82
"105","2007-06-04",14.97
"106","2007-06-05",15.06
"107","2007-06-06",14.64
"108","2007-06-07",14.39
"109","2007-06-08",14.51
"110","2007-06-11",15.14
"111","2007-06-12",14.64
"112","2007-06-13",15.05
"113","2007-06-14",15.43
"114","2007-06-15",15.68
"115","2007-06-18",16.309999
"116","2007-06-19",16.620001
"117","2007-06-20",16.709999
"118","2007-06-21",17.33
"119","2007-06-22",16.66
"120","2007-06-25",16.76
"121","2007-06-26",16.969999
"122","2007-06-27",17.1
"123","2007-06-28",17.469999
"124","2007-06-29",17.23
"125","2007-07-02",17.629999
"126","2007-07-03",17.969999
"127","2007-07-05",17.25
"128","2007-07-06",17.280001
"129","2007-07-09",17.49
"130","2007-07-10",16.940001
"131","2007-07-11",17.01
"132","2007-07-12",17.5
"133","2007-07-13",17.610001
"134","2007-07-16",17.540001
"135","2007-07-17",17.84
"136","2007-07-18",17.84
"137","2007-07-19",18.08
