"","date","REZI"
"1","2018-10-29",25.82
"2","2018-10-30",21.059999
"3","2018-10-31",21.049999
"4","2018-11-01",22
"5","2018-11-02",23.780001
"6","2018-11-05",24.709999
"7","2018-11-06",24.09
"8","2018-11-07",23.700001
"9","2018-11-08",22.209999
"10","2018-11-09",21.969999
"11","2018-11-12",21.370001
"12","2018-11-13",21.26
"13","2018-11-14",21.49
"14","2018-11-15",22.030001
"15","2018-11-16",21.02
"16","2018-11-19",19.43
"17","2018-11-20",19.52
"18","2018-11-21",19.68
"19","2018-11-23",19.41
"20","2018-11-26",19.91
"21","2018-11-27",19.35
"22","2018-11-28",20.16
"23","2018-11-29",20.75
"24","2018-11-30",20.629999
"25","2018-12-03",20.950001
"26","2018-12-04",20.4
"27","2018-12-06",20.6
"28","2018-12-07",21.049999
"29","2018-12-10",21.57
"30","2018-12-11",21.48
"31","2018-12-12",21.440001
"32","2018-12-13",22.120001
"33","2018-12-14",22.530001
"34","2018-12-17",22.26
"35","2018-12-18",22.809999
"36","2018-12-19",22.42
"37","2018-12-20",21.49
"38","2018-12-21",20.08
"39","2018-12-24",19.450001
"40","2018-12-26",20.26
"41","2018-12-27",19.85
"42","2018-12-28",20.07
"43","2018-12-31",20.549999
"44","2019-01-02",20.639999
"45","2019-01-03",19.58
"46","2019-01-04",20.389999
"47","2019-01-07",20.120001
"48","2019-01-08",20.559999
"49","2019-01-09",21.360001
"50","2019-01-10",21.52
"51","2019-01-11",21.82
"52","2019-01-14",20.959999
"53","2019-01-15",21.299999
"54","2019-01-16",21.6
"55","2019-01-17",21.9
"56","2019-01-18",21.799999
"57","2019-01-22",21.1
"58","2019-01-23",20.52
"59","2019-01-24",20.389999
"60","2019-01-25",20.85
"61","2019-01-28",20.790001
"62","2019-01-29",20.450001
"63","2019-01-30",20.889999
"64","2019-01-31",21.93
"65","2019-02-01",22.790001
"66","2019-02-04",23.65
"67","2019-02-05",23.75
"68","2019-02-06",23.889999
"69","2019-02-07",24.200001
"70","2019-02-08",24.27
"71","2019-02-11",24.700001
"72","2019-02-12",24.940001
"73","2019-02-13",25.17
"74","2019-02-14",24.9
"75","2019-02-15",25.41
"76","2019-02-19",25.68
"77","2019-02-20",25.549999
"78","2019-02-21",25.33
"79","2019-02-22",25.860001
"80","2019-02-25",25.76
"81","2019-02-26",26.15
"82","2019-02-27",26.209999
"83","2019-02-28",25.700001
"84","2019-03-01",25.27
"85","2019-03-04",25.26
"86","2019-03-05",24.92
"87","2019-03-06",24.75
"88","2019-03-07",18.959999
"89","2019-03-08",19.780001
"90","2019-03-11",20.360001
"91","2019-03-12",20.32
"92","2019-03-13",20.5
"93","2019-03-14",19.700001
"94","2019-03-15",20.01
"95","2019-03-18",20.459999
"96","2019-03-19",20.6
"97","2019-03-20",19.969999
"98","2019-03-21",20.379999
"99","2019-03-22",19.77
"100","2019-03-25",19.559999
"101","2019-03-26",19.5
"102","2019-03-27",18.959999
"103","2019-03-28",19.049999
"104","2019-03-29",19.290001
"105","2019-04-01",20.040001
"106","2019-04-02",19.48
"107","2019-04-03",19.940001
"108","2019-04-04",19.200001
"109","2019-04-05",19.99
"110","2019-04-08",20.049999
