"","date","JNCE"
"1","2017-01-27",17.25
"2","2017-01-30",17
"3","2017-01-31",16.58
"4","2017-02-01",17.09
"5","2017-02-02",17.059999
"6","2017-02-03",17.049999
"7","2017-02-06",17.299999
"8","2017-02-07",17.58
"9","2017-02-08",18.879999
"10","2017-02-09",19.58
"11","2017-02-10",20.73
"12","2017-02-13",21.799999
"13","2017-02-14",22.200001
"14","2017-02-15",21.09
"15","2017-02-16",19.66
"16","2017-02-17",19.9
"17","2017-02-21",20.42
"18","2017-02-22",20.16
"19","2017-02-23",20.049999
"20","2017-02-24",19.84
"21","2017-02-27",20.58
"22","2017-02-28",20.26
"23","2017-03-01",21.25
"24","2017-03-02",22.48
"25","2017-03-03",23.639999
"26","2017-03-06",25.459999
"27","2017-03-07",24.889999
"28","2017-03-08",23.209999
"29","2017-03-09",22.549999
"30","2017-03-10",22.280001
"31","2017-03-13",21.879999
"32","2017-03-14",21.219999
"33","2017-03-15",21.84
"34","2017-03-16",22.610001
"35","2017-03-17",21.9
"36","2017-03-20",22.43
"37","2017-03-21",22.959999
"38","2017-03-22",22.93
"39","2017-03-23",24.190001
"40","2017-03-24",25.58
"41","2017-03-27",24.99
"42","2017-03-28",25
"43","2017-03-29",23.450001
"44","2017-03-30",22.700001
"45","2017-03-31",21.99
"46","2017-04-03",23.25
"47","2017-04-04",22.59
"48","2017-04-05",21.950001
"49","2017-04-06",21.75
"50","2017-04-07",22.49
"51","2017-04-10",22.639999
"52","2017-04-11",22
"53","2017-04-12",22.34
"54","2017-04-13",21.530001
"55","2017-04-17",22.280001
"56","2017-04-18",23.42
"57","2017-04-19",24.389999
"58","2017-04-20",24.84
"59","2017-04-21",24.16
"60","2017-04-24",24.639999
"61","2017-04-25",24.889999
"62","2017-04-26",24.98
"63","2017-04-27",26.860001
"64","2017-04-28",28.32
"65","2017-05-01",28.459999
"66","2017-05-02",28.01
"67","2017-05-03",27.23
"68","2017-05-04",26.59
"69","2017-05-05",24.459999
"70","2017-05-08",24.620001
"71","2017-05-09",24.17
"72","2017-05-10",24.35
"73","2017-05-11",24.530001
"74","2017-05-12",25.450001
"75","2017-05-15",24.92
"76","2017-05-16",25.49
"77","2017-05-17",23.82
"78","2017-05-18",23.379999
"79","2017-05-19",21.9
"80","2017-05-22",21.969999
"81","2017-05-23",22.030001
"82","2017-05-24",22.68
"83","2017-05-25",22.67
"84","2017-05-26",21.17
"85","2017-05-30",21.75
"86","2017-05-31",20.25
"87","2017-06-01",19.959999
"88","2017-06-02",19.969999
"89","2017-06-05",19.09
"90","2017-06-06",18.129999
"91","2017-06-07",16.870001
"92","2017-06-08",17.450001
"93","2017-06-09",17.08
"94","2017-06-12",16.07
"95","2017-06-13",16.24
"96","2017-06-14",16.25
"97","2017-06-15",16.200001
"98","2017-06-16",15.5
"99","2017-06-19",16.75
"100","2017-06-20",16.379999
"101","2017-06-21",15.74
"102","2017-06-22",16.969999
"103","2017-06-23",17.440001
"104","2017-06-26",16.99
"105","2017-06-27",15.92
"106","2017-06-28",15.65
"107","2017-06-29",14.63
"108","2017-06-30",14.03
"109","2017-07-03",14.28
"110","2017-07-05",15.07
"111","2017-07-06",14.25
"112","2017-07-07",14.33
"113","2017-07-10",13.88
"114","2017-07-11",13.82
"115","2017-07-12",13.38
"116","2017-07-13",13.86
"117","2017-07-14",13.74
"118","2017-07-17",13.32
"119","2017-07-18",13.07
"120","2017-07-19",13.3
"121","2017-07-20",13.4
"122","2017-07-21",13.42
"123","2017-07-24",13.57
"124","2017-07-25",13.28
"125","2017-07-26",12.96
"126","2017-07-27",13.01
"127","2017-07-28",12.91
"128","2017-07-31",12.91
"129","2017-08-01",12.79
"130","2017-08-02",12.39
"131","2017-08-03",12.35
"132","2017-08-04",12.48
"133","2017-08-07",12.53
"134","2017-08-08",11.91
"135","2017-08-09",11.47
"136","2017-08-10",11.17
"137","2017-08-11",11.71
"138","2017-08-14",12.42
"139","2017-08-15",13.17
"140","2017-08-16",14.14
"141","2017-08-17",13.35
"142","2017-08-18",14.28
"143","2017-08-21",14.34
"144","2017-08-22",14.98
"145","2017-08-23",15.13
"146","2017-08-24",14.92
"147","2017-08-25",14.82
"148","2017-08-28",15.44
"149","2017-08-29",15.59
"150","2017-08-30",16.09
"151","2017-08-31",16.99
"152","2017-09-01",16.889999
"153","2017-09-05",15.72
"154","2017-09-06",15.43
"155","2017-09-07",15.32
"156","2017-09-08",15.15
"157","2017-09-11",14.92
"158","2017-09-12",14.75
"159","2017-09-13",15.04
"160","2017-09-14",15.19
"161","2017-09-15",15.29
"162","2017-09-18",15.4
"163","2017-09-19",15.5
"164","2017-09-20",14.94
