"","date","CPSH"
"1","2007-01-03",1.45
"2","2007-01-04",1.45
"3","2007-01-05",1.45
"4","2007-01-08",1.45
"5","2007-01-09",1.5
"6","2007-01-10",1.5
"7","2007-01-11",1.5
"8","2007-01-12",1.5
"9","2007-01-16",1.5
"10","2007-01-17",1.5
"11","2007-01-18",1.5
"12","2007-01-19",1.5
"13","2007-01-22",1.5
"14","2007-01-23",1.55
"15","2007-01-24",1.55
"16","2007-01-25",1.55
"17","2007-01-26",1.55
"18","2007-01-29",1.55
"19","2007-01-30",1.55
"20","2007-01-31",1.6
"21","2007-02-01",1.6
"22","2007-02-02",1.6
"23","2007-02-05",1.75
"24","2007-02-06",1.65
"25","2007-02-07",1.75
"26","2007-02-08",1.75
"27","2007-02-09",1.75
"28","2007-02-12",1.65
"29","2007-02-13",1.73
"30","2007-02-14",1.71
"31","2007-02-15",1.65
"32","2007-02-16",1.75
"33","2007-02-20",1.7
"34","2007-02-21",1.7
"35","2007-02-22",1.7
"36","2007-02-23",1.7
"37","2007-02-26",1.75
"38","2007-02-27",1.7
"39","2007-02-28",1.7
"40","2007-03-01",1.75
"41","2007-03-02",1.75
"42","2007-03-05",1.75
"43","2007-03-06",1.8
"44","2007-03-07",1.95
"45","2007-03-08",1.95
"46","2007-03-09",2
"47","2007-03-12",1.75
"48","2007-03-13",1.7
"49","2007-03-14",1.85
"50","2007-03-15",2.65
"51","2007-03-16",2.95
"52","2007-03-19",2.75
"53","2007-03-20",2.5
"54","2007-03-21",2.5
"55","2007-03-22",2.5
"56","2007-03-23",2.55
"57","2007-03-26",2.75
"58","2007-03-27",2.25
"59","2007-03-28",2.35
"60","2007-03-29",2.35
"61","2007-03-30",2.36
"62","2007-04-02",2.36
"63","2007-04-03",2.3
"64","2007-04-04",2.33
"65","2007-04-05",2.65
"66","2007-04-09",2.7
"67","2007-04-10",2.7
"68","2007-04-11",2.7
"69","2007-04-12",2.95
"70","2007-04-13",3.24
"71","2007-04-16",3.26
"72","2007-04-17",3.05
"73","2007-04-18",3.15
"74","2007-04-19",3.05
"75","2007-04-20",3.15
"76","2007-04-23",3.05
"77","2007-04-24",3
"78","2007-04-25",2.93
"79","2007-04-26",2.96
"80","2007-04-27",2.88
"81","2007-04-30",2.88
"82","2007-05-01",3
"83","2007-05-02",3
"84","2007-05-03",3
"85","2007-05-04",2.95
"86","2007-05-07",2.95
"87","2007-05-08",2.95
"88","2007-05-09",2.85
"89","2007-05-10",2.77
"90","2007-05-11",2.77
"91","2007-05-14",2.88
"92","2007-05-15",3.07
"93","2007-05-16",2.8
"94","2007-05-17",2.9
"95","2007-05-18",2.9
"96","2007-05-21",3.1
"97","2007-05-22",3.5
"98","2007-05-23",3.75
"99","2007-05-24",3.75
"100","2007-05-25",4
"101","2007-05-29",3.9
"102","2007-05-30",3.9
"103","2007-05-31",3.89
"104","2007-06-01",3.88
"105","2007-06-04",3.88
"106","2007-06-05",3.7
"107","2007-06-06",3.7
"108","2007-06-07",3.65
"109","2007-06-08",3.85
"110","2007-06-11",3.99
"111","2007-06-12",3.75
"112","2007-06-13",3.75
"113","2007-06-14",3.75
