"","date","BCRX"
"1","2007-01-03",11.17
"2","2007-01-04",12.07
"3","2007-01-05",11.81
"4","2007-01-08",10.62
"5","2007-01-09",10.66
"6","2007-01-10",10.95
"7","2007-01-11",10.92
"8","2007-01-12",10.96
"9","2007-01-16",11.05
"10","2007-01-17",10.87
"11","2007-01-18",10.62
"12","2007-01-19",10.43
"13","2007-01-22",10.32
"14","2007-01-23",9.98
"15","2007-01-24",10.49
"16","2007-01-25",10.33
"17","2007-01-26",10.07
"18","2007-01-29",10.14
"19","2007-01-30",10.17
"20","2007-01-31",10.17
"21","2007-02-01",10.15
"22","2007-02-02",10.11
"23","2007-02-05",10.74
"24","2007-02-06",10.54
"25","2007-02-07",10.78
"26","2007-02-08",10.89
"27","2007-02-09",10.99
"28","2007-02-12",11.12
"29","2007-02-13",11.08
"30","2007-02-14",10.92
"31","2007-02-15",10.84
"32","2007-02-16",10.81
"33","2007-02-20",10.92
"34","2007-02-21",10.87
"35","2007-02-22",10.83
"36","2007-02-23",10.83
"37","2007-02-26",10.76
"38","2007-02-27",10.23
"39","2007-02-28",10.11
"40","2007-03-01",9.88
"41","2007-03-02",9.32
"42","2007-03-05",9.04
"43","2007-03-06",9.77
"44","2007-03-07",9.64
"45","2007-03-08",9.53
"46","2007-03-09",9.67
"47","2007-03-12",9.68
"48","2007-03-13",9.32
"49","2007-03-14",9.36
"50","2007-03-15",9.06
"51","2007-03-16",9.23
"52","2007-03-19",9.41
"53","2007-03-20",9.21
"54","2007-03-21",9.12
"55","2007-03-22",9.61
"56","2007-03-23",9.54
"57","2007-03-26",9.58
"58","2007-03-27",8
"59","2007-03-28",8.25
"60","2007-03-29",8.23
"61","2007-03-30",8.37
"62","2007-04-02",8.2
"63","2007-04-03",8.36
"64","2007-04-04",8.47
"65","2007-04-05",8.46
"66","2007-04-09",9
"67","2007-04-10",9.28
"68","2007-04-11",9.21
"69","2007-04-12",9.44
"70","2007-04-13",9.91
"71","2007-04-16",9.95
"72","2007-04-17",9.74
"73","2007-04-18",9.51
"74","2007-04-19",9.32
"75","2007-04-20",9.38
"76","2007-04-23",9.24
"77","2007-04-24",9.24
"78","2007-04-25",9.25
"79","2007-04-26",9.39
"80","2007-04-27",8.73
"81","2007-04-30",8.5
"82","2007-05-01",8.5
"83","2007-05-02",9.23
"84","2007-05-03",9.18
"85","2007-05-04",9.05
"86","2007-05-07",9.04
"87","2007-05-08",8.83
"88","2007-05-09",8.59
"89","2007-05-10",7.96
"90","2007-05-11",7.93
"91","2007-05-14",8.02
"92","2007-05-15",8
"93","2007-05-16",7.98
"94","2007-05-17",7.76
"95","2007-05-18",7.88
"96","2007-05-21",7.9
"97","2007-05-22",8.09
"98","2007-05-23",8.02
"99","2007-05-24",7.89
