"","date","FEAC"
"1","2020-04-27",9.9
"2","2020-04-28",9.9
"3","2020-04-29",9.9
"4","2020-04-30",9.85
"5","2020-05-01",9.85
"6","2020-05-04",9.84
"7","2020-05-05",9.842
"8","2020-05-06",9.857
"9","2020-05-07",9.86
"10","2020-05-08",10
"11","2020-05-11",9.95
"12","2020-05-12",10.05
"13","2020-05-13",10.15
"14","2020-05-14",10.165
"15","2020-05-15",10.187
"16","2020-05-18",10.2
"17","2020-05-19",10.2
"18","2020-05-20",10.25
"19","2020-05-21",10.25
"20","2020-05-22",10.26
"21","2020-05-26",10.195
"22","2020-05-27",10.21
"23","2020-05-28",10.2
"24","2020-05-29",10.25
"25","2020-06-01",10.25
"26","2020-06-02",10.25
"27","2020-06-03",10.25
"28","2020-06-04",10.25
"29","2020-06-05",10.25
"30","2020-06-08",10.24
"31","2020-06-09",10.29
"32","2020-06-10",10.5
"33","2020-06-11",10.4
"34","2020-06-12",10.45
"35","2020-06-15",10.5
"36","2020-06-16",10.49
"37","2020-06-17",10.56
"38","2020-06-18",10.51
"39","2020-06-19",10.53
"40","2020-06-22",10.47
"41","2020-06-23",10.57
"42","2020-06-24",10.5
"43","2020-06-25",10.75
"44","2020-06-26",10.65
"45","2020-06-29",10.76
"46","2020-06-30",10.98
"47","2020-07-01",10.96
"48","2020-07-02",10.9
"49","2020-07-06",11.26
"50","2020-07-07",11.15
"51","2020-07-08",11.18
"52","2020-07-09",11.22
"53","2020-07-10",11.21
"54","2020-07-13",11.06
"55","2020-07-14",11
"56","2020-07-15",10.99
"57","2020-07-16",12.21
"58","2020-07-17",12.3
"59","2020-07-20",11.62
"60","2020-07-21",12.2
"61","2020-07-22",12.19
"62","2020-07-23",11.75
"63","2020-07-24",11.69
"64","2020-07-27",11.44
"65","2020-07-28",11.38
"66","2020-07-29",11.25
"67","2020-07-30",10.93
"68","2020-07-31",10.59
"69","2020-08-03",10.52
"70","2020-08-04",10.65
"71","2020-08-05",10.66
"72","2020-08-06",10.79
"73","2020-08-07",10.6
"74","2020-08-10",10.74
"75","2020-08-11",10.71
"76","2020-08-12",10.9
"77","2020-08-13",10.99
"78","2020-08-14",10.87
"79","2020-08-17",10.89
"80","2020-08-18",10.69
"81","2020-08-19",10.36
"82","2020-08-20",10.55
"83","2020-08-21",10.6
"84","2020-08-24",10.71
"85","2020-08-25",10.88
"86","2020-08-26",10.87
"87","2020-08-27",10.68
"88","2020-08-28",10.74
"89","2020-08-31",10.75
"90","2020-09-01",11
"91","2020-09-02",14.02
"92","2020-09-03",13.14
"93","2020-09-04",12.64
"94","2020-09-08",12.3
"95","2020-09-09",12.88
"96","2020-09-10",12.36
"97","2020-09-11",12.1
"98","2020-09-14",12.22
"99","2020-09-15",12.45
"100","2020-09-16",12.88
"101","2020-09-17",12.8
"102","2020-09-18",12.85
"103","2020-09-21",12.61
"104","2020-09-22",12.14
"105","2020-09-23",11.47
"106","2020-09-24",11.57
"107","2020-09-25",11.94
"108","2020-09-28",11.84
"109","2020-09-29",11.84
"110","2020-09-30",12.16
"111","2020-10-01",12.35
"112","2020-10-02",12.39
"113","2020-10-05",12.36
"114","2020-10-06",12
"115","2020-10-07",12
"116","2020-10-08",12.49
"117","2020-10-09",13.6
"118","2020-10-12",13.95
"119","2020-10-13",13.9
"120","2020-10-14",13.83
"121","2020-10-15",13.8
"122","2020-10-16",13.61
"123","2020-10-19",13.85
"124","2020-10-20",13.19
"125","2020-10-21",12.6
"126","2020-10-22",12.74
"127","2020-10-23",12.42
"128","2020-10-26",12.4
"129","2020-10-27",12.02
"130","2020-10-28",11.26
"131","2020-10-29",11.29
"132","2020-10-30",11.53
"133","2020-11-02",11.08
"134","2020-11-03",11.4
"135","2020-11-04",11.63
"136","2020-11-05",12.42
"137","2020-11-06",12.2
"138","2020-11-09",12.1
"139","2020-11-10",12.06
"140","2020-11-11",12.01
"141","2020-11-12",12.01
"142","2020-11-13",12.69
"143","2020-11-16",12.71
"144","2020-11-17",13.23
"145","2020-11-18",13.7
"146","2020-11-19",13.97
"147","2020-11-20",13.54
"148","2020-11-23",13.29
"149","2020-11-24",12.99
"150","2020-11-25",12.98
"151","2020-11-27",13.05
