"","date","ASAN"
"1","2020-09-30",28.799999
"2","2020-10-01",26.129999
"3","2020-10-02",25.91
"4","2020-10-05",25.190001
"5","2020-10-06",26
"6","2020-10-07",26.48
"7","2020-10-08",26.530001
"8","2020-10-09",25.700001
"9","2020-10-12",24.879999
"10","2020-10-13",24.379999
"11","2020-10-14",23.35
"12","2020-10-15",23.969999
"13","2020-10-16",23.98
"14","2020-10-19",23.9
"15","2020-10-20",24.1
"16","2020-10-21",24.190001
"17","2020-10-22",24
"18","2020-10-23",23.51
"19","2020-10-26",23.629999
"20","2020-10-27",23.51
"21","2020-10-28",23.48
"22","2020-10-29",23.18
"23","2020-10-30",22.110001
"24","2020-11-02",21.950001
"25","2020-11-03",22.200001
"26","2020-11-04",22.16
"27","2020-11-05",22.969999
"28","2020-11-06",23.389999
"29","2020-11-09",22.950001
"30","2020-11-10",21.370001
"31","2020-11-11",21.549999
"32","2020-11-12",21.309999
"33","2020-11-13",22.4
"34","2020-11-16",22.860001
"35","2020-11-17",23.35
"36","2020-11-18",22.719999
"37","2020-11-19",22
"38","2020-11-20",22.139999
"39","2020-11-23",22.02
"40","2020-11-24",22.879999
"41","2020-11-25",25.82
"42","2020-11-27",27.879999
