"","date","EXPR"
"1","2010-05-13",16.75
"2","2010-05-14",15.86
"3","2010-05-17",16.01
"4","2010-05-18",15.6
"5","2010-05-19",14.85
"6","2010-05-20",14.74
"7","2010-05-21",14.75
"8","2010-05-24",14.75
"9","2010-05-25",14.5
"10","2010-05-26",14.3
"11","2010-05-27",14.35
"12","2010-05-28",14.3
"13","2010-06-01",14.24
"14","2010-06-02",14.31
"15","2010-06-03",14.66
"16","2010-06-04",13.98
"17","2010-06-07",13.51
"18","2010-06-08",13.27
"19","2010-06-09",13.44
"20","2010-06-10",14.01
"21","2010-06-11",15.66
"22","2010-06-14",16.700001
"23","2010-06-15",16.940001
"24","2010-06-16",16.879999
"25","2010-06-17",16.790001
"26","2010-06-18",16.950001
"27","2010-06-21",16.940001
"28","2010-06-22",17.209999
"29","2010-06-23",16.74
"30","2010-06-24",16.15
"31","2010-06-25",16.549999
"32","2010-06-28",16.65
"33","2010-06-29",16.67
"34","2010-06-30",16.370001
"35","2010-07-01",16
"36","2010-07-02",15.24
"37","2010-07-06",15.96
"38","2010-07-07",15.78
"39","2010-07-08",15.74
"40","2010-07-09",15.79
"41","2010-07-12",16.09
"42","2010-07-13",16.82
"43","2010-07-14",17.120001
"44","2010-07-15",17.309999
"45","2010-07-16",16.879999
"46","2010-07-19",17.190001
"47","2010-07-20",17.92
"48","2010-07-21",17.209999
"49","2010-07-22",18.200001
"50","2010-07-23",18.629999
"51","2010-07-26",18.98
"52","2010-07-27",18.75
"53","2010-07-28",17.83
"54","2010-07-29",17.389999
"55","2010-07-30",17.549999
"56","2010-08-02",17.040001
"57","2010-08-03",16.690001
"58","2010-08-04",16.73
"59","2010-08-05",16.35
"60","2010-08-06",15.8
"61","2010-08-09",15.53
"62","2010-08-10",14.63
"63","2010-08-11",14.18
"64","2010-08-12",14.8
"65","2010-08-13",14.55
"66","2010-08-16",14.76
"67","2010-08-17",14.43
"68","2010-08-18",14.31
"69","2010-08-19",14.48
"70","2010-08-20",14.48
"71","2010-08-23",14.25
"72","2010-08-24",13.72
"73","2010-08-25",14
"74","2010-08-26",13.83
"75","2010-08-27",13.97
"76","2010-08-30",13.83
"77","2010-08-31",13.61
"78","2010-09-01",13.09
"79","2010-09-02",12.98
"80","2010-09-03",13.02
"81","2010-09-07",13.14
"82","2010-09-08",13.25
"83","2010-09-09",13.51
"84","2010-09-10",13.8
"85","2010-09-13",14.04
"86","2010-09-14",14.36
"87","2010-09-15",14.58
"88","2010-09-16",14.48
"89","2010-09-17",14.67
"90","2010-09-20",14.87
"91","2010-09-21",15.1
"92","2010-09-22",14.76
"93","2010-09-23",14.59
"94","2010-09-24",14.86
"95","2010-09-27",14.88
"96","2010-09-28",15.13
"97","2010-09-29",15.11
"98","2010-09-30",15.21
"99","2010-10-01",15.48
"100","2010-10-04",15.14
"101","2010-10-05",15.23
"102","2010-10-06",15.19
"103","2010-10-07",14.88
"104","2010-10-08",15.01
"105","2010-10-11",15.06
"106","2010-10-12",15.04
"107","2010-10-13",14.94
