"","date","GMBL"
"1","2017-07-20",45
"2","2017-07-21",34.950001
"3","2017-07-24",43.650002
"4","2017-07-25",44.400002
"5","2017-07-26",44.25
"6","2017-07-27",44.400002
"7","2017-07-28",44.25
"8","2017-07-31",37.889999
"9","2017-08-01",37.349998
"10","2017-08-02",33.75
"11","2017-08-03",34.5
"12","2017-08-04",37.5
"13","2017-08-07",38.700001
"14","2017-08-08",41.549999
"15","2017-08-09",39.599998
"16","2017-08-10",36
"17","2017-08-11",33.900002
"18","2017-08-14",39.450001
"19","2017-08-15",39.450001
"20","2017-08-16",37.5
"21","2017-08-17",37.5
"22","2017-08-18",35.91
"23","2017-08-21",35.145
"24","2017-08-22",34.275002
"25","2017-08-23",34.275002
"26","2017-08-24",39
"27","2017-08-25",39.75
"28","2017-08-28",39.75
"29","2017-08-29",39.75
"30","2017-08-30",32.25
"31","2017-08-31",30.75
"32","2017-09-01",31.5
"33","2017-09-05",40.5
"34","2017-09-06",37.5
"35","2017-09-07",36.150002
"36","2017-09-08",37.349998
"37","2017-09-11",35.25
"38","2017-09-12",35.400002
"39","2017-09-13",35.400002
"40","2017-09-14",34.5
"41","2017-09-15",34.5
"42","2017-09-18",34.514999
"43","2017-09-19",34.514999
"44","2017-09-20",34.650002
"45","2017-09-21",35.25
"46","2017-09-22",35.25
"47","2017-09-25",33.75
"48","2017-09-26",33.75
"49","2017-09-27",33.75
"50","2017-09-28",36
"51","2017-09-29",37.049999
"52","2017-10-02",37.5
"53","2017-10-03",37.049999
"54","2017-10-04",36.299999
"55","2017-10-05",36.299999
"56","2017-10-06",36.299999
"57","2017-10-09",36.299999
"58","2017-10-10",36
"59","2017-10-11",33
"60","2017-10-12",33
"61","2017-10-13",35.549999
"62","2017-10-16",35.549999
"63","2017-10-17",33.75
"64","2017-10-18",35.25
"65","2017-10-19",34.5
"66","2017-10-20",36.75
"67","2017-10-23",36
"68","2017-10-24",34.349998
"69","2017-10-25",34.349998
"70","2017-10-26",34.5
"71","2017-10-27",34.5
"72","2017-10-30",35.25
"73","2017-10-31",34.349998
"74","2017-11-01",33
"75","2017-11-02",30
"76","2017-11-03",23.535
"77","2017-11-06",16.5
"78","2017-11-07",16.5
"79","2017-11-08",12.75
"80","2017-11-09",15.15
"81","2017-11-10",14.85
"82","2017-11-13",12.75
"83","2017-11-14",14.25
"84","2017-11-15",14.25
"85","2017-11-16",14.25
"86","2017-11-17",19.35
"87","2017-11-20",18.9
"88","2017-11-21",19.049999
"89","2017-11-22",18.450001
"90","2017-11-24",18
"91","2017-11-27",12.75
"92","2017-11-28",15
"93","2017-11-29",15.75
"94","2017-11-30",14.31
"95","2017-12-01",14.31
"96","2017-12-04",12.75
"97","2017-12-05",12.75
"98","2017-12-06",12.75
"99","2017-12-07",13.65
"100","2017-12-08",15.45
"101","2017-12-11",15
"102","2017-12-12",15
"103","2017-12-13",15
"104","2017-12-14",13.5
"105","2017-12-15",13.5
"106","2017-12-18",14.25
"107","2017-12-19",16.200001
