"","date","XCUR"
"1","2018-05-22",3.1
"2","2018-05-23",3.5
"3","2018-05-24",4
"4","2018-05-25",4.25
"5","2018-05-29",4.02
"6","2018-05-30",3.86
"7","2018-05-31",4
"8","2018-06-01",4.05
"9","2018-06-04",4.02
"10","2018-06-05",4
"11","2018-06-06",4
"12","2018-06-07",4
"13","2018-06-08",4.25
"14","2018-06-11",4.5
"15","2018-06-12",4.2
"16","2018-06-13",4.25
"17","2018-06-14",4.45
"18","2018-06-15",5.25
"19","2018-06-18",5.5
"20","2018-06-19",5.815
"21","2018-06-20",5.75
"22","2018-06-21",5.67
"23","2018-06-22",5.7
"24","2018-06-25",5.95
"25","2018-06-26",6
"26","2018-06-27",5.6
"27","2018-06-28",5.8
"28","2018-06-29",5.7
"29","2018-07-02",5.65
"30","2018-07-03",5.65
"31","2018-07-05",5.74
"32","2018-07-06",5.68
"33","2018-07-09",5.7
"34","2018-07-10",5.65
"35","2018-07-11",5.76
"36","2018-07-12",5.65
"37","2018-07-13",5.65
"38","2018-07-16",5.65
"39","2018-07-17",5.74
"40","2018-07-18",5.75
"41","2018-07-19",5.75
"42","2018-07-20",5.75
"43","2018-07-23",5.7
"44","2018-07-24",5.7
"45","2018-07-25",5.7
"46","2018-07-26",5.77
"47","2018-07-27",5.63
"48","2018-07-30",5.57
"49","2018-07-31",5.15
"50","2018-08-01",4.76
"51","2018-08-02",4.97
"52","2018-08-03",5
"53","2018-08-06",5
"54","2018-08-07",5
"55","2018-08-08",4.99
"56","2018-08-09",5
"57","2018-08-10",4.94
"58","2018-08-13",4.97
"59","2018-08-14",4.82
"60","2018-08-15",5
"61","2018-08-16",5
"62","2018-08-17",5.036
"63","2018-08-20",5
"64","2018-08-21",4.99
"65","2018-08-22",5.05
"66","2018-08-23",5.05
"67","2018-08-24",5
"68","2018-08-27",4.82
"69","2018-08-28",4.9
"70","2018-08-29",4.95
"71","2018-08-30",4.96
"72","2018-08-31",4.95
"73","2018-09-04",4.95
"74","2018-09-05",4.95
"75","2018-09-06",4.95
"76","2018-09-07",4.97
"77","2018-09-10",4.95
"78","2018-09-11",5.04
"79","2018-09-12",4.95
"80","2018-09-13",4.93
"81","2018-09-14",4.95
"82","2018-09-17",4.81
"83","2018-09-18",6.5
"84","2018-09-19",4.959
"85","2018-09-20",4.95
"86","2018-09-21",4.93
"87","2018-09-24",4.96
"88","2018-09-25",4.82
"89","2018-09-26",4.595
"90","2018-09-27",4.15
"91","2018-09-28",4.09
"92","2018-10-01",4
"93","2018-10-02",4.09
"94","2018-10-03",3.91
"95","2018-10-04",3.92
"96","2018-10-05",4.05
"97","2018-10-08",4
"98","2018-10-09",3.93
"99","2018-10-10",3.994
"100","2018-10-11",4.05
"101","2018-10-12",4
"102","2018-10-15",4.5
"103","2018-10-16",4.42
"104","2018-10-17",4.49
"105","2018-10-18",4.18
"106","2018-10-19",3.95
"107","2018-10-22",3.96
"108","2018-10-23",3.97
"109","2018-10-24",3.95
"110","2018-10-25",3.84
"111","2018-10-26",3.61
"112","2018-10-29",3.75
"113","2018-10-30",3.64
"114","2018-10-31",3.75
"115","2018-11-01",3.69
"116","2018-11-02",3.65
"117","2018-11-05",3.6
"118","2018-11-06",3.6
"119","2018-11-07",3.83
"120","2018-11-08",3.8
"121","2018-11-09",3.75
"122","2018-11-12",3.77
"123","2018-11-13",3.7
"124","2018-11-14",3.61
"125","2018-11-15",3.61
"126","2018-11-16",3.7
"127","2018-11-19",3.7
"128","2018-11-20",3.585
"129","2018-11-21",3.64
"130","2018-11-23",3.51
"131","2018-11-26",3.58
"132","2018-11-27",3.55
"133","2018-11-28",3.41
"134","2018-11-29",3.6
"135","2018-11-30",4.2
"136","2018-12-03",4
"137","2018-12-04",3.98
"138","2018-12-06",3.94
"139","2018-12-07",3.6
"140","2018-12-10",3.74
"141","2018-12-11",3.675
"142","2018-12-12",3.65
"143","2018-12-13",3.63
"144","2018-12-14",3.48
"145","2018-12-17",3.36
"146","2018-12-18",3.2
"147","2018-12-19",3.11
"148","2018-12-20",3
"149","2018-12-21",2.93
"150","2018-12-24",2.98
"151","2018-12-26",3.687
"152","2018-12-27",3.72
"153","2018-12-28",3.6
"154","2018-12-31",3.54
"155","2019-01-02",3.45
"156","2019-01-03",3.27
"157","2019-01-04",3.3
"158","2019-01-07",3.25
"159","2019-01-08",3.06
"160","2019-01-09",3.01
"161","2019-01-10",2.94
"162","2019-01-11",2.9
"163","2019-01-14",2.9
"164","2019-01-15",2.86
"165","2019-01-16",2.93
"166","2019-01-17",2.91
"167","2019-01-18",2.97
"168","2019-01-22",2.92
"169","2019-01-23",3
"170","2019-01-24",3
"171","2019-01-25",2.97
"172","2019-01-28",2.9
"173","2019-01-29",2.92
"174","2019-01-30",2.97
"175","2019-01-31",2.99
"176","2019-02-01",2.95
"177","2019-02-04",2.9
"178","2019-02-05",2.92
"179","2019-02-06",2.88
"180","2019-02-07",2.94
"181","2019-02-08",2.9
"182","2019-02-11",2.95
"183","2019-02-12",3
"184","2019-02-13",3.17
"185","2019-02-14",3.03
"186","2019-02-15",2.95
"187","2019-02-19",3.01
"188","2019-02-20",2.9
"189","2019-02-21",2.89
"190","2019-02-22",2.85
"191","2019-02-25",2.9
"192","2019-02-26",2.89
"193","2019-02-27",2.8
"194","2019-02-28",2.8
"195","2019-03-01",2.8
"196","2019-03-04",2.81
"197","2019-03-05",2.8
"198","2019-03-06",2.8
"199","2019-03-07",2.8
"200","2019-03-08",2.8
"201","2019-03-11",2.52
"202","2019-03-12",2.2
"203","2019-03-13",2.5
"204","2019-03-14",2.4
"205","2019-03-15",2.474
"206","2019-03-18",2.34
"207","2019-03-19",2.4
"208","2019-03-20",2.36
"209","2019-03-21",2.35
"210","2019-03-22",2.25
"211","2019-03-25",2.43
"212","2019-03-26",2.35
"213","2019-03-27",2.4
"214","2019-03-28",2.3
"215","2019-03-29",2.35
"216","2019-04-01",2.35
"217","2019-04-02",2.3
"218","2019-04-03",2.48
"219","2019-04-04",2.44
"220","2019-04-05",2.35
"221","2019-04-08",2.425
"222","2019-04-09",2.64
"223","2019-04-10",2.63
"224","2019-04-11",2.67
"225","2019-04-12",2.64
"226","2019-04-15",2.675
"227","2019-04-16",2.65
"228","2019-04-17",2.66
"229","2019-04-18",2.74
"230","2019-04-22",2.75
"231","2019-04-23",2.72
"232","2019-04-24",2.69
"233","2019-04-25",2.89
"234","2019-04-26",2.84
"235","2019-04-29",2.75
"236","2019-04-30",2.79
"237","2019-05-01",2.76
"238","2019-05-02",2.97
"239","2019-05-03",2.875
"240","2019-05-06",2.9
"241","2019-05-07",2.86
"242","2019-05-08",2.81
"243","2019-05-09",2.8
"244","2019-05-10",2.721
"245","2019-05-13",2.69
"246","2019-05-14",2.88
"247","2019-05-15",2.88
"248","2019-05-16",2.9
"249","2019-05-17",2.85
"250","2019-05-20",2.85
"251","2019-05-21",2.8
"252","2019-05-22",2.8
"253","2019-05-23",2.78
"254","2019-05-24",2.85
"255","2019-05-28",2.8
"256","2019-05-29",2.84
"257","2019-05-30",2.88
"258","2019-05-31",2.8
