"","date","HPR"
"1","2007-01-03",1296.5
"2","2007-01-04",1293
"3","2007-01-05",1291.5
"4","2007-01-08",1290
"5","2007-01-09",1282.5
"6","2007-01-10",1281
"7","2007-01-11",1277
"8","2007-01-12",1370.5
"9","2007-01-16",1336
"10","2007-01-17",1381
"11","2007-01-18",1376.5
"12","2007-01-19",1427
"13","2007-01-22",1411.5
"14","2007-01-23",1464
"15","2007-01-24",1459
"16","2007-01-25",1429
"17","2007-01-26",1451
"18","2007-01-29",1468
"19","2007-01-30",1519
"20","2007-01-31",1545
"21","2007-02-01",1543.5
"22","2007-02-02",1554.5
"23","2007-02-05",1550
"24","2007-02-06",1539.5
"25","2007-02-07",1549
"26","2007-02-08",1554.5
"27","2007-02-09",1549.5
"28","2007-02-12",1519.5
"29","2007-02-13",1521
"30","2007-02-14",1515
"31","2007-02-15",1521
"32","2007-02-16",1534.5
"33","2007-02-20",1517
"34","2007-02-21",1528.5
"35","2007-02-22",1533.5
"36","2007-02-23",1508
"37","2007-02-26",1546
"38","2007-02-27",1511.5
"39","2007-02-28",1470
"40","2007-03-01",1469.5
"41","2007-03-02",1432
"42","2007-03-05",1405
"43","2007-03-06",1438.5
"44","2007-03-07",1476.5
"45","2007-03-08",1463.5
"46","2007-03-09",1477
"47","2007-03-12",1490.5
"48","2007-03-13",1474.5
"49","2007-03-14",1505
"50","2007-03-15",1519
"51","2007-03-16",1501
"52","2007-03-19",1492.5
"53","2007-03-20",1518
"54","2007-03-21",1566.5
"55","2007-03-22",1587.5
"56","2007-03-23",1620.5
"57","2007-03-26",1617.5
"58","2007-03-27",1621
"59","2007-03-28",1604.5
"60","2007-03-29",1615.5
"61","2007-03-30",1620.5
"62","2007-04-02",1653.5
"63","2007-04-03",1681
"64","2007-04-04",1690
"65","2007-04-05",1689.5
"66","2007-04-09",1686.5
"67","2007-04-10",1763.5
"68","2007-04-11",1801
"69","2007-04-12",1842
"70","2007-04-13",1866.5
"71","2007-04-16",1874
"72","2007-04-17",1857
"73","2007-04-18",1873
"74","2007-04-19",1819.5
"75","2007-04-20",1834.5
"76","2007-04-23",1837
"77","2007-04-24",1846
"78","2007-04-25",1900
"79","2007-04-26",1895.5
"80","2007-04-27",1920
"81","2007-04-30",1845
"82","2007-05-01",1845.5
"83","2007-05-02",1810
"84","2007-05-03",1808
"85","2007-05-04",1822
"86","2007-05-07",1866
"87","2007-05-08",1860.5
"88","2007-05-09",1844
"89","2007-05-10",1785.5
"90","2007-05-11",1802.5
"91","2007-05-14",1818
"92","2007-05-15",1782
"93","2007-05-16",1782
"94","2007-05-17",1810
"95","2007-05-18",1863.5
"96","2007-05-21",1898.5
"97","2007-05-22",1901
"98","2007-05-23",1878
"99","2007-05-24",1837.5
"100","2007-05-25",1867.5
"101","2007-05-29",1859.5
"102","2007-05-30",1912.5
"103","2007-05-31",1889.5
"104","2007-06-01",1867
"105","2007-06-04",1871.5
"106","2007-06-05",1870.5
"107","2007-06-06",1861
"108","2007-06-07",1818.5
"109","2007-06-08",1819.5
"110","2007-06-11",1816
"111","2007-06-12",1816
"112","2007-06-13",1842.5
"113","2007-06-14",1857.5
"114","2007-06-15",1896.5
"115","2007-06-18",1923
"116","2007-06-19",1940
"117","2007-06-20",1915.5
"118","2007-06-21",1939
"119","2007-06-22",1916
"120","2007-06-25",1885.5
"121","2007-06-26",1852.5
"122","2007-06-27",1910.5
"123","2007-06-28",1850
"124","2007-06-29",1841.5
"125","2007-07-02",1816.5
"126","2007-07-03",1920
"127","2007-07-05",1927
"128","2007-07-06",1915
"129","2007-07-09",1897
"130","2007-07-10",1863.5
"131","2007-07-11",1870
"132","2007-07-12",1872.5
"133","2007-07-13",1887.5
"134","2007-07-16",1859.5
"135","2007-07-17",1862.5
"136","2007-07-18",1876
"137","2007-07-19",1885.5
"138","2007-07-20",1839.5
"139","2007-07-23",1785.5
"140","2007-07-24",1692
"141","2007-07-25",1676
"142","2007-07-26",1651
"143","2007-07-27",1654.5
"144","2007-07-30",1696.5
"145","2007-07-31",1716
"146","2007-08-01",1744
"147","2007-08-02",1745.5
"148","2007-08-03",1693.5
"149","2007-08-06",1683.5
"150","2007-08-07",1757
"151","2007-08-08",1903.5
"152","2007-08-09",1933.5
"153","2007-08-10",1909.5
"154","2007-08-13",1832.5
"155","2007-08-14",1784.5
"156","2007-08-15",1779
"157","2007-08-16",1797.5
"158","2007-08-17",1931
"159","2007-08-20",1865.5
"160","2007-08-21",1826
"161","2007-08-22",1792
"162","2007-08-23",1779.5
"163","2007-08-24",1785
"164","2007-08-27",1745.5
"165","2007-08-28",1696
"166","2007-08-29",1737
"167","2007-08-30",1762.5
"168","2007-08-31",1762
"169","2007-09-04",1810
"170","2007-09-05",1824.5
"171","2007-09-06",1832.5
"172","2007-09-07",1814.5
"173","2007-09-10",1795.5
"174","2007-09-11",1824
"175","2007-09-12",1859
"176","2007-09-13",1848.5
"177","2007-09-14",1887
"178","2007-09-17",1894.5
"179","2007-09-18",1951.5
"180","2007-09-19",1970
"181","2007-09-20",1946
"182","2007-09-21",1956
"183","2007-09-24",1950
"184","2007-09-25",1959.5
"185","2007-09-26",1967.5
"186","2007-09-27",1995
"187","2007-09-28",1970.5
"188","2007-10-01",2006.5
"189","2007-10-02",2107
"190","2007-10-03",2123.5
"191","2007-10-04",2161.5
"192","2007-10-05",2235
"193","2007-10-08",2118
"194","2007-10-09",2135
"195","2007-10-10",2145
"196","2007-10-11",2172
"197","2007-10-12",2185.5
"198","2007-10-15",2226
"199","2007-10-16",2213.5
"200","2007-10-17",2216
"201","2007-10-18",2282.5
"202","2007-10-19",2170.5
"203","2007-10-22",2155.5
"204","2007-10-23",2111.5
"205","2007-10-24",2095
"206","2007-10-25",2152.5
"207","2007-10-26",2253
"208","2007-10-29",2308
"209","2007-10-30",2240.5
"210","2007-10-31",2340
"211","2007-11-01",2214
"212","2007-11-02",2220
"213","2007-11-05",2252
"214","2007-11-06",2297
"215","2007-11-07",2103.5
"216","2007-11-08",2125
"217","2007-11-09",2102.5
"218","2007-11-12",1982.5
"219","2007-11-13",2051
"220","2007-11-14",2079.5
"221","2007-11-15",2008.5
"222","2007-11-16",2100.5
"223","2007-11-19",2053.5
"224","2007-11-20",2010.5
"225","2007-11-21",1999
"226","2007-11-23",2060
"227","2007-11-26",2000.5
"228","2007-11-27",1935.5
"229","2007-11-28",1962.5
"230","2007-11-29",1955.5
"231","2007-11-30",1930
"232","2007-12-03",1933
"233","2007-12-04",1922.5
"234","2007-12-05",2016
"235","2007-12-06",2135.5
"236","2007-12-07",2132
"237","2007-12-10",2129
"238","2007-12-11",2072
"239","2007-12-12",2085
"240","2007-12-13",2070
"241","2007-12-14",2041
"242","2007-12-17",1987
"243","2007-12-18",2075.5
"244","2007-12-19",2091
"245","2007-12-20",2151.5
"246","2007-12-21",2211
"247","2007-12-24",2223.5
"248","2007-12-26",2193.5
"249","2007-12-27",2137.5
"250","2007-12-28",2205.5
"251","2007-12-31",2093.5
"252","2008-01-02",2163
"253","2008-01-03",2187.5
"254","2008-01-04",2194.5
"255","2008-01-07",2165
"256","2008-01-08",2075
"257","2008-01-09",2132.5
"258","2008-01-10",2145.5
"259","2008-01-11",2167.5
"260","2008-01-14",2201
"261","2008-01-15",2093.5
"262","2008-01-16",2085
"263","2008-01-17",2078.5
