"","date","FSFG"
"1","2008-10-08",9.7
"2","2008-10-09",9.7
"3","2008-10-10",9.4
"4","2008-10-13",9.6
"5","2008-10-14",9.99
"6","2008-10-15",9.89
"7","2008-10-16",9.45
"8","2008-10-17",9.25
"9","2008-10-20",9.25
"10","2008-10-21",9.25
"11","2008-10-22",9.25
"12","2008-10-23",8.81
"13","2008-10-24",8.81
"14","2008-10-27",8.72
"15","2008-10-28",9
"16","2008-10-29",9
"17","2008-10-30",9
"18","2008-10-31",9.5
"19","2008-11-03",9.5
"20","2008-11-04",9.45
"21","2008-11-05",9.45
"22","2008-11-06",9.2
"23","2008-11-07",9.22
"24","2008-11-10",9.21
"25","2008-11-11",9.25
"26","2008-11-12",9.1
"27","2008-11-13",9.29
"28","2008-11-14",9.29
"29","2008-11-17",9.04
"30","2008-11-18",9.15
"31","2008-11-19",9
"32","2008-11-20",8.96
"33","2008-11-21",8.8
"34","2008-11-24",9
"35","2008-11-25",9.01
"36","2008-11-26",9.01
"37","2008-11-28",9.01
"38","2008-12-01",9.01
"39","2008-12-02",9
"40","2008-12-03",9.1
"41","2008-12-04",9.09
"42","2008-12-05",9.09
"43","2008-12-08",9.19
"44","2008-12-09",9.19
"45","2008-12-10",9.11
"46","2008-12-11",9
"47","2008-12-12",9.12
"48","2008-12-15",9.15
"49","2008-12-16",9.25
"50","2008-12-17",9.25
"51","2008-12-18",9.12
"52","2008-12-19",9.25
"53","2008-12-22",9.3
"54","2008-12-23",9.26
"55","2008-12-24",9.28
"56","2008-12-26",9.25
"57","2008-12-29",9.25
"58","2008-12-30",9.81
"59","2008-12-31",9.81
"60","2009-01-02",9.86
"61","2009-01-05",10
"62","2009-01-06",10
"63","2009-01-07",10.04
"64","2009-01-08",10.05
"65","2009-01-09",10.04
"66","2009-01-12",10
"67","2009-01-13",9.93
"68","2009-01-14",9.9
"69","2009-01-15",9.92
"70","2009-01-16",10
"71","2009-01-20",9.89
"72","2009-01-21",9.8
"73","2009-01-22",9.6
"74","2009-01-23",9.65
"75","2009-01-26",10.04
"76","2009-01-27",9.89
"77","2009-01-28",9.95
"78","2009-01-29",9.9
"79","2009-01-30",9.9
"80","2009-02-02",9.75
"81","2009-02-03",9.75
"82","2009-02-04",9.65
"83","2009-02-05",9.7
"84","2009-02-06",9.7
"85","2009-02-09",9.4
"86","2009-02-10",9.4
"87","2009-02-11",9.41
"88","2009-02-12",9.45
"89","2009-02-13",9.45
"90","2009-02-17",9.25
"91","2009-02-18",9.3
"92","2009-02-19",9
"93","2009-02-20",9
