"","date","SPWH"
"1","2014-04-17",9.75
"2","2014-04-21",9.5
"3","2014-04-22",9.66
"4","2014-04-23",9.47
"5","2014-04-24",10.22
"6","2014-04-25",10.48
"7","2014-04-28",10.9
"8","2014-04-29",10.71
"9","2014-04-30",10.53
"10","2014-05-01",10.25
"11","2014-05-02",10.08
"12","2014-05-05",9.81
"13","2014-05-06",9.64
"14","2014-05-07",9.48
"15","2014-05-08",9.64
"16","2014-05-09",10.1
"17","2014-05-12",9.55
"18","2014-05-13",9.5
"19","2014-05-14",9.47
"20","2014-05-15",9.365
"21","2014-05-16",9.32
"22","2014-05-19",9.21
"23","2014-05-20",7.75
"24","2014-05-21",7.88
"25","2014-05-22",8.02
"26","2014-05-23",9.08
"27","2014-05-27",9.26
"28","2014-05-28",9
"29","2014-05-29",9.09
"30","2014-05-30",9.23
"31","2014-06-02",9.24
"32","2014-06-03",9.23
"33","2014-06-04",9.26
"34","2014-06-05",9.2
"35","2014-06-06",9.18
"36","2014-06-09",9.03
"37","2014-06-10",8.6
"38","2014-06-11",8.89
"39","2014-06-12",8.7
"40","2014-06-13",8.61
"41","2014-06-16",8.55
"42","2014-06-17",8.08
"43","2014-06-18",8
"44","2014-06-19",8.16
"45","2014-06-20",8.09
"46","2014-06-23",8.5
"47","2014-06-24",8.48
"48","2014-06-25",8.24
"49","2014-06-26",8.15
"50","2014-06-27",7.88
"51","2014-06-30",8
"52","2014-07-01",7.78
"53","2014-07-02",7.73
"54","2014-07-03",8
"55","2014-07-07",7.81
"56","2014-07-08",7.82
"57","2014-07-09",7.73
"58","2014-07-10",7.75
"59","2014-07-11",7.28
"60","2014-07-14",7.14
"61","2014-07-15",7
"62","2014-07-16",6.45
"63","2014-07-17",6.64
"64","2014-07-18",6.52
"65","2014-07-21",6.37
"66","2014-07-22",6.11
"67","2014-07-23",6.02
"68","2014-07-24",6.07
"69","2014-07-25",6.1
"70","2014-07-28",6.27
"71","2014-07-29",6.18
"72","2014-07-30",6.09
"73","2014-07-31",5.79
"74","2014-08-01",5.79
"75","2014-08-04",5.62
"76","2014-08-05",5.52
"77","2014-08-06",5.46
"78","2014-08-07",5.87
"79","2014-08-08",5.96
"80","2014-08-11",5.96
"81","2014-08-12",5.75
"82","2014-08-13",5.95
"83","2014-08-14",6.11
"84","2014-08-15",6.05
"85","2014-08-18",6.21
"86","2014-08-19",6.3
"87","2014-08-20",6.17
"88","2014-08-21",6.09
"89","2014-08-22",6.17
"90","2014-08-25",6
"91","2014-08-26",6.11
"92","2014-08-27",6.04
"93","2014-08-28",5.99
"94","2014-08-29",6.01
"95","2014-09-02",5.71
"96","2014-09-03",5.52
"97","2014-09-04",5.76
"98","2014-09-05",5.66
"99","2014-09-08",5.62
"100","2014-09-09",5.89
"101","2014-09-10",5.82
"102","2014-09-11",6.04
"103","2014-09-12",6.96
"104","2014-09-15",6.81
"105","2014-09-16",6.79
"106","2014-09-17",6.8
"107","2014-09-18",6.63
"108","2014-09-19",6.37
"109","2014-09-22",6.29
"110","2014-09-23",6.62
"111","2014-09-24",6.88
"112","2014-09-25",7.06
"113","2014-09-26",6.84
"114","2014-09-29",6.8
"115","2014-09-30",6.735
"116","2014-10-01",6.45
"117","2014-10-02",6.85
"118","2014-10-03",7.2
"119","2014-10-06",7.1
"120","2014-10-07",7.07
"121","2014-10-08",7.2
"122","2014-10-09",7.38
"123","2014-10-10",7.67
"124","2014-10-13",7.28
"125","2014-10-14",7.38
"126","2014-10-15",7.39
"127","2014-10-16",7.42
"128","2014-10-17",7.14
"129","2014-10-20",7.2
"130","2014-10-21",7.14
"131","2014-10-22",7.26
"132","2014-10-23",7.04
"133","2014-10-24",7.12
"134","2014-10-27",7.15
"135","2014-10-28",7.14
"136","2014-10-29",7.13
"137","2014-10-30",7.09
"138","2014-10-31",6.99
"139","2014-11-03",7.04
"140","2014-11-04",6.91
"141","2014-11-05",6.91
"142","2014-11-06",6.9
"143","2014-11-07",7.09
"144","2014-11-10",7.16
"145","2014-11-11",7.19
"146","2014-11-12",7.23
"147","2014-11-13",7.03
"148","2014-11-14",7.05
"149","2014-11-17",6.91
"150","2014-11-18",6.9
"151","2014-11-19",6.85
"152","2014-11-20",7.09
"153","2014-11-21",7.02
"154","2014-11-24",7.1
"155","2014-11-25",7.01
"156","2014-11-26",6.99
"157","2014-11-28",7.05
"158","2014-12-01",7.02
"159","2014-12-02",7.59
"160","2014-12-03",8.1
"161","2014-12-04",7.69
"162","2014-12-05",7.4
"163","2014-12-08",7.51
"164","2014-12-09",7.6
"165","2014-12-10",7.37
"166","2014-12-11",7.51
"167","2014-12-12",7.31
"168","2014-12-15",7.07
"169","2014-12-16",7
"170","2014-12-17",7.25
"171","2014-12-18",7.37
"172","2014-12-19",7.37
"173","2014-12-22",7.41
"174","2014-12-23",7.39
"175","2014-12-24",7.15
"176","2014-12-26",7.13
"177","2014-12-29",7.19
"178","2014-12-30",7.19
"179","2014-12-31",7.32
"180","2015-01-02",7.39
"181","2015-01-05",7.36
"182","2015-01-06",7.2
"183","2015-01-07",7.49
"184","2015-01-08",7.45
"185","2015-01-09",7.45
"186","2015-01-12",7.04
"187","2015-01-13",6.58
"188","2015-01-14",6.5
"189","2015-01-15",6.34
"190","2015-01-16",6.37
"191","2015-01-20",6.29
"192","2015-01-21",6.33
"193","2015-01-22",6.67
"194","2015-01-23",6.89
"195","2015-01-26",6.83
"196","2015-01-27",6.76
"197","2015-01-28",7.04
"198","2015-01-29",7.2
"199","2015-01-30",7.13
"200","2015-02-02",7.29
"201","2015-02-03",7.29
"202","2015-02-04",7.27
"203","2015-02-05",7.32
"204","2015-02-06",7.42
"205","2015-02-09",7.26
"206","2015-02-10",7.3
"207","2015-02-11",7.31
"208","2015-02-12",7.21
"209","2015-02-13",7.22
"210","2015-02-17",7.22
"211","2015-02-18",7.28
"212","2015-02-19",7.2
"213","2015-02-20",7.16
"214","2015-02-23",7.16
"215","2015-02-24",7.23
"216","2015-02-25",7.29
"217","2015-02-26",7.43
"218","2015-02-27",7.36
"219","2015-03-02",7.51
"220","2015-03-03",7.6
"221","2015-03-04",7.72
"222","2015-03-05",7.78
"223","2015-03-06",7.8
"224","2015-03-09",7.75
"225","2015-03-10",7.68
"226","2015-03-11",7.75
"227","2015-03-12",7.75
"228","2015-03-13",7.72
"229","2015-03-16",7.93
"230","2015-03-17",7.96
"231","2015-03-18",8.01
"232","2015-03-19",8
"233","2015-03-20",8.08
"234","2015-03-23",7.97
"235","2015-03-24",8.07
"236","2015-03-25",8.12
