"","date","ARCO"
"1","2011-04-14",21.200001
"2","2011-04-15",21.360001
"3","2011-04-18",22.9
"4","2011-04-19",24.73
"5","2011-04-20",24.040001
"6","2011-04-21",23.67
"7","2011-04-25",23.559999
"8","2011-04-26",22.879999
"9","2011-04-27",22.389999
"10","2011-04-28",22.1
"11","2011-04-29",22.030001
"12","2011-05-02",22.5
"13","2011-05-03",22.690001
"14","2011-05-04",22.65
"15","2011-05-05",22.610001
"16","2011-05-06",22.030001
"17","2011-05-09",22.48
"18","2011-05-10",22.24
"19","2011-05-11",21.809999
"20","2011-05-12",21.48
"21","2011-05-13",22.25
"22","2011-05-16",21.9
"23","2011-05-17",21.75
"24","2011-05-18",22.35
"25","2011-05-19",22.25
"26","2011-05-20",22.01
"27","2011-05-23",22
"28","2011-05-24",22.01
"29","2011-05-25",21.9
"30","2011-05-26",22.67
"31","2011-05-27",23.139999
"32","2011-05-31",22.75
"33","2011-06-01",22.09
"34","2011-06-02",22.370001
"35","2011-06-03",22.969999
"36","2011-06-06",22.66
"37","2011-06-07",23.15
"38","2011-06-08",21.73
"39","2011-06-09",21.85
"40","2011-06-10",21.34
"41","2011-06-13",21.01
"42","2011-06-14",20.790001
"43","2011-06-15",20.73
"44","2011-06-16",20.950001
"45","2011-06-17",20.15
"46","2011-06-20",20.450001
"47","2011-06-21",21.16
"48","2011-06-22",20.73
"49","2011-06-23",20.91
"50","2011-06-24",20.75
"51","2011-06-27",20.700001
"52","2011-06-28",21.25
"53","2011-06-29",21.25
"54","2011-06-30",21.09
"55","2011-07-01",21.5
"56","2011-07-05",21.809999
"57","2011-07-06",22.02
"58","2011-07-07",22.459999
"59","2011-07-08",22.35
"60","2011-07-11",21.959999
"61","2011-07-12",21.719999
"62","2011-07-13",21.280001
"63","2011-07-14",21
"64","2011-07-15",20.709999
"65","2011-07-18",19.98
"66","2011-07-19",21.34
"67","2011-07-20",21.5
"68","2011-07-21",21.790001
"69","2011-07-22",23.5
"70","2011-07-25",23.469999
"71","2011-07-26",23.51
"72","2011-07-27",22.9
"73","2011-07-28",22.709999
"74","2011-07-29",23.459999
"75","2011-08-01",23.51
"76","2011-08-02",25.129999
"77","2011-08-03",25.4
"78","2011-08-04",24.85
"79","2011-08-05",24.24
"80","2011-08-08",22.030001
"81","2011-08-09",22.07
"82","2011-08-10",22.450001
"83","2011-08-11",24.5
"84","2011-08-12",24.309999
"85","2011-08-15",24.639999
"86","2011-08-16",24.950001
"87","2011-08-17",26
"88","2011-08-18",24.690001
"89","2011-08-19",23.42
"90","2011-08-22",24.42
"91","2011-08-23",24.610001
"92","2011-08-24",24.889999
"93","2011-08-25",24.549999
"94","2011-08-26",24.25
"95","2011-08-29",25.780001
"96","2011-08-30",26.959999
"97","2011-08-31",27.57
"98","2011-09-01",27.139999
