"","date","CLGX"
"1","2007-01-03",23.281301
"2","2007-01-04",23.452572
"3","2007-01-05",24.09198
"4","2007-01-08",23.835075
"5","2007-01-09",24.012054
"6","2007-01-10",24.26325
"7","2007-01-11",24.520155
"8","2007-01-12",24.651463
"9","2007-01-16",24.822733
"10","2007-01-17",24.697134
"11","2007-01-18",24.348885
"12","2007-01-19",24.166197
"13","2007-01-22",24.291796
"14","2007-01-23",24.160488
"15","2007-01-24",24.303213
"16","2007-01-25",24.069143
"17","2007-01-26",24.131943
"18","2007-01-29",23.972092
"19","2007-01-30",23.983509
"20","2007-01-31",24.194742
"21","2007-02-01",24.400267
"22","2007-02-02",24.742805
"23","2007-02-05",25.473558
"24","2007-02-06",25.290871
"25","2007-02-07",25.210943
"26","2007-02-08",25.142435
"27","2007-02-09",24.83415
"28","2007-02-12",24.537283
"29","2007-02-13",25.1196
"30","2007-02-14",25.262325
"31","2007-02-15",25.433596
"32","2007-02-16",25.319414
"33","2007-02-20",25.798971
"34","2007-02-21",25.422176
"35","2007-02-22",26.803755
"36","2007-02-23",26.957897
"37","2007-02-26",26.986443
"38","2007-02-27",26.495468
"39","2007-02-28",26.940771
"40","2007-03-01",26.992151
"41","2007-03-02",27.300438
"42","2007-03-05",27.209093
"43","2007-03-06",27.580179
"44","2007-03-07",28.89325
"45","2007-03-08",29.195826
"46","2007-03-09",29.675383
"47","2007-03-12",29.778145
"48","2007-03-13",29.447021
"49","2007-03-14",29.441313
"50","2007-03-15",29.875196
"51","2007-03-16",29.561201
"52","2007-03-19",29.778145
"53","2007-03-20",29.955124
"54","2007-03-21",30.406134
"55","2007-03-22",29.995087
"56","2007-03-23",29.6868
"57","2007-03-26",29.658255
"58","2007-03-27",29.498404
"59","2007-03-28",29.081646
"60","2007-03-29",29.007429
"61","2007-03-30",28.956047
"62","2007-04-02",28.904667
"63","2007-04-03",29.201534
"64","2007-04-04",29.73818
"65","2007-04-05",29.641129
"66","2007-04-09",30.286245
"67","2007-04-10",30.017921
"68","2007-04-11",29.315716
"69","2007-04-12",29.595455
"70","2007-04-13",29.367096
"71","2007-04-16",29.721054
