"","date","SSNC"
"1","2010-03-31",7.54
"2","2010-04-01",7.56
"3","2010-04-05",7.525
"4","2010-04-06",7.645
"5","2010-04-07",7.55
"6","2010-04-08",7.86
"7","2010-04-09",8
"8","2010-04-12",8.255
"9","2010-04-13",8.21
"10","2010-04-14",8.225
"11","2010-04-15",8.28
"12","2010-04-16",8.5
"13","2010-04-19",8.27
"14","2010-04-20",8.24
"15","2010-04-21",8.175
"16","2010-04-22",8.005
"17","2010-04-23",8.05
"18","2010-04-26",8.225
"19","2010-04-27",8.275
"20","2010-04-28",8.26
"21","2010-04-29",8.4
"22","2010-04-30",8.39
"23","2010-05-03",8.365
"24","2010-05-04",8.32
"25","2010-05-05",8.165
"26","2010-05-06",7.95
"27","2010-05-07",7.875
"28","2010-05-10",7.655
"29","2010-05-11",7.665
"30","2010-05-12",8.06
"31","2010-05-13",8.355
"32","2010-05-14",8.345
"33","2010-05-17",8.235
"34","2010-05-18",8.29
"35","2010-05-19",8.17
"36","2010-05-20",7.695
"37","2010-05-21",7.525
"38","2010-05-24",7.875
"39","2010-05-25",7.835
"40","2010-05-26",8.125
"41","2010-05-27",8.245
"42","2010-05-28",8.16
"43","2010-06-01",8.175
"44","2010-06-02",8.375
"45","2010-06-03",8.39
"46","2010-06-04",8.22
"47","2010-06-07",8.095
"48","2010-06-08",8.15
"49","2010-06-09",8.115
"50","2010-06-10",8.205
"51","2010-06-11",8.375
"52","2010-06-14",8.675
"53","2010-06-15",9
"54","2010-06-16",9.12
"55","2010-06-17",8.775
"56","2010-06-18",8.495
"57","2010-06-21",8.33
"58","2010-06-22",8.15
"59","2010-06-23",8.045
"60","2010-06-24",8.075
"61","2010-06-25",8.28
"62","2010-06-28",8.445
"63","2010-06-29",8.23
"64","2010-06-30",8.015
"65","2010-07-01",7.985
"66","2010-07-02",8.235
"67","2010-07-06",8.285
"68","2010-07-07",8.58
"69","2010-07-08",8.88
"70","2010-07-09",9.1
"71","2010-07-12",9.055
"72","2010-07-13",8.815
"73","2010-07-14",8.525
"74","2010-07-15",8.465
"75","2010-07-16",8.12
"76","2010-07-19",8.24
"77","2010-07-20",8.285
"78","2010-07-21",8.03
"79","2010-07-22",8.25
"80","2010-07-23",8.39
"81","2010-07-26",8.465
"82","2010-07-27",8.5
"83","2010-07-28",8.37
"84","2010-07-29",8.345
"85","2010-07-30",8.55
"86","2010-08-02",8.525
"87","2010-08-03",8.38
"88","2010-08-04",8.515
"89","2010-08-05",8.275
"90","2010-08-06",8.335
"91","2010-08-09",8.4
"92","2010-08-10",8.135
"93","2010-08-11",7.67
"94","2010-08-12",7.4
"95","2010-08-13",7.555
"96","2010-08-16",7.53
"97","2010-08-17",7.635
"98","2010-08-18",7.44
"99","2010-08-19",7.22
"100","2010-08-20",7.09
"101","2010-08-23",6.76
"102","2010-08-24",6.775
"103","2010-08-25",6.87
"104","2010-08-26",6.88
"105","2010-08-27",7.38
"106","2010-08-30",7.16
"107","2010-08-31",7.045
"108","2010-09-01",7.205
"109","2010-09-02",7.16
"110","2010-09-03",7.23
"111","2010-09-07",7.255
"112","2010-09-08",7.245
"113","2010-09-09",7.26
"114","2010-09-10",7.27
"115","2010-09-13",7.4
"116","2010-09-14",7.285
"117","2010-09-15",7.105
"118","2010-09-16",7.395
"119","2010-09-17",7.595
"120","2010-09-20",7.72
"121","2010-09-21",7.65
"122","2010-09-22",7.655
"123","2010-09-23",7.63
"124","2010-09-24",7.375
"125","2010-09-27",7.63
"126","2010-09-28",7.66
"127","2010-09-29",7.78
"128","2010-09-30",7.9
"129","2010-10-01",8.355
"130","2010-10-04",8.255
"131","2010-10-05",8.325
"132","2010-10-06",8.365
"133","2010-10-07",8.46
"134","2010-10-08",8.475
"135","2010-10-11",8.46
"136","2010-10-12",8.45
"137","2010-10-13",8.395
"138","2010-10-14",8.48
"139","2010-10-15",8.515
"140","2010-10-18",8.495
"141","2010-10-19",8.325
"142","2010-10-20",8.425
"143","2010-10-21",8.395
"144","2010-10-22",8.4
"145","2010-10-25",8.63
"146","2010-10-26",8.655
"147","2010-10-27",8.695
"148","2010-10-28",8.715
"149","2010-10-29",8.65
"150","2010-11-01",8.65
"151","2010-11-02",8.58
"152","2010-11-03",8.55
"153","2010-11-04",8.73
"154","2010-11-05",8.765
"155","2010-11-08",8.875
"156","2010-11-09",9.005
"157","2010-11-10",8.87
"158","2010-11-11",9.22
"159","2010-11-12",9.165
"160","2010-11-15",9.08
"161","2010-11-16",9.215
"162","2010-11-17",9.07
"163","2010-11-18",9.125
"164","2010-11-19",9.08
"165","2010-11-22",9.385
"166","2010-11-23",9.35
"167","2010-11-24",9.57
"168","2010-11-26",9.925
"169","2010-11-29",9.88
"170","2010-11-30",9.705
"171","2010-12-01",10.3
"172","2010-12-02",10.09
"173","2010-12-03",9.7
"174","2010-12-06",9.71
"175","2010-12-07",10.135
"176","2010-12-08",10.475
"177","2010-12-09",10.225
"178","2010-12-10",10.165
"179","2010-12-13",9.93
"180","2010-12-14",9.82
"181","2010-12-15",9.85
"182","2010-12-16",9.985
"183","2010-12-17",9.885
"184","2010-12-20",10.13
"185","2010-12-21",10.33
"186","2010-12-22",10.31
"187","2010-12-23",10.2
"188","2010-12-27",10.47
"189","2010-12-28",10.43
"190","2010-12-29",10.265
"191","2010-12-30",10.33
"192","2010-12-31",10.255
"193","2011-01-03",10.01
"194","2011-01-04",9.84
"195","2011-01-05",9.88
"196","2011-01-06",9.87
"197","2011-01-07",9.865
"198","2011-01-10",10.18
"199","2011-01-11",10.02
"200","2011-01-12",10.065
"201","2011-01-13",9.76
"202","2011-01-14",9.5
"203","2011-01-18",9.435
"204","2011-01-19",9.5
"205","2011-01-20",9.465
"206","2011-01-21",9.35
"207","2011-01-24",9.43
"208","2011-01-25",9.405
"209","2011-01-26",9.53
"210","2011-01-27",9.485
"211","2011-01-28",9.125
"212","2011-01-31",9.035
"213","2011-02-01",9.145
"214","2011-02-02",9.165
"215","2011-02-03",8.8
"216","2011-02-04",9.505
"217","2011-02-07",9.375
"218","2011-02-08",9.455
"219","2011-02-09",9.42
"220","2011-02-10",9.39
"221","2011-02-11",9.46
"222","2011-02-14",9.605
"223","2011-02-15",9.88
"224","2011-02-16",9.865
"225","2011-02-17",10.075
"226","2011-02-18",10.13
"227","2011-02-22",10.14
"228","2011-02-23",9.8
"229","2011-02-24",9.92
"230","2011-02-25",9.975
"231","2011-02-28",9.795
"232","2011-03-01",9.75
"233","2011-03-02",9.745
"234","2011-03-03",9.87
"235","2011-03-04",9.67
"236","2011-03-07",9.385
"237","2011-03-08",9.475
"238","2011-03-09",9.475
"239","2011-03-10",9.335
"240","2011-03-11",9.39
"241","2011-03-14",9.45
"242","2011-03-15",9.365
"243","2011-03-16",9.255
"244","2011-03-17",9.41
"245","2011-03-18",9.535
"246","2011-03-21",9.75
"247","2011-03-22",9.89
"248","2011-03-23",10.175
"249","2011-03-24",10.045
"250","2011-03-25",10.1
"251","2011-03-28",10.06
"252","2011-03-29",10.035
"253","2011-03-30",10.215
"254","2011-03-31",10.21
"255","2011-04-01",10.305
"256","2011-04-04",10.285
"257","2011-04-05",10.12
"258","2011-04-06",10.155
"259","2011-04-07",10.03
"260","2011-04-08",10.055
"261","2011-04-11",10.045
"262","2011-04-12",10
"263","2011-04-13",10.055
"264","2011-04-14",10.095
"265","2011-04-15",10.145
"266","2011-04-18",10
"267","2011-04-19",10.01
"268","2011-04-20",10.115
"269","2011-04-21",10.13
"270","2011-04-25",10.135
"271","2011-04-26",10.015
"272","2011-04-27",10.025
"273","2011-04-28",10.085
"274","2011-04-29",10.2
"275","2011-05-02",10.03
"276","2011-05-03",9.995
"277","2011-05-04",10.07
"278","2011-05-05",9.995
"279","2011-05-06",10.24
"280","2011-05-09",10.2
"281","2011-05-10",10.145
"282","2011-05-11",10.225
"283","2011-05-12",10
"284","2011-05-13",9.87
"285","2011-05-16",9.755
"286","2011-05-17",9.71
"287","2011-05-18",9.87
"288","2011-05-19",9.845
"289","2011-05-20",9.745
"290","2011-05-23",9.37
"291","2011-05-24",9.505
"292","2011-05-25",9.58
"293","2011-05-26",9.655
"294","2011-05-27",9.65
"295","2011-05-31",9.775
"296","2011-06-01",9.615
"297","2011-06-02",9.65
"298","2011-06-03",9.5
"299","2011-06-06",9.5
"300","2011-06-07",9.465
"301","2011-06-08",9.49
"302","2011-06-09",9.39
"303","2011-06-10",9.255
"304","2011-06-13",9.275
"305","2011-06-14",9.525
"306","2011-06-15",9.425
"307","2011-06-16",9.475
"308","2011-06-17",9.42
"309","2011-06-20",9.395
"310","2011-06-21",9.54
"311","2011-06-22",9.465
"312","2011-06-23",9.54
"313","2011-06-24",9.515
"314","2011-06-27",9.475
"315","2011-06-28",9.74
