"","date","DSKE"
"1","2015-12-18",9.6
"2","2015-12-21",9.56
"3","2015-12-22",9.61
"4","2015-12-23",9.53
"5","2015-12-24",9.5
"6","2015-12-28",9.6
"7","2015-12-29",9.58
"8","2015-12-30",9.63
"9","2015-12-31",9.64
"10","2016-01-04",9.63
"11","2016-01-05",9.62
"12","2016-01-06",9.64
"13","2016-01-07",9.66
"14","2016-01-08",9.67
"15","2016-01-11",9.66
"16","2016-01-12",9.65
"17","2016-01-13",9.832
"18","2016-01-14",9.75
"19","2016-01-15",9.75
"20","2016-01-19",9.6
"21","2016-01-20",9.67
"22","2016-01-21",9.7
"23","2016-01-22",9.7
"24","2016-01-25",9.7
"25","2016-01-26",9.7
"26","2016-01-27",9.68
"27","2016-01-28",9.65
"28","2016-01-29",9.63
"29","2016-02-01",9.63
"30","2016-02-02",9.63
"31","2016-02-03",9.67
"32","2016-02-04",9.66
"33","2016-02-05",9.68
"34","2016-02-08",9.68
"35","2016-02-09",9.68
"36","2016-02-10",9.68
"37","2016-02-11",9.7
"38","2016-02-12",9.7
"39","2016-02-16",9.7
"40","2016-02-17",9.67
"41","2016-02-18",9.67
"42","2016-02-19",9.62
"43","2016-02-22",9.62
"44","2016-02-23",9.62
"45","2016-02-24",9.62
"46","2016-02-25",9.62
"47","2016-02-26",9.62
"48","2016-02-29",9.62
"49","2016-03-01",9.63
"50","2016-03-02",9.63
"51","2016-03-03",9.64
"52","2016-03-04",9.64
"53","2016-03-07",9.65
"54","2016-03-08",9.65
"55","2016-03-09",9.65
"56","2016-03-10",9.65
"57","2016-03-11",9.7
"58","2016-03-14",9.7
"59","2016-03-15",9.66
"60","2016-03-16",9.66
"61","2016-03-17",9.66
"62","2016-03-18",9.68
"63","2016-03-21",9.68
"64","2016-03-22",9.68
"65","2016-03-23",9.68
"66","2016-03-24",9.68
"67","2016-03-28",9.68
"68","2016-03-29",9.68
"69","2016-03-30",9.68
"70","2016-03-31",9.68
"71","2016-04-01",9.68
"72","2016-04-04",9.85
"73","2016-04-05",9.83
"74","2016-04-06",9.83
"75","2016-04-07",9.84
"76","2016-04-08",9.85
"77","2016-04-11",9.84
"78","2016-04-12",9.84
"79","2016-04-13",9.839
"80","2016-04-14",9.84
"81","2016-04-15",9.84
"82","2016-04-18",9.836
"83","2016-04-19",9.76
"84","2016-04-20",9.787
"85","2016-04-21",9.85
"86","2016-04-22",9.85
"87","2016-04-25",9.82
"88","2016-04-26",9.82
"89","2016-04-27",9.84
"90","2016-04-28",9.8
"91","2016-04-29",9.8
"92","2016-05-02",9.829
"93","2016-05-03",9.84
"94","2016-05-04",9.8
"95","2016-05-05",9.827
"96","2016-05-06",9.849
"97","2016-05-09",9.849
"98","2016-05-10",9.85
"99","2016-05-11",9.81
"100","2016-05-12",9.79
"101","2016-05-13",9.849
"102","2016-05-16",9.829
"103","2016-05-17",9.839
"104","2016-05-18",9.834
"105","2016-05-19",9.84
"106","2016-05-20",9.82
"107","2016-05-23",9.829
"108","2016-05-24",9.83
"109","2016-05-25",9.829
"110","2016-05-26",9.83
"111","2016-05-27",9.82
"112","2016-05-31",9.836
"113","2016-06-01",9.84
"114","2016-06-02",9.85
"115","2016-06-03",9.84
"116","2016-06-06",9.84
"117","2016-06-07",9.84
"118","2016-06-08",9.8
"119","2016-06-09",9.8
"120","2016-06-10",9.83
"121","2016-06-13",9.8
"122","2016-06-14",9.821
"123","2016-06-15",9.82
"124","2016-06-16",9.69
"125","2016-06-17",9.699
"126","2016-06-20",9.63
"127","2016-06-21",9.6
"128","2016-06-22",9.6
"129","2016-06-23",9.6
"130","2016-06-24",9.7
"131","2016-06-27",9.7
"132","2016-06-28",9.71
"133","2016-06-29",9.72
"134","2016-06-30",9.798
"135","2016-07-01",9.76
"136","2016-07-05",9.76
"137","2016-07-06",9.75
"138","2016-07-07",9.76
"139","2016-07-08",9.75
"140","2016-07-11",9.74
"141","2016-07-12",9.739
"142","2016-07-13",9.74
"143","2016-07-14",9.87
"144","2016-07-15",9.9
"145","2016-07-18",9.91
"146","2016-07-19",9.871
"147","2016-07-20",9.88
"148","2016-07-21",9.85
"149","2016-07-22",9.77
"150","2016-07-25",9.82
"151","2016-07-26",9.82
"152","2016-07-27",9.84
"153","2016-07-28",9.81
"154","2016-07-29",9.77
"155","2016-08-01",9.771
