"","date","LOACU"
"1","2018-08-29",10.13
"2","2018-08-30",10.16
"3","2018-08-31",10.15
"4","2018-09-04",10.15
"5","2018-09-05",10.13
"6","2018-09-06",10.15
"7","2018-09-07",10.14
"8","2018-09-10",10.14
"9","2018-09-11",10.2
"10","2018-09-12",10.15
"11","2018-09-13",10.24
"12","2018-09-14",10.23
"13","2018-09-17",10.22
"14","2018-09-18",10.25
"15","2018-09-19",10.45
"16","2018-09-20",10.22
"17","2018-09-21",10.2
"18","2018-09-24",10.27
"19","2018-09-25",10.27
"20","2018-09-26",10.23
"21","2018-09-27",10.25
"22","2018-09-28",10.24
"23","2018-10-01",10.25
"24","2018-10-02",10.25
"25","2018-10-03",10.24
"26","2018-10-04",10.24
"27","2018-10-05",10.24
"28","2018-10-08",10.24
"29","2018-10-09",10.3
"30","2018-10-10",10.3
"31","2018-10-11",10.29
"32","2018-10-12",10.29
"33","2018-10-15",10.23
"34","2018-10-16",10.2
"35","2018-10-17",10.2
"36","2018-10-18",10.2
"37","2018-10-19",10.22
"38","2018-10-22",10.22
"39","2018-10-23",10.2
"40","2018-10-24",10.2
"41","2018-10-25",10.2
"42","2018-10-26",10.15
"43","2018-10-29",10.15
"44","2018-10-30",10.15
"45","2018-10-31",10.25
"46","2018-11-01",10.24
"47","2018-11-02",10.24
"48","2018-11-05",10.2
"49","2018-11-06",10.2
"50","2018-11-07",10.18
"51","2018-11-08",10.17
"52","2018-11-09",10.17
"53","2018-11-12",10.16
"54","2018-11-13",10.16
"55","2018-11-14",10.16
"56","2018-11-15",10.16
"57","2018-11-16",10.16
"58","2018-11-19",10.16
"59","2018-11-20",10.16
"60","2018-11-21",10.16
"61","2018-11-23",10.16
"62","2018-11-26",10.16
"63","2018-11-27",10.15
"64","2018-11-28",10.22
"65","2018-11-29",10.22
"66","2018-11-30",10.24
"67","2018-12-03",10.25
"68","2018-12-04",10.2
"69","2018-12-06",10.2
"70","2018-12-07",10.21
"71","2018-12-10",10.2
"72","2018-12-11",10.2
"73","2018-12-12",10.15
"74","2018-12-13",10.15
"75","2018-12-14",10.15
"76","2018-12-17",10.14
"77","2018-12-18",10.14
"78","2018-12-19",10.14
"79","2018-12-20",10.14
"80","2018-12-21",10.15
"81","2018-12-24",10.15
"82","2018-12-26",10.15
"83","2018-12-27",10.15
"84","2018-12-28",10.15
"85","2018-12-31",10.15
"86","2019-01-02",10.15
"87","2019-01-03",10.15
"88","2019-01-04",10.15
"89","2019-01-07",10.15
"90","2019-01-08",10.14
"91","2019-01-09",10.14
"92","2019-01-10",10.14
"93","2019-01-11",10.14
"94","2019-01-14",10.15
"95","2019-01-15",10.15
"96","2019-01-16",10.13
"97","2019-01-17",10.13
"98","2019-01-18",10.13
"99","2019-01-22",10.19
"100","2019-01-23",10.18
"101","2019-01-24",10.15
"102","2019-01-25",10.29
"103","2019-01-28",10.21
"104","2019-01-29",10.21
"105","2019-01-30",10.21
"106","2019-01-31",10.2
"107","2019-02-01",10.2
"108","2019-02-04",10.26
"109","2019-02-05",10.26
"110","2019-02-06",10.21
"111","2019-02-07",10.21
"112","2019-02-08",10.16
"113","2019-02-11",10.16
"114","2019-02-12",10.2
"115","2019-02-13",10.25
"116","2019-02-14",10.25
"117","2019-02-15",10.25
"118","2019-02-19",10.25
"119","2019-02-20",10.24
"120","2019-02-21",10.24
"121","2019-02-22",10.24
"122","2019-02-25",10.24
"123","2019-02-26",10.24
"124","2019-02-27",10.24
"125","2019-02-28",10.24
"126","2019-03-01",10.24
"127","2019-03-04",10.23
