"","date","WORK"
"1","2019-06-20",38.619999
"2","2019-06-21",37.220001
"3","2019-06-24",35.759998
"4","2019-06-25",35.200001
"5","2019-06-26",37.189999
"6","2019-06-27",36.25
"7","2019-06-28",37.5
"8","2019-07-01",36.549999
"9","2019-07-02",36.549999
"10","2019-07-03",36
"11","2019-07-05",35.52
"12","2019-07-08",35
"13","2019-07-09",35.639999
"14","2019-07-10",35.189999
"15","2019-07-11",35
"16","2019-07-12",33.73
"17","2019-07-15",34.75
"18","2019-07-16",34.400002
"19","2019-07-17",33.459999
"20","2019-07-18",32
"21","2019-07-19",31.299999
"22","2019-07-22",33.25
"23","2019-07-23",33.939999
"24","2019-07-24",34.099998
"25","2019-07-25",33.720001
"26","2019-07-26",34.09
"27","2019-07-29",33.009998
"28","2019-07-30",32.580002
"29","2019-07-31",33.419998
"30","2019-08-01",32
"31","2019-08-02",30.870001
"32","2019-08-05",31.389999
"33","2019-08-06",30.84
"34","2019-08-07",30.77
"35","2019-08-08",31.530001
"36","2019-08-09",30.780001
"37","2019-08-12",31.17
"38","2019-08-13",31.25
"39","2019-08-14",30.76
"40","2019-08-15",30.16
"41","2019-08-16",30
"42","2019-08-19",31.139999
"43","2019-08-20",30.5
"44","2019-08-21",30.799999
"45","2019-08-22",30.549999
"46","2019-08-23",30.049999
"47","2019-08-26",30.969999
"48","2019-08-27",29.91
"49","2019-08-28",29.799999
"50","2019-08-29",29.98
"51","2019-08-30",28.639999
"52","2019-09-03",28.76
"53","2019-09-04",31.07
"54","2019-09-05",30.01
"55","2019-09-06",27.379999
"56","2019-09-09",24.92
"57","2019-09-10",26.75
"58","2019-09-11",25.25
"59","2019-09-12",25.620001
"60","2019-09-13",24.49
"61","2019-09-16",26.1
"62","2019-09-17",26.219999
"63","2019-09-18",25.709999
"64","2019-09-19",25.719999
"65","2019-09-20",25.370001
"66","2019-09-23",24.16
"67","2019-09-24",23.200001
"68","2019-09-25",22.73
"69","2019-09-26",22.629999
"70","2019-09-27",22.059999
"71","2019-09-30",23.73
"72","2019-10-01",22.870001
"73","2019-10-02",23.43
"74","2019-10-03",24.93
"75","2019-10-04",24.969999
"76","2019-10-07",26.049999
"77","2019-10-08",25.700001
"78","2019-10-09",24.57
"79","2019-10-10",23.82
"80","2019-10-11",25.99
"81","2019-10-14",24.620001
"82","2019-10-15",24.74
"83","2019-10-16",23.639999
"84","2019-10-17",24
"85","2019-10-18",21.809999
"86","2019-10-21",22.58
"87","2019-10-22",21.030001
"88","2019-10-23",20.84
