"","date","PMVP"
"1","2020-09-25",37.509998
"2","2020-09-28",36.189999
"3","2020-09-29",38
"4","2020-09-30",35.5
"5","2020-10-01",34.490002
"6","2020-10-02",33
"7","2020-10-05",32.950001
"8","2020-10-06",33.189999
"9","2020-10-07",34.799999
"10","2020-10-08",34.860001
"11","2020-10-09",34.509998
"12","2020-10-12",34.810001
"13","2020-10-13",35.889999
"14","2020-10-14",36.389999
"15","2020-10-15",35.880001
"16","2020-10-16",35.990002
"17","2020-10-19",37.459999
"18","2020-10-20",35.299999
"19","2020-10-21",35.66
"20","2020-10-22",35.119999
"21","2020-10-23",34.91
"22","2020-10-26",34.740002
"23","2020-10-27",35.34
"24","2020-10-28",35.240002
"25","2020-10-29",35.040001
"26","2020-10-30",35.049999
"27","2020-11-02",35
"28","2020-11-03",36.040001
"29","2020-11-04",37.07
"30","2020-11-05",36.509998
"31","2020-11-06",37
"32","2020-11-09",36.5
"33","2020-11-10",35.599998
"34","2020-11-11",34.299999
"35","2020-11-12",33.970001
"36","2020-11-13",32.099998
"37","2020-11-16",32.240002
"38","2020-11-17",32
"39","2020-11-18",32.200001
"40","2020-11-19",31.860001
"41","2020-11-20",32.5
"42","2020-11-23",32.189999
"43","2020-11-24",34.98
"44","2020-11-25",34.48
"45","2020-11-27",35.209999
