"","date","NKLA"
"1","2018-06-11",9.58
"2","2018-06-12",9.56
"3","2018-06-13",9.57
"4","2018-06-14",9.57
"5","2018-06-15",9.57
"6","2018-06-18",9.58
"7","2018-06-19",9.57
"8","2018-06-20",9.59
"9","2018-06-21",9.59
"10","2018-06-22",9.58
"11","2018-06-25",9.58
"12","2018-06-26",9.58
"13","2018-06-27",9.58
"14","2018-06-28",9.58
"15","2018-06-29",9.58
"16","2018-07-02",9.58
"17","2018-07-03",9.58
"18","2018-07-05",9.58
"19","2018-07-06",9.58
"20","2018-07-09",9.58
"21","2018-07-10",9.54
"22","2018-07-11",9.54
"23","2018-07-12",9.54
"24","2018-07-13",9.54
"25","2018-07-16",9.544
"26","2018-07-17",9.57
"27","2018-07-18",9.55
"28","2018-07-19",9.541
"29","2018-07-20",9.541
"30","2018-07-23",9.544
"31","2018-07-24",9.55
"32","2018-07-25",9.55
"33","2018-07-26",9.54
"34","2018-07-27",9.54
"35","2018-07-30",9.55
"36","2018-07-31",9.56
"37","2018-08-01",9.55
"38","2018-08-02",9.55
"39","2018-08-03",9.55
"40","2018-08-06",9.55
"41","2018-08-07",9.55
"42","2018-08-08",9.55
"43","2018-08-09",9.55
"44","2018-08-10",9.55
"45","2018-08-13",9.55
"46","2018-08-14",9.55
"47","2018-08-15",9.56
"48","2018-08-16",9.56
"49","2018-08-17",9.56
"50","2018-08-20",9.58
"51","2018-08-21",9.58
"52","2018-08-22",9.57
"53","2018-08-23",9.58
"54","2018-08-24",9.58
"55","2018-08-27",9.57
"56","2018-08-28",9.57
"57","2018-08-29",9.58
"58","2018-08-30",9.58
"59","2018-08-31",9.58
"60","2018-09-04",9.57
"61","2018-09-05",9.57
"62","2018-09-06",9.6
"63","2018-09-07",9.59
"64","2018-09-10",9.59
"65","2018-09-11",9.59
"66","2018-09-12",9.59
"67","2018-09-13",9.58
"68","2018-09-14",9.6
"69","2018-09-17",9.6
"70","2018-09-18",9.51
"71","2018-09-19",9.51
"72","2018-09-20",9.57
"73","2018-09-21",9.57
"74","2018-09-24",9.57
"75","2018-09-25",9.58
"76","2018-09-26",9.57
"77","2018-09-27",9.57
"78","2018-09-28",9.57
"79","2018-10-01",9.57
"80","2018-10-02",9.57
"81","2018-10-03",9.57
"82","2018-10-04",9.57
"83","2018-10-05",9.55
"84","2018-10-08",9.55
"85","2018-10-09",9.57
"86","2018-10-10",9.57
"87","2018-10-11",9.51
"88","2018-10-12",9.53
"89","2018-10-15",9.53
"90","2018-10-16",9.53
"91","2018-10-17",9.51
"92","2018-10-18",9.52
"93","2018-10-19",9.53
"94","2018-10-22",9.53
"95","2018-10-23",9.577
"96","2018-10-24",9.59
"97","2018-10-25",9.59
"98","2018-10-26",9.59
"99","2018-10-29",9.59
"100","2018-10-30",9.59
"101","2018-10-31",9.59
"102","2018-11-01",9.59
"103","2018-11-02",9.59
"104","2018-11-05",9.59
"105","2018-11-06",9.59
"106","2018-11-07",9.64
"107","2018-11-08",9.65
"108","2018-11-09",9.68
"109","2018-11-12",9.68
"110","2018-11-13",9.68
"111","2018-11-14",9.68
"112","2018-11-15",9.68
"113","2018-11-16",9.68
"114","2018-11-19",9.68
"115","2018-11-20",9.65
"116","2018-11-21",9.65
"117","2018-11-23",9.65
"118","2018-11-26",9.65
"119","2018-11-27",9.73
"120","2018-11-28",9.75
"121","2018-11-29",9.71
"122","2018-11-30",9.69
"123","2018-12-03",9.76
"124","2018-12-04",9.73
"125","2018-12-06",9.73
"126","2018-12-07",9.73
"127","2018-12-10",9.73
"128","2018-12-11",9.73
"129","2018-12-12",9.73
"130","2018-12-13",9.73
"131","2018-12-14",9.73
"132","2018-12-17",9.73
"133","2018-12-18",9.67
"134","2018-12-19",9.67
"135","2018-12-20",9.65
"136","2018-12-21",9.65
"137","2018-12-24",9.65
"138","2018-12-26",9.65
"139","2018-12-27",9.65
"140","2018-12-28",9.75
"141","2018-12-31",9.7
"142","2019-01-02",9.7
"143","2019-01-03",9.725
"144","2019-01-04",9.725
"145","2019-01-07",9.725
"146","2019-01-08",9.725
"147","2019-01-09",9.7
"148","2019-01-10",9.7
"149","2019-01-11",9.75
"150","2019-01-14",9.8
"151","2019-01-15",9.8
"152","2019-01-16",9.8
"153","2019-01-17",9.8
"154","2019-01-18",9.8
"155","2019-01-22",9.84
"156","2019-01-23",9.84
"157","2019-01-24",9.85
"158","2019-01-25",9.85
"159","2019-01-28",9.88
"160","2019-01-29",9.85
"161","2019-01-30",9.86
"162","2019-01-31",9.9
"163","2019-02-01",9.9
"164","2019-02-04",9.95
"165","2019-02-05",9.95
"166","2019-02-06",9.93
"167","2019-02-07",9.9
"168","2019-02-08",9.9
"169","2019-02-11",9.9
"170","2019-02-12",9.92
"171","2019-02-13",9.925
"172","2019-02-14",9.87
"173","2019-02-15",9.93
"174","2019-02-19",9.94
"175","2019-02-20",9.92
"176","2019-02-21",9.95
"177","2019-02-22",9.95
"178","2019-02-25",9.97
"179","2019-02-26",9.97
"180","2019-02-27",9.97
"181","2019-02-28",9.92
"182","2019-03-01",9.92
"183","2019-03-04",9.96
"184","2019-03-05",9.96
"185","2019-03-06",9.96
"186","2019-03-07",9.98
"187","2019-03-08",9.98
"188","2019-03-11",10
"189","2019-03-12",10
"190","2019-03-13",9.99
"191","2019-03-14",9.99
"192","2019-03-15",9.98
"193","2019-03-18",10
