"","date","LATN"
"1","2019-12-09",9.84
"2","2019-12-10",9.84
"3","2019-12-11",9.84
"4","2019-12-12",9.84
"5","2019-12-13",9.84
"6","2019-12-16",9.84
"7","2019-12-17",9.84
"8","2019-12-18",9.86
"9","2019-12-19",9.84
"10","2019-12-20",9.84
"11","2019-12-23",9.84
"12","2019-12-24",9.84
"13","2019-12-26",9.84
"14","2019-12-27",9.84
"15","2019-12-30",9.84
"16","2019-12-31",9.85
"17","2020-01-02",9.86
"18","2020-01-03",9.87
"19","2020-01-06",9.87
"20","2020-01-07",9.87
"21","2020-01-08",9.87
"22","2020-01-09",9.92
"23","2020-01-10",9.92
"24","2020-01-13",9.92
"25","2020-01-14",9.88
"26","2020-01-15",9.95
"27","2020-01-16",9.95
"28","2020-01-17",9.94
"29","2020-01-21",9.96
"30","2020-01-22",9.96
"31","2020-01-23",9.96
"32","2020-01-24",9.95
"33","2020-01-27",9.95
"34","2020-01-28",9.88
"35","2020-01-29",9.93
"36","2020-01-30",9.94
"37","2020-01-31",9.94
"38","2020-02-03",9.95
"39","2020-02-04",9.95
"40","2020-02-05",9.95
"41","2020-02-06",9.96
"42","2020-02-07",9.96
"43","2020-02-10",9.97
"44","2020-02-11",9.97
"45","2020-02-12",9.97
"46","2020-02-13",9.95
"47","2020-02-14",9.95
"48","2020-02-18",9.95
"49","2020-02-19",9.96
"50","2020-02-20",9.96
"51","2020-02-21",9.96
"52","2020-02-24",9.95
"53","2020-02-25",9.98
"54","2020-02-26",9.97
"55","2020-02-27",9.96
"56","2020-02-28",9.98
"57","2020-03-02",9.95
"58","2020-03-03",9.96
"59","2020-03-04",9.98
"60","2020-03-05",9.95
"61","2020-03-06",9.97
"62","2020-03-09",9.76
"63","2020-03-10",9.76
"64","2020-03-11",9.86
"65","2020-03-12",9.9
"66","2020-03-13",9.77
"67","2020-03-16",9.7
"68","2020-03-17",9.51
"69","2020-03-18",9.45
"70","2020-03-19",9.58
"71","2020-03-20",9.6
"72","2020-03-23",9.6
"73","2020-03-24",9.55
"74","2020-03-25",9.55
"75","2020-03-26",9.55
"76","2020-03-27",9.55
"77","2020-03-30",9.55
"78","2020-03-31",9.78
"79","2020-04-01",9.79
"80","2020-04-02",9.79
"81","2020-04-03",9.7
"82","2020-04-06",9.749
"83","2020-04-07",9.75
"84","2020-04-08",9.8
"85","2020-04-09",9.8
"86","2020-04-13",9.83
"87","2020-04-14",9.83
"88","2020-04-15",9.83
"89","2020-04-16",9.83
"90","2020-04-17",9.8
"91","2020-04-20",9.8
"92","2020-04-21",9.8
"93","2020-04-22",9.8
"94","2020-04-23",9.8
"95","2020-04-24",9.85
"96","2020-04-27",9.82
"97","2020-04-28",9.85
"98","2020-04-29",9.85
"99","2020-04-30",9.85
"100","2020-05-01",9.85
"101","2020-05-04",9.85
"102","2020-05-05",9.85
"103","2020-05-06",9.75
"104","2020-05-07",9.75
"105","2020-05-08",9.75
"106","2020-05-11",9.75
"107","2020-05-12",9.83
"108","2020-05-13",9.81
"109","2020-05-14",9.77
"110","2020-05-15",9.77
"111","2020-05-18",9.77
"112","2020-05-19",9.77
"113","2020-05-20",9.77
"114","2020-05-21",9.77
"115","2020-05-22",9.77
"116","2020-05-26",9.77
"117","2020-05-27",9.8
