"","date","APTV"
"1","2011-11-17",17.879295
"2","2011-11-18",17.602682
"3","2011-11-21",17.015926
"4","2011-11-22",16.680637
"5","2011-11-23",16.454317
"6","2011-11-25",16.471081
"7","2011-11-28",16.797989
"8","2011-11-29",16.756077
"9","2011-11-30",17.468567
"10","2011-12-01",17.44342
"11","2011-12-02",17.912825
"12","2011-12-05",18.248114
"13","2011-12-06",18.549873
"14","2011-12-07",18.440905
"15","2011-12-08",18.181057
"16","2011-12-09",18.23135
"17","2011-12-12",18.030176
"18","2011-12-13",17.862532
"19","2011-12-14",17.300922
"20","2011-12-15",17.569153
"21","2011-12-16",17.577536
"22","2011-12-19",17.594299
"23","2011-12-20",18.021793
"24","2011-12-21",17.937971
"25","2011-12-22",18.264879
"26","2011-12-23",18.390612
"27","2011-12-27",18.147528
"28","2011-12-28",17.761944
"29","2011-12-29",17.954737
"30","2011-12-30",18.055323
"31","2012-01-03",18.642078
"32","2012-01-04",18.893545
"33","2012-01-05",18.558256
"34","2012-01-06",18.901928
"35","2012-01-09",19.036043
"36","2012-01-10",19.974854
"37","2012-01-11",20.075439
"38","2012-01-12",20.695724
"39","2012-01-13",20.78793
"40","2012-01-17",20.419111
"41","2012-01-18",20.536463
"42","2012-01-19",21.01425
"43","2012-01-20",21.039396
"44","2012-01-23",21.357922
"45","2012-01-24",21.634535
"46","2012-01-25",21.592623
"47","2012-01-26",21.751886
"48","2012-01-27",22.766136
"49","2012-01-30",22.699078
"50","2012-01-31",22.489523
"51","2012-02-01",23.964794
"52","2012-02-02",24.283319
"53","2012-02-03",25.775356
"54","2012-02-06",25.582565
"55","2012-02-07",25.213747
"56","2012-02-08",25.062866
"57","2012-02-09",24.979044
"58","2012-02-10",25.180218
"59","2012-02-13",25.155071
"60","2012-02-14",24.358759
"61","2012-02-15",24.626991
"62","2012-02-16",25.414921
"63","2012-02-17",26.227997
"64","2012-02-21",25.926237
"65","2012-02-22",26.001677
"66","2012-02-23",25.984913
"67","2012-02-24",26.311819
"68","2012-02-27",26.227997
"69","2012-02-28",26.722548
"70","2012-02-29",26.823135
"71","2012-03-01",26.823135
"72","2012-03-02",27.099749
"73","2012-03-05",26.521374
