"","date","MUX"
"1","2007-01-03",4.85
"2","2007-01-04",4.48
"3","2007-01-05",4.55
"4","2007-01-08",4.52
"5","2007-01-09",4.47
"6","2007-01-10",4.48
"7","2007-01-11",4.52
"8","2007-01-12",4.67
"9","2007-01-16",4.73
"10","2007-01-17",4.63
"11","2007-01-18",4.57
"12","2007-01-19",4.5
"13","2007-01-22",4.43
"14","2007-01-23",4.74
"15","2007-01-24",4.78
"16","2007-01-25",4.9
"17","2007-01-26",4.95
"18","2007-01-29",4.79
"19","2007-01-30",4.67
"20","2007-01-31",4.7
"21","2007-02-01",4.99
"22","2007-02-02",4.98
"23","2007-02-05",4.89
"24","2007-02-06",5
"25","2007-02-07",4.99
"26","2007-02-08",5.02
"27","2007-02-09",5.19
"28","2007-02-12",5.13
"29","2007-02-13",5.05
"30","2007-02-14",5.14
"31","2007-02-15",5.07
"32","2007-02-16",5.06
"33","2007-02-20",4.88
"34","2007-02-21",5
"35","2007-02-22",5.15
"36","2007-02-23",5.19
"37","2007-02-26",5.17
"38","2007-02-27",4.81
"39","2007-02-28",4.57
"40","2007-03-01",4.65
"41","2007-03-02",4.52
"42","2007-03-05",4.1
"43","2007-03-06",4.25
"44","2007-03-07",4.2
"45","2007-03-08",4.2
"46","2007-03-09",4.17
"47","2007-03-12",4.09
"48","2007-03-13",3.93
"49","2007-03-14",3.84
"50","2007-03-15",3.99
"51","2007-03-16",4
"52","2007-03-19",4
"53","2007-03-20",4.08
"54","2007-03-21",4.13
"55","2007-03-22",4.2
"56","2007-03-23",4.13
"57","2007-03-26",4.19
"58","2007-03-27",4.11
"59","2007-03-28",4.1
"60","2007-03-29",4.14
"61","2007-03-30",4.2
"62","2007-04-02",4.32
"63","2007-04-03",4.29
"64","2007-04-04",4.37
"65","2007-04-05",4.33
"66","2007-04-09",4.29
"67","2007-04-10",5.45
"68","2007-04-11",5.88
"69","2007-04-12",5.74
"70","2007-04-13",6.67
"71","2007-04-16",6.85
"72","2007-04-17",6.24
"73","2007-04-18",6.34
"74","2007-04-19",6.19
"75","2007-04-20",6.4
"76","2007-04-23",6.37
"77","2007-04-24",5.95
"78","2007-04-25",6.18
"79","2007-04-26",5.95
"80","2007-04-27",6
"81","2007-04-30",5.9
"82","2007-05-01",5.79
"83","2007-05-02",5.85
"84","2007-05-03",5.98
"85","2007-05-04",6
"86","2007-05-07",6.02
"87","2007-05-08",5.92
"88","2007-05-09",5.85
"89","2007-05-10",5.58
"90","2007-05-11",5.65
"91","2007-05-14",5.44
"92","2007-05-15",5.36
"93","2007-05-16",5.35
"94","2007-05-17",5.44
"95","2007-05-18",5.72
"96","2007-05-21",5.85
"97","2007-05-22",5.76
"98","2007-05-23",5.6
"99","2007-05-24",5.4
"100","2007-05-25",5.54
"101","2007-05-29",5.39
"102","2007-05-30",5.33
"103","2007-05-31",5.38
"104","2007-06-01",5.69
"105","2007-06-04",5.76
"106","2007-06-05",5.73
"107","2007-06-06",5.7
"108","2007-06-07",5.45
"109","2007-06-08",5.24
"110","2007-06-11",5.24
"111","2007-06-12",5.01
"112","2007-06-13",5.17
"113","2007-06-14",5.27
"114","2007-06-15",5.36
"115","2007-06-18",5.46
"116","2007-06-19",5.47
"117","2007-06-20",5.4
"118","2007-06-21",5.18
"119","2007-06-22",5.23
"120","2007-06-25",5.09
"121","2007-06-26",5.04
"122","2007-06-27",5.01
"123","2007-06-28",5.37
"124","2007-06-29",5.5
"125","2007-07-02",5.83
"126","2007-07-03",5.72
"127","2007-07-05",5.95
"128","2007-07-06",6.11
"129","2007-07-09",6.17
"130","2007-07-10",5.83
"131","2007-07-11",6.02
"132","2007-07-12",6.09
"133","2007-07-13",6.1
"134","2007-07-16",5.96
"135","2007-07-17",5.92
"136","2007-07-18",6.25
"137","2007-07-19",6.27
"138","2007-07-20",6.15
"139","2007-07-23",6
"140","2007-07-24",6.04
"141","2007-07-25",5.95
"142","2007-07-26",5.83
"143","2007-07-27",5.61
"144","2007-07-30",5.85
"145","2007-07-31",5.83
"146","2007-08-01",5.87
"147","2007-08-02",5.99
"148","2007-08-03",5.96
"149","2007-08-06",5.98
"150","2007-08-07",6.2
"151","2007-08-08",6.75
"152","2007-08-09",6.58
"153","2007-08-10",6.83
"154","2007-08-13",6.89
"155","2007-08-14",6.5
"156","2007-08-15",5.91
"157","2007-08-16",6.27
"158","2007-08-17",6.05
"159","2007-08-20",6.09
"160","2007-08-21",6.07
"161","2007-08-22",6.28
"162","2007-08-23",6.15
"163","2007-08-24",6.17
"164","2007-08-27",5.9
"165","2007-08-28",5.83
"166","2007-08-29",5.9
"167","2007-08-30",5.94
"168","2007-08-31",5.96
"169","2007-09-04",6.24
"170","2007-09-05",6.12
"171","2007-09-06",6.5
"172","2007-09-07",6.39
"173","2007-09-10",6.32
"174","2007-09-11",6.51
"175","2007-09-12",6.37
"176","2007-09-13",6.26
"177","2007-09-14",6.22
"178","2007-09-17",6.26
"179","2007-09-18",6.58
"180","2007-09-19",6.38
"181","2007-09-20",6.71
"182","2007-09-21",6.64
"183","2007-09-24",6.44
"184","2007-09-25",6.3
"185","2007-09-26",6.21
"186","2007-09-27",6.24
"187","2007-09-28",6.27
"188","2007-10-01",5.94
"189","2007-10-02",5.95
"190","2007-10-03",5.87
"191","2007-10-04",6
"192","2007-10-05",5.65
"193","2007-10-08",5.62
"194","2007-10-09",5.7
"195","2007-10-10",5.5
"196","2007-10-11",5.15
"197","2007-10-12",5.02
"198","2007-10-15",4.68
"199","2007-10-16",4.74
"200","2007-10-17",4.91
"201","2007-10-18",4.83
"202","2007-10-19",4.62
"203","2007-10-22",4.48
"204","2007-10-23",4.59
"205","2007-10-24",4.77
"206","2007-10-25",4.62
"207","2007-10-26",4.9
"208","2007-10-29",4.79
"209","2007-10-30",4.74
"210","2007-10-31",4.67
"211","2007-11-01",4.36
"212","2007-11-02",4.5
"213","2007-11-05",4.31
"214","2007-11-06",4.71
"215","2007-11-07",4.42
"216","2007-11-08",4.64
"217","2007-11-09",4.56
"218","2007-11-12",4.17
"219","2007-11-13",4.39
"220","2007-11-14",4.35
"221","2007-11-15",4.18
"222","2007-11-16",4.2
"223","2007-11-19",3.99
"224","2007-11-20",4.03
"225","2007-11-21",3.88
"226","2007-11-23",4.01
"227","2007-11-26",3.85
"228","2007-11-27",3.69
"229","2007-11-28",3.72
"230","2007-11-29",3.62
"231","2007-11-30",3.43
"232","2007-12-03",3.14
"233","2007-12-04",2.83
