"","date","CNCE"
"1","2014-02-13",14.18
"2","2014-02-14",14.07
"3","2014-02-18",14.06
"4","2014-02-19",14.09
"5","2014-02-20",14.01
"6","2014-02-21",14.68
"7","2014-02-24",14.9
"8","2014-02-25",14.92
"9","2014-02-26",14.92
"10","2014-02-27",14.9
"11","2014-02-28",14.28
"12","2014-03-03",14.47
"13","2014-03-04",14.81
"14","2014-03-05",14.89
"15","2014-03-06",14.97
"16","2014-03-07",14.88
"17","2014-03-10",15.03
"18","2014-03-11",15.08
"19","2014-03-12",14.33
"20","2014-03-13",13.91
"21","2014-03-14",13.64
"22","2014-03-17",13.74
"23","2014-03-18",14.1
"24","2014-03-19",13.92
"25","2014-03-20",14.29
"26","2014-03-21",13.88
"27","2014-03-24",13.41
"28","2014-03-25",13.14
"29","2014-03-26",11.69
"30","2014-03-27",12.73
"31","2014-03-28",12.31
"32","2014-03-31",13.45
"33","2014-04-01",13.41
"34","2014-04-02",13.58
"35","2014-04-03",13.6
"36","2014-04-04",13.1
"37","2014-04-07",11.73
"38","2014-04-08",12
"39","2014-04-09",12.05
"40","2014-04-10",11.72
"41","2014-04-11",11.33
"42","2014-04-14",10.84
"43","2014-04-15",9.84
"44","2014-04-16",10.44
"45","2014-04-17",10.24
"46","2014-04-21",10.31
"47","2014-04-22",10.23
"48","2014-04-23",9.89
"49","2014-04-24",9.35
"50","2014-04-25",8.9
"51","2014-04-28",8.85
"52","2014-04-29",8.82
"53","2014-04-30",8.94
"54","2014-05-01",9.12
"55","2014-05-02",9.39
"56","2014-05-05",9.7
"57","2014-05-06",9.78
"58","2014-05-07",9.57
"59","2014-05-08",9.5
"60","2014-05-09",9.58
"61","2014-05-12",9.7
"62","2014-05-13",10.4
"63","2014-05-14",9.54
"64","2014-05-15",8.66
"65","2014-05-16",8.63
"66","2014-05-19",8
"67","2014-05-20",7.47
"68","2014-05-21",7.23
"69","2014-05-22",7.72
"70","2014-05-23",8.65
"71","2014-05-27",8.81
"72","2014-05-28",8.64
"73","2014-05-29",8.81
"74","2014-05-30",8.84
"75","2014-06-02",9.2
"76","2014-06-03",9.11
"77","2014-06-04",8.79
"78","2014-06-05",8.34
"79","2014-06-06",8.34
"80","2014-06-09",8.23
"81","2014-06-10",8.4
"82","2014-06-11",8.71
"83","2014-06-12",9.46
"84","2014-06-13",8.87
"85","2014-06-16",9.3
"86","2014-06-17",8.93
"87","2014-06-18",8.7
"88","2014-06-19",9.75
"89","2014-06-20",10.46
"90","2014-06-23",9.56
"91","2014-06-24",8.82
"92","2014-06-25",8.9
"93","2014-06-26",9.6
"94","2014-06-27",9.93
"95","2014-06-30",10.1
"96","2014-07-01",9.9
"97","2014-07-02",10.23
"98","2014-07-03",9.97
"99","2014-07-07",9.34
"100","2014-07-08",9.12
"101","2014-07-09",8.91
"102","2014-07-10",8.85
"103","2014-07-11",8.95
"104","2014-07-14",8.95
"105","2014-07-15",8.29
"106","2014-07-16",8.51
"107","2014-07-17",8.32
"108","2014-07-18",8.24
"109","2014-07-21",7.97
"110","2014-07-22",8.155
"111","2014-07-23",8.88
"112","2014-07-24",8.63
"113","2014-07-25",8.64
"114","2014-07-28",8.495
"115","2014-07-29",8.63
"116","2014-07-30",8.43
"117","2014-07-31",8.18
"118","2014-08-01",7.96
"119","2014-08-04",7.8
"120","2014-08-05",7.88
"121","2014-08-06",7.87
"122","2014-08-07",8.12
"123","2014-08-08",8.1
"124","2014-08-11",8.17
"125","2014-08-12",8.6
"126","2014-08-13",9.26
"127","2014-08-14",9.56
"128","2014-08-15",9.66
"129","2014-08-18",9.79
"130","2014-08-19",9.44
"131","2014-08-20",9.2
"132","2014-08-21",9.2
"133","2014-08-22",9.01
"134","2014-08-25",8.79
"135","2014-08-26",9.29
"136","2014-08-27",9.59
"137","2014-08-28",9.1
"138","2014-08-29",8.96
"139","2014-09-02",8.82
"140","2014-09-03",8.77
"141","2014-09-04",8.47
"142","2014-09-05",8.6
"143","2014-09-08",8.8
"144","2014-09-09",8.73
"145","2014-09-10",8.98
"146","2014-09-11",9.03
"147","2014-09-12",10.06
"148","2014-09-15",12.66
"149","2014-09-16",13.1
"150","2014-09-17",13.79
"151","2014-09-18",13.36
"152","2014-09-19",14
"153","2014-09-22",13.85
"154","2014-09-23",13.9
"155","2014-09-24",13.94
"156","2014-09-25",13.57
"157","2014-09-26",13.21
"158","2014-09-29",13.53
"159","2014-09-30",12.61
"160","2014-10-01",13.16
"161","2014-10-02",13.74
"162","2014-10-03",13.84
"163","2014-10-06",13
"164","2014-10-07",13.02
"165","2014-10-08",13.76
"166","2014-10-09",13
"167","2014-10-10",12.42
"168","2014-10-13",11.96
"169","2014-10-14",12.39
"170","2014-10-15",13.18
"171","2014-10-16",13.05
"172","2014-10-17",13.43
"173","2014-10-20",13.56
"174","2014-10-21",13.56
"175","2014-10-22",13.56
"176","2014-10-23",13.76
"177","2014-10-24",13.78
"178","2014-10-27",13.76
"179","2014-10-28",13.84
"180","2014-10-29",14.61
"181","2014-10-30",14.64
"182","2014-10-31",14.63
"183","2014-11-03",14.8
"184","2014-11-04",14.62
"185","2014-11-05",14.36
"186","2014-11-06",14.38
"187","2014-11-07",13.1
"188","2014-11-10",13.37
"189","2014-11-11",13.2
"190","2014-11-12",12.83
"191","2014-11-13",13.24
"192","2014-11-14",13.04
"193","2014-11-17",12.61
"194","2014-11-18",13.07
"195","2014-11-19",12.81
"196","2014-11-20",12.87
"197","2014-11-21",12.96
"198","2014-11-24",12.76
"199","2014-11-25",12.55
"200","2014-11-26",12.68
"201","2014-11-28",12.6
"202","2014-12-01",12.61
"203","2014-12-02",13.15
"204","2014-12-03",12.69
"205","2014-12-04",12.3
"206","2014-12-05",12.28
"207","2014-12-08",12.19
"208","2014-12-09",12.18
"209","2014-12-10",11.36
"210","2014-12-11",11.19
"211","2014-12-12",11.22
"212","2014-12-15",10.47
"213","2014-12-16",10.58
"214","2014-12-17",12.25
"215","2014-12-18",12
"216","2014-12-19",12.72
"217","2014-12-22",12.31
"218","2014-12-23",11.65
"219","2014-12-24",11.76
"220","2014-12-26",11.72
"221","2014-12-29",11.83
"222","2014-12-30",13.15
"223","2014-12-31",13.32
"224","2015-01-02",13.95
"225","2015-01-05",14.44
"226","2015-01-06",13.43
"227","2015-01-07",14.07
"228","2015-01-08",14.04
"229","2015-01-09",13.73
"230","2015-01-12",13.53
"231","2015-01-13",13.07
"232","2015-01-14",12.97
"233","2015-01-15",12.24
"234","2015-01-16",12.85
"235","2015-01-20",12.47
"236","2015-01-21",12.58
"237","2015-01-22",12.58
"238","2015-01-23",12.47
"239","2015-01-26",13.21
"240","2015-01-27",13.89
"241","2015-01-28",13.21
"242","2015-01-29",13.35
"243","2015-01-30",13.2
"244","2015-02-02",13.24
"245","2015-02-03",12.89
"246","2015-02-04",12.49
"247","2015-02-05",13.14
"248","2015-02-06",12.87
"249","2015-02-09",12.84
"250","2015-02-10",13.06
"251","2015-02-11",13.07
"252","2015-02-12",13.22
"253","2015-02-13",12.76
"254","2015-02-17",13.39
"255","2015-02-18",13.86
"256","2015-02-19",15.04
"257","2015-02-20",14.51
"258","2015-02-23",14.61
"259","2015-02-24",13.49
"260","2015-02-25",13.68
"261","2015-02-26",15.65
"262","2015-02-27",14.39
"263","2015-03-02",14.61
"264","2015-03-03",14.73
"265","2015-03-04",14.55
"266","2015-03-05",14.46
"267","2015-03-06",13.86
"268","2015-03-09",14.53
"269","2015-03-10",14.59
"270","2015-03-11",15.57
"271","2015-03-12",15.68
"272","2015-03-13",15.62
"273","2015-03-16",17.049999
"274","2015-03-17",16.24
"275","2015-03-18",16.549999
"276","2015-03-19",14.76
"277","2015-03-20",14.755
"278","2015-03-23",14.61
"279","2015-03-24",14.49
"280","2015-03-25",13.58
"281","2015-03-26",13.51
"282","2015-03-27",13.43
"283","2015-03-30",15.35
"284","2015-03-31",15.145
"285","2015-04-01",15.65
"286","2015-04-02",15.57
"287","2015-04-06",15.4
"288","2015-04-07",15.06
"289","2015-04-08",15.18
"290","2015-04-09",15.12
"291","2015-04-10",14.71
"292","2015-04-13",14.84
"293","2015-04-14",14.9
