"","date","ORIC"
"1","2020-04-24",25.77
"2","2020-04-27",26.059999
"3","2020-04-28",25.68
"4","2020-04-29",26.32
"5","2020-04-30",26.450001
"6","2020-05-01",26.549999
"7","2020-05-04",27.690001
"8","2020-05-05",28.83
"9","2020-05-06",29.77
"10","2020-05-07",31.6
"11","2020-05-08",32.259998
"12","2020-05-11",33.650002
"13","2020-05-12",33.369999
"14","2020-05-13",30.940001
"15","2020-05-14",33.970001
"16","2020-05-15",32.650002
"17","2020-05-18",31.879999
"18","2020-05-19",31.799999
"19","2020-05-20",28.700001
"20","2020-05-21",29.040001
"21","2020-05-22",28.200001
"22","2020-05-26",28.23
"23","2020-05-27",27.030001
"24","2020-05-28",28.469999
"25","2020-05-29",29.02
"26","2020-06-01",30.299999
"27","2020-06-02",35.09
"28","2020-06-03",35.880001
"29","2020-06-04",36.189999
"30","2020-06-05",37.419998
"31","2020-06-08",37.869999
"32","2020-06-09",35.919998
"33","2020-06-10",34.73
"34","2020-06-11",31.9
"35","2020-06-12",33.540001
"36","2020-06-15",34.419998
"37","2020-06-16",33.84
"38","2020-06-17",36.810001
"39","2020-06-18",34.639999
"40","2020-06-19",34.119999
"41","2020-06-22",31.75
"42","2020-06-23",34.540001
"43","2020-06-24",36.400002
"44","2020-06-25",38.119999
"45","2020-06-26",34.889999
"46","2020-06-29",34.189999
"47","2020-06-30",33.73
"48","2020-07-01",31.26
"49","2020-07-02",29.93
"50","2020-07-06",28.6
"51","2020-07-07",25.6
"52","2020-07-08",24.57
"53","2020-07-09",23.76
"54","2020-07-10",24.709999
"55","2020-07-13",24.299999
"56","2020-07-14",23.129999
"57","2020-07-15",23.9
"58","2020-07-16",23.6
"59","2020-07-17",25.18
"60","2020-07-20",27.700001
"61","2020-07-21",25.719999
"62","2020-07-22",25.620001
"63","2020-07-23",23.549999
"64","2020-07-24",22.1
"65","2020-07-27",21.66
"66","2020-07-28",23.66
"67","2020-07-29",21.469999
"68","2020-07-30",21.02
"69","2020-07-31",20.07
"70","2020-08-03",22.049999
"71","2020-08-04",22.549999
"72","2020-08-05",22.25
"73","2020-08-06",25.379999
"74","2020-08-07",25.690001
"75","2020-08-10",25.35
"76","2020-08-11",25.42
"77","2020-08-12",25.559999
"78","2020-08-13",25.459999
"79","2020-08-14",25.719999
"80","2020-08-17",26.35
"81","2020-08-18",26.139999
"82","2020-08-19",25.34
"83","2020-08-20",24.809999
"84","2020-08-21",24.290001
"85","2020-08-24",23.25
"86","2020-08-25",24.02
"87","2020-08-26",23.58
"88","2020-08-27",23.26
"89","2020-08-28",24.42
"90","2020-08-31",25.049999
"91","2020-09-01",25.68
"92","2020-09-02",25.43
"93","2020-09-03",24.52
"94","2020-09-04",24.309999
"95","2020-09-08",24.5
"96","2020-09-09",24.379999
"97","2020-09-10",22.200001
"98","2020-09-11",20.299999
"99","2020-09-14",21.870001
"100","2020-09-15",21.65
"101","2020-09-16",21.889999
"102","2020-09-17",21.65
"103","2020-09-18",20.59
"104","2020-09-21",19.75
"105","2020-09-22",20.370001
"106","2020-09-23",20
"107","2020-09-24",19.5
"108","2020-09-25",19.76
"109","2020-09-28",19.700001
"110","2020-09-29",23.120001
"111","2020-09-30",25.01
"112","2020-10-01",23.76
"113","2020-10-02",23.469999
"114","2020-10-05",23.6
"115","2020-10-06",23.68
"116","2020-10-07",24.120001
"117","2020-10-08",25.790001
"118","2020-10-09",25.450001
"119","2020-10-12",23.280001
"120","2020-10-13",22.860001
"121","2020-10-14",21.75
"122","2020-10-15",23.35
"123","2020-10-16",24.59
"124","2020-10-19",24.26
"125","2020-10-20",25.08
"126","2020-10-21",21.52
"127","2020-10-22",20.32
"128","2020-10-23",21.24
"129","2020-10-26",20.33
"130","2020-10-27",22.610001
"131","2020-10-28",20.5
"132","2020-10-29",22
"133","2020-10-30",21.5
"134","2020-11-02",20.85
"135","2020-11-03",21.809999
"136","2020-11-04",23.120001
"137","2020-11-05",24.02
"138","2020-11-06",24.01
"139","2020-11-09",24.15
"140","2020-11-10",24.139999
"141","2020-11-11",24.700001
"142","2020-11-12",24
"143","2020-11-13",24.01
"144","2020-11-16",24.99
"145","2020-11-17",25.139999
"146","2020-11-18",26
"147","2020-11-19",29.67
"148","2020-11-20",31.190001
"149","2020-11-23",31.6
"150","2020-11-24",31.02
"151","2020-11-25",28.32
"152","2020-11-27",31.780001
