"","date","HBANO"
"1","2016-03-28",25.48
"2","2016-03-29",25.58
"3","2016-03-30",25.51
"4","2016-03-31",25.690001
"5","2016-04-01",25.629999
"6","2016-04-04",25.4
"7","2016-04-05",25.370001
"8","2016-04-06",25.42
"9","2016-04-07",25.360001
"10","2016-04-08",25.389999
"11","2016-04-11",25.42
"12","2016-04-12",25.440001
"13","2016-04-13",25.42
"14","2016-04-14",25.5
"15","2016-04-15",25.48
"16","2016-04-18",25.530001
"17","2016-04-19",25.549999
"18","2016-04-20",25.709999
"19","2016-04-21",25.66
"20","2016-04-22",25.700001
"21","2016-04-25",25.74
"22","2016-04-26",25.67
"23","2016-04-27",25.84
"24","2016-04-28",25.940001
"25","2016-04-29",26.33
"26","2016-05-02",26.02
"27","2016-05-03",25.950001
"28","2016-05-04",26.01
"29","2016-05-05",26.08
"30","2016-05-06",26.17
"31","2016-05-09",26.09
"32","2016-05-10",26.17
"33","2016-05-11",26.129999
"34","2016-05-12",26.139999
"35","2016-05-13",26.120001
"36","2016-05-16",26.18
"37","2016-05-17",26.23
"38","2016-05-18",26.18
"39","2016-05-19",25.98
"40","2016-05-20",25.9
"41","2016-05-23",26
"42","2016-05-24",25.98
"43","2016-05-25",26
"44","2016-05-26",26.049999
"45","2016-05-27",26.25
"46","2016-05-31",26.25
"47","2016-06-01",26.25
"48","2016-06-02",26.18
"49","2016-06-03",26.280001
"50","2016-06-06",26.23
"51","2016-06-07",26.27
"52","2016-06-08",26.43
"53","2016-06-09",26.382
"54","2016-06-10",26.65
"55","2016-06-13",26.370001
"56","2016-06-14",26.9
"57","2016-06-15",26.85
"58","2016-06-16",26.549999
"59","2016-06-17",26.6
"60","2016-06-20",26.57
"61","2016-06-21",26.549999
"62","2016-06-22",26.73
"63","2016-06-23",26.85
"64","2016-06-24",26.75
"65","2016-06-27",27.040001
"66","2016-06-28",27.15
"67","2016-06-29",26.860001
"68","2016-06-30",26.924999
"69","2016-07-01",27.709999
"70","2016-07-05",27.950001
"71","2016-07-06",27.715
"72","2016-07-07",27.879999
"73","2016-07-08",28
"74","2016-07-11",28.190001
"75","2016-07-12",28.139999
"76","2016-07-13",28.16
"77","2016-07-14",28.33
"78","2016-07-15",27.24
"79","2016-07-18",26.940001
"80","2016-07-19",27.08
"81","2016-07-20",27.309999
