"","date","MREO"
"1","2019-04-24",6.5
"2","2019-04-25",5.92
"3","2019-04-26",5.75
"4","2019-04-29",5.7
"5","2019-04-30",5.6
"6","2019-05-01",5.035
"7","2019-05-02",4.95
"8","2019-05-03",5.05
"9","2019-05-06",4.765
"10","2019-05-07",4.73
"11","2019-05-08",5.22
"12","2019-05-09",5.27
"13","2019-05-10",5.42
"14","2019-05-13",5.25
"15","2019-05-14",5.272
"16","2019-05-15",5.12
"17","2019-05-16",5.15
"18","2019-05-17",5.4
"19","2019-05-20",4.92
"20","2019-05-21",4.78
"21","2019-05-22",5
"22","2019-05-23",4.49
"23","2019-05-24",4.7
"24","2019-05-28",4.45
"25","2019-05-29",4.345
"26","2019-05-30",4.475
"27","2019-05-31",4.25
"28","2019-06-03",4.19
"29","2019-06-04",4.7
"30","2019-06-05",4.27
"31","2019-06-06",4.2
"32","2019-06-07",4
"33","2019-06-10",3.91
"34","2019-06-11",3.9
"35","2019-06-12",3.92
"36","2019-06-13",3.41
"37","2019-06-14",3.39
"38","2019-06-17",3.17
"39","2019-06-18",2.86
"40","2019-06-19",2.97
"41","2019-06-20",2.97
"42","2019-06-21",2.99
"43","2019-06-24",2.67
"44","2019-06-25",2.65
"45","2019-06-26",2.71
"46","2019-06-27",2.639
"47","2019-06-28",2.52
"48","2019-07-01",2.562
"49","2019-07-02",2.43
"50","2019-07-03",2.462
"51","2019-07-05",2.51
"52","2019-07-08",2.52
"53","2019-07-09",2.68
"54","2019-07-10",2.4
"55","2019-07-11",2.23
"56","2019-07-12",2.22
"57","2019-07-15",2.49
"58","2019-07-16",2.42
"59","2019-07-17",2.42
"60","2019-07-18",2.34
"61","2019-07-19",2.32
"62","2019-07-22",2.3
"63","2019-07-23",2.32
"64","2019-07-24",2.6
"65","2019-07-25",2.663
"66","2019-07-26",2.74
"67","2019-07-29",2.75
"68","2019-07-30",2.5
"69","2019-07-31",2.6
"70","2019-08-01",2.74
"71","2019-08-02",2.9
"72","2019-08-05",2.73
"73","2019-08-06",2.65
"74","2019-08-07",2.51
"75","2019-08-08",2.65
"76","2019-08-09",2.7
"77","2019-08-12",2.95
"78","2019-08-13",3.01
"79","2019-08-14",3
"80","2019-08-15",3.3
"81","2019-08-16",3.5
"82","2019-08-19",3.55
"83","2019-08-20",3.96
"84","2019-08-21",4.1
"85","2019-08-22",4.1
"86","2019-08-23",3.92
"87","2019-08-26",4.14
"88","2019-08-27",3.95
"89","2019-08-28",3.655
"90","2019-08-29",3.6
"91","2019-08-30",3.67
"92","2019-09-03",3.2
"93","2019-09-04",3.72
"94","2019-09-05",3.59
"95","2019-09-06",3.6
"96","2019-09-09",3.59
"97","2019-09-10",3.38
"98","2019-09-11",3.34
"99","2019-09-12",3.45
"100","2019-09-13",3.38
"101","2019-09-16",3.391
"102","2019-09-17",3.26
"103","2019-09-18",3.32
"104","2019-09-19",3.13
"105","2019-09-20",3.2
"106","2019-09-23",3.26
"107","2019-09-24",3.02
"108","2019-09-25",3.01
"109","2019-09-26",2.96
"110","2019-09-27",3
"111","2019-09-30",2.98
"112","2019-10-01",3.2
"113","2019-10-02",2.81
"114","2019-10-03",3.1
"115","2019-10-04",2.94
"116","2019-10-07",3.16
"117","2019-10-08",3.011
"118","2019-10-09",2.89
"119","2019-10-10",3.45
"120","2019-10-11",3.549
"121","2019-10-14",3.3
"122","2019-10-15",3.305
"123","2019-10-16",3.419
"124","2019-10-17",3.3
"125","2019-10-18",3.35
"126","2019-10-21",3.7
"127","2019-10-22",3.403
"128","2019-10-23",3.34
"129","2019-10-24",3.3
"130","2019-10-25",3.3
"131","2019-10-28",3.25
"132","2019-10-29",3.15
"133","2019-10-30",3.15
"134","2019-10-31",2.936
"135","2019-11-01",2.85
"136","2019-11-04",3.19
"137","2019-11-05",3.25
"138","2019-11-06",3.11
"139","2019-11-07",2.91
"140","2019-11-08",2.9
"141","2019-11-11",2.506
"142","2019-11-12",2.54
"143","2019-11-13",2.26
"144","2019-11-14",2.26
"145","2019-11-15",2.31
"146","2019-11-18",2.22
"147","2019-11-19",2.435
"148","2019-11-20",2.382
"149","2019-11-21",2.51
"150","2019-11-22",2.1
"151","2019-11-25",2.18
"152","2019-11-26",2.217
"153","2019-11-27",2.3
"154","2019-11-29",2.37
"155","2019-12-02",2.12
"156","2019-12-03",2.189
"157","2019-12-04",2.11
"158","2019-12-05",2.1
"159","2019-12-06",2.12
"160","2019-12-09",1.91
"161","2019-12-10",1.75
"162","2019-12-11",1.697
"163","2019-12-12",1.529
"164","2019-12-13",1.455
"165","2019-12-16",1.17
"166","2019-12-17",1.22
"167","2019-12-18",1.26
"168","2019-12-19",1.32
"169","2019-12-20",1.268
"170","2019-12-23",1.21
"171","2019-12-24",1.1
"172","2019-12-26",2.15
"173","2019-12-27",2.95
"174","2019-12-30",2.48
"175","2019-12-31",3.28
"176","2020-01-02",3.21
"177","2020-01-03",2.81
"178","2020-01-06",2.58
"179","2020-01-07",2.34
"180","2020-01-08",2.25
"181","2020-01-09",2.283
"182","2020-01-10",2.1
"183","2020-01-13",2.26
"184","2020-01-14",2.34
"185","2020-01-15",2.3
"186","2020-01-16",2.16
"187","2020-01-17",2.175
"188","2020-01-21",2.17
"189","2020-01-22",1.882
"190","2020-01-23",1.75
"191","2020-01-24",1.64
"192","2020-01-27",1.5
"193","2020-01-28",1.77
"194","2020-01-29",1.73
"195","2020-01-30",1.74
"196","2020-01-31",1.682
"197","2020-02-03",1.68
"198","2020-02-04",1.71
"199","2020-02-05",1.68
"200","2020-02-06",1.63
"201","2020-02-07",1.56
"202","2020-02-10",2
"203","2020-02-11",1.82
"204","2020-02-12",1.75
"205","2020-02-13",1.59
"206","2020-02-14",1.68
"207","2020-02-18",1.637
"208","2020-02-19",1.838
"209","2020-02-20",2.32
"210","2020-02-21",2.4
"211","2020-02-24",2.143
"212","2020-02-25",1.85
"213","2020-02-26",1.79
"214","2020-02-27",1.78
"215","2020-02-28",1.85
"216","2020-03-02",1.72
"217","2020-03-03",1.76
"218","2020-03-04",2.04
"219","2020-03-05",1.87
"220","2020-03-06",1.89
"221","2020-03-09",1.7
"222","2020-03-10",1.65
"223","2020-03-11",1.55
"224","2020-03-12",1.15
"225","2020-03-13",1.1
"226","2020-03-16",0.93
"227","2020-03-17",0.95
"228","2020-03-18",0.8
"229","2020-03-19",0.85
"230","2020-03-20",0.9
"231","2020-03-23",0.9
"232","2020-03-24",0.938
"233","2020-03-25",1.064
"234","2020-03-26",1.1
"235","2020-03-27",0.98
"236","2020-03-30",0.98
"237","2020-03-31",1.045
"238","2020-04-01",1.025
"239","2020-04-02",1.03
"240","2020-04-03",1
"241","2020-04-06",1.185
"242","2020-04-07",1.06
"243","2020-04-08",1.13
"244","2020-04-09",1.19
"245","2020-04-13",1.2
"246","2020-04-14",1.1
"247","2020-04-15",1.07
"248","2020-04-16",1.5
"249","2020-04-17",1.34
"250","2020-04-20",1.32
"251","2020-04-21",1.22
"252","2020-04-22",1.35
"253","2020-04-23",1.3
