"","date","FUV"
"1","2017-09-21",5.75
"2","2017-09-22",5.54
"3","2017-09-25",4.85
"4","2017-09-26",4.45
"5","2017-09-27",4.79
"6","2017-09-28",4.8
"7","2017-09-29",4.96
"8","2017-10-02",5.25
"9","2017-10-03",5.19
"10","2017-10-04",5.25
"11","2017-10-05",5.15
"12","2017-10-06",4.76
"13","2017-10-09",5.24
"14","2017-10-10",4.909
"15","2017-10-11",4.74
"16","2017-10-12",4.64
"17","2017-10-13",4.59
"18","2017-10-16",4.38
"19","2017-10-17",4.24
"20","2017-10-18",3.97
"21","2017-10-19",3.86
"22","2017-10-20",4.15
"23","2017-10-23",4.41
"24","2017-10-24",4.42
"25","2017-10-25",4.6
"26","2017-10-26",4.79
"27","2017-10-27",4.6
"28","2017-10-30",4.31
"29","2017-10-31",4.22
"30","2017-11-01",4.44
"31","2017-11-02",4.27
"32","2017-11-03",4.18
"33","2017-11-06",4.17
"34","2017-11-07",4.05
"35","2017-11-08",3.8
"36","2017-11-09",3.756
"37","2017-11-10",3.98
"38","2017-11-13",3.73
"39","2017-11-14",3.868
"40","2017-11-15",3.87
"41","2017-11-16",3.77
"42","2017-11-17",3.73
"43","2017-11-20",3.73
"44","2017-11-21",3.75
"45","2017-11-22",3.71
"46","2017-11-24",3.766
"47","2017-11-27",3.83
"48","2017-11-28",3.75
"49","2017-11-29",3.62
"50","2017-11-30",3.2
"51","2017-12-01",3.059
"52","2017-12-04",3.15
"53","2017-12-05",3.1
"54","2017-12-06",3.04
"55","2017-12-07",2.95
"56","2017-12-08",2.69
"57","2017-12-11",3.71
"58","2017-12-12",4.04
"59","2017-12-13",4.65
"60","2017-12-14",4.99
"61","2017-12-15",4.46
"62","2017-12-18",3.78
"63","2017-12-19",4
"64","2017-12-20",3.87
"65","2017-12-21",3.64
"66","2017-12-22",3.45
"67","2017-12-26",3.63
"68","2017-12-27",3.63
"69","2017-12-28",3.65
"70","2017-12-29",4.01
"71","2018-01-02",3.86
"72","2018-01-03",3.83
"73","2018-01-04",3.89
"74","2018-01-05",3.74
"75","2018-01-08",3.88
"76","2018-01-09",3.89
"77","2018-01-10",3.9
"78","2018-01-11",4.13
"79","2018-01-12",3.91
"80","2018-01-16",3.91
"81","2018-01-17",3.8
"82","2018-01-18",3.66
"83","2018-01-19",3.978
"84","2018-01-22",3.77
"85","2018-01-23",3.67
"86","2018-01-24",3.71
"87","2018-01-25",3.76
"88","2018-01-26",3.66
"89","2018-01-29",3.36
"90","2018-01-30",3.25
"91","2018-01-31",3.35
"92","2018-02-01",3.21
"93","2018-02-02",3.16
"94","2018-02-05",3.239
"95","2018-02-06",3.41
"96","2018-02-07",3.21
"97","2018-02-08",3.03
"98","2018-02-09",3.15
"99","2018-02-12",3.01
"100","2018-02-13",3.04
"101","2018-02-14",3.04
"102","2018-02-15",2.87
"103","2018-02-16",2.89
"104","2018-02-20",2.86
"105","2018-02-21",2.86
"106","2018-02-22",2.86
"107","2018-02-23",2.88
"108","2018-02-26",2.88
"109","2018-02-27",2.85
"110","2018-02-28",2.8
"111","2018-03-01",2.96
"112","2018-03-02",2.96
"113","2018-03-05",3
"114","2018-03-06",2.9
"115","2018-03-07",3
"116","2018-03-08",3.04
"117","2018-03-09",3.09
"118","2018-03-12",3.09
"119","2018-03-13",3.23
"120","2018-03-14",3.01
"121","2018-03-15",3.09
"122","2018-03-16",3.38
"123","2018-03-19",3.11
"124","2018-03-20",3.094
"125","2018-03-21",3.154
"126","2018-03-22",3.12
"127","2018-03-23",3.2
